data,permutation,subgroup,cindex
DeepPT,1,HER2+,0.681954682
DeepPT,2,HER2+,0.483128004
DeepPT,3,HER2+,0.693702704
DeepPT,4,HER2+,0.595608466
DeepPT,5,HER2+,0.52986884
DeepPT,6,HER2+,0.492307692
DeepPT,7,HER2+,0.366195612
DeepPT,8,HER2+,0.354045376
DeepPT,9,HER2+,0.534430652
DeepPT,10,HER2+,0.591254156
DeepPT,11,HER2+,0.606718736
DeepPT,12,HER2+,0.359307359
DeepPT,13,HER2+,0.606353454
DeepPT,14,HER2+,0.371037531
DeepPT,15,HER2+,0.669685807
DeepPT,16,HER2+,0.6356676
DeepPT,17,HER2+,0.594907407
DeepPT,18,HER2+,0.507597341
DeepPT,19,HER2+,0.638103523
DeepPT,20,HER2+,0.592463624
DeepPT,21,HER2+,0.461487051
DeepPT,22,HER2+,0.347576839
DeepPT,23,HER2+,0.70635345
DeepPT,24,HER2+,0.391236307
DeepPT,25,HER2+,0.64659337
DeepPT,26,HER2+,0.283370765
DeepPT,27,HER2+,0.395858041
DeepPT,28,HER2+,0.487439614
DeepPT,29,HER2+,0.6982297
DeepPT,30,HER2+,0.586206897
DeepPT,31,HER2+,0.470014647
DeepPT,32,HER2+,0.409793989
DeepPT,33,HER2+,0.464885332
DeepPT,34,HER2+,0.255555556
DeepPT,35,HER2+,0.535133828
DeepPT,36,HER2+,0.656104418
DeepPT,37,HER2+,0.619241192
DeepPT,38,HER2+,0.324494949
DeepPT,39,HER2+,0.47234425
DeepPT,40,HER2+,0.669730015
DeepPT,41,HER2+,0.500420345
DeepPT,42,HER2+,0.616429276
DeepPT,43,HER2+,0.588556657
DeepPT,44,HER2+,0.403482006
DeepPT,45,HER2+,0.697954823
DeepPT,46,HER2+,0.461696091
DeepPT,47,HER2+,0.576461289
DeepPT,48,HER2+,0.415317139
DeepPT,49,HER2+,0.62774484
DeepPT,50,HER2+,0.532086855
DeepPT,51,HER2+,0.523487611
DeepPT,52,HER2+,0.355008381
DeepPT,53,HER2+,0.650929028
DeepPT,54,HER2+,0.740098613
DeepPT,55,HER2+,0.666121321
DeepPT,56,HER2+,0.564285714
DeepPT,57,HER2+,0.544234234
DeepPT,58,HER2+,0.576217843
DeepPT,59,HER2+,0.661044406
DeepPT,60,HER2+,0.50471779
DeepPT,61,HER2+,0.427721088
DeepPT,62,HER2+,0.6900894
DeepPT,63,HER2+,0.517241379
DeepPT,64,HER2+,0.432802829
DeepPT,65,HER2+,0.530038002
DeepPT,66,HER2+,0.282142857
DeepPT,67,HER2+,0.512392091
DeepPT,68,HER2+,0.567279577
DeepPT,69,HER2+,0.456386293
DeepPT,70,HER2+,0.625367687
DeepPT,71,HER2+,0.673651772
DeepPT,72,HER2+,0.601783758
DeepPT,73,HER2+,0.489390326
DeepPT,74,HER2+,0.461246763
DeepPT,75,HER2+,0.657133798
DeepPT,76,HER2+,0.501667334
DeepPT,77,HER2+,0.811684572
DeepPT,78,HER2+,0.473136646
DeepPT,79,HER2+,0.520169243
DeepPT,80,HER2+,0.507613448
DeepPT,81,HER2+,0.530439597
DeepPT,82,HER2+,0.481069959
DeepPT,83,HER2+,0.426569078
DeepPT,84,HER2+,0.587621073
DeepPT,85,HER2+,0.486630223
DeepPT,86,HER2+,0.445029663
DeepPT,87,HER2+,0.387236206
DeepPT,88,HER2+,0.613781781
DeepPT,89,HER2+,0.591534392
DeepPT,90,HER2+,0.516084656
DeepPT,91,HER2+,0.626783767
DeepPT,92,HER2+,0.506355308
DeepPT,93,HER2+,0.692929293
DeepPT,94,HER2+,0.625155786
DeepPT,95,HER2+,0.374312844
DeepPT,96,HER2+,0.531774194
DeepPT,97,HER2+,0.476315825
DeepPT,98,HER2+,0.675412216
DeepPT,99,HER2+,0.548960429
DeepPT,100,HER2+,0.434365325
DeepSpaCE,1,HER2+,0.166772833
DeepSpaCE,2,HER2+,0.212899659
DeepSpaCE,3,HER2+,0.287828783
DeepSpaCE,4,HER2+,0.324973545
DeepSpaCE,5,HER2+,0.405675262
DeepSpaCE,6,HER2+,0.418376068
DeepSpaCE,7,HER2+,0.35693854
DeepSpaCE,8,HER2+,0.125002646
DeepSpaCE,9,HER2+,0.520018856
DeepSpaCE,10,HER2+,0.660353123
DeepSpaCE,11,HER2+,0.434814713
DeepSpaCE,12,HER2+,0.530040666
DeepSpaCE,13,HER2+,0.661661215
DeepSpaCE,14,HER2+,0.323474979
DeepSpaCE,15,HER2+,0.530270856
DeepSpaCE,16,HER2+,0.2886399
DeepSpaCE,17,HER2+,0.482428451
DeepSpaCE,18,HER2+,0.367806268
DeepSpaCE,19,HER2+,0.622662027
DeepSpaCE,20,HER2+,0.413538946
DeepSpaCE,21,HER2+,0.442021721
DeepSpaCE,22,HER2+,0.328774798
DeepSpaCE,23,HER2+,0.395645531
DeepSpaCE,24,HER2+,0.582394366
DeepSpaCE,25,HER2+,0.668647158
DeepSpaCE,26,HER2+,0.404094652
DeepSpaCE,27,HER2+,0.352653489
DeepSpaCE,28,HER2+,0.343236715
DeepSpaCE,29,HER2+,0.444112658
DeepSpaCE,30,HER2+,0.42926805
DeepSpaCE,31,HER2+,0.471207366
DeepSpaCE,32,HER2+,0.554238433
DeepSpaCE,33,HER2+,0.661046921
DeepSpaCE,34,HER2+,0.473611111
DeepSpaCE,35,HER2+,0.311654605
DeepSpaCE,36,HER2+,0.526813922
DeepSpaCE,37,HER2+,0.461551491
DeepSpaCE,38,HER2+,0.561868687
DeepSpaCE,39,HER2+,0.487148805
DeepSpaCE,40,HER2+,0.451348141
DeepSpaCE,41,HER2+,0.456144038
DeepSpaCE,42,HER2+,0.553020894
DeepSpaCE,43,HER2+,0.404607718
DeepSpaCE,44,HER2+,0.406549222
DeepSpaCE,45,HER2+,0.491300366
DeepSpaCE,46,HER2+,0.528136822
DeepSpaCE,47,HER2+,0.630990864
DeepSpaCE,48,HER2+,0.413630229
DeepSpaCE,49,HER2+,0.352711902
DeepSpaCE,50,HER2+,0.443785426
DeepSpaCE,51,HER2+,0.467127941
DeepSpaCE,52,HER2+,0.610253743
DeepSpaCE,53,HER2+,0.48332318
DeepSpaCE,54,HER2+,0.509505791
DeepSpaCE,55,HER2+,0.745866034
DeepSpaCE,56,HER2+,0.305714286
DeepSpaCE,57,HER2+,0.462522523
DeepSpaCE,58,HER2+,0.423508484
DeepSpaCE,59,HER2+,0.730322089
DeepSpaCE,60,HER2+,0.270372277
DeepSpaCE,61,HER2+,0.621598639
DeepSpaCE,62,HER2+,0.62633461
DeepSpaCE,63,HER2+,0.600574713
DeepSpaCE,64,HER2+,0.208370174
DeepSpaCE,65,HER2+,0.518074934
DeepSpaCE,66,HER2+,0.282142857
DeepSpaCE,67,HER2+,0.663881927
DeepSpaCE,68,HER2+,0.425663518
