"","x_cord","y_cord","group_broad_type"
"cell7",633.8873,36.950703,"DC_Mast"
"cell10",625.17566,44.756756,"Malignant"
"cell11",592.1392,44.620255,"Stromal"
"cell12",618.42645,52.77941,"Malignant"
"cell15",278.26956,53.217392,"Stromal"
"cell16",629.431,55.396553,"Malignant"
"cell17",253.22047,54.795277,"Malignant"
"cell20",211.84445,61.144444,"B"
"cell23",262.93332,61.6,"Stromal"
"cell25",245.4375,64.479164,"Stromal"
"cell26",224.01973,68.73684,"Stromal"
"cell27",613.5217,71.61491,"Malignant"
"cell28",272.59314,70.13725,"Malignant"
"cell31",339.15167,73.98578,"Malignant"
"cell36",604.7071,71.01674,"Malignant"
"cell37",622.3777,73.047874,"Malignant"
"cell39",304.09836,76.87978,"Malignant"
"cell40",318.7143,73.15873,"Stromal"
"cell44",325.12173,79.752174,"Malignant"
"cell46",225.45454,81.19481,"T"
"cell47",252.53165,82.44304,"Stromal"
"cell48",607.74286,80.25714,"Malignant"
"cell49",294.58865,85.75177,"Malignant"
"cell52",587.7857,85.35714,"Malignant"
"cell54",347.89795,82.438774,"Malignant"
"cell57",302.6,85.1,"Malignant"
"cell62",628.70966,83.731186,"Malignant"
"cell66",360.28018,83.06035,"Malignant"
"cell67",220.25862,87.32758,"T"
"cell68",244.5,90.455,"Malignant"
"cell69",283.40805,84.04023,"Malignant"
"cell70",273.80264,87.9079,"Malignant"
"cell74",330.4907,91.31677,"Malignant"
"cell77",640.2761,83.64179,"Malignant"
"cell81",577.37195,92.70122,"Malignant"
"cell82",313.30258,92.040344,"Malignant"
"cell84",210.7451,93.82353,"T"
"cell88",368.02255,99.34586,"Malignant"
"cell90",9.378641,95.73786,"Macrophage"
"cell92",569.91174,96.411766,"Myoepi"
"cell94",298.48666,98.90667,"Malignant"
"cell96",606.64105,99.80342,"Myoepi"
"cell97",231.94737,96.09649,"Macrophage"
"cell101",591.3228,99.826775,"Malignant"
"cell102",580.2857,104.92063,"Myoepi"
"cell103",387.14185,96.87234,"Malignant"
"cell104",310.374,104.73984,"Malignant"
"cell105",397.18918,95.64865,"Malignant"
"cell108",287.43066,104.985405,"Malignant"
"cell113",322.28735,105.37931,"Malignant"
"cell114",572.6539,107.32051,"Myoepi"
