"","x_cord","y_cord","group_broad_type"
"1",230.125,131.333333333333,"Malignant"
"2",239.12,133.44,"Macrophage"
"3",198.915254237288,145.983050847458,"Stromal"
"4",157,147.269230769231,"Stromal"
"5",96,148,"Macrophage"
"6",314.15,151.75,"T"
"7",294.833333333333,151,"Stromal"
"8",127.892857142857,152.214285714286,"Malignant"
"9",264.3125,154.28125,"Stromal"
"10",228.959459459459,156.783783783784,"Stromal"
"11",211.827586206897,157.103448275862,"T"
"12",184.161290322581,159.306451612903,"Malignant"
"13",238.035714285714,161.464285714286,"Stromal"
"14",256.111111111111,164.833333333333,"T"
"15",197.948717948718,165.538461538462,"Macrophage"
"16",318.632653061225,166.469387755102,"Macrophage"
"17",45.6190476190476,167.571428571429,"Stromal"
"18",101.352941176471,169.411764705882,"Malignant"
"19",139.673913043478,172.521739130435,"Stromal"
"20",209.642857142857,173.464285714286,"Macrophage"
"21",16.9516129032258,175.112903225806,"Stromal"
"22",26.3783783783784,181.459459459459,"Malignant"
"23",58.3018867924528,180.339622641509,"Stromal"
"24",267.838709677419,180.064516129032,"T"
"25",237.84,181.84,"Macrophage"
"26",111.5,184.333333333333,"T"
"27",157.024390243902,190.463414634146,"Malignant"
"28",98.5,190.607142857143,"Macrophage"
"29",115.28125,190.3125,"Macrophage"
"30",55.4150943396226,194.245283018868,"Stromal"
"31",199.619047619048,198.261904761905,"Macrophage"
"32",70.2666666666667,202.1,"Macrophage"
"33",315.454545454545,208.590909090909,"Stromal"
"34",37.95,210.35,"Stromal"
"35",313.692307692308,213.076923076923,"Stromal"
"36",67.5862068965517,215.620689655172,"Stromal"
"37",114,214.8,"Macrophage"
"38",247.416666666667,218,"Macrophage"
"39",268.345454545455,221.272727272727,"Stromal"
"40",88.6052631578947,225.131578947368,"B"
"41",128.702702702703,229.108108108108,"Macrophage"
"42",192.454545454545,225.818181818182,"Stromal"
"43",316.869565217391,227.565217391304,"Macrophage"
"44",251.368421052632,229.368421052632,"Macrophage"
"45",43.96,231.26,"Macrophage"
"46",235.586206896552,232.51724137931,"Macrophage"
"47",30.8571428571429,231.821428571429,"Malignant"
"48",69.3636363636364,234.575757575758,"T"
"49",82.44,237.02,"Macrophage"
"50",183.363636363636,237.227272727273,"Macrophage"
"51",250.5,237.333333333333,"Macrophage"
"52",30.5,238.714285714286,"Malignant"
"53",47.9,239.7,"Malignant"
"54",176.5,248.3125,"Macrophage"
"55",190.953846153846,256.630769230769,"Malignant"
"56",23.2179487179487,257.615384615385,"Malignant"
"57",36.2258064516129,257.806451612903,"Malignant"
"58",149.320754716981,261.811320754717,"Macrophage"
"59",238.65,260.075,"Stromal"
"60",82.72,261.4,"T"
"61",164.21875,265.4375,"Macrophage"
"62",32.5744680851064,267.553191489362,"Malignant"
"63",102.576923076923,267.769230769231,"Macrophage"
"64",188.301587301587,272.968253968254,"Macrophage"
"65",201.266666666667,270.466666666667,"T"
"66",230.871794871795,275.692307692308,"Stromal"
"67",33.5833333333333,274.458333333333,"Malignant"
"68",221.914893617021,277.468085106383,"Macrophage"
"69",59.2941176470588,277.470588235294,"Malignant"
"70",321,278,"Macrophage"
"71",189.081967213115,291.377049180328,"Malignant"
"72",316.913043478261,291.739130434783,"Macrophage"
"73",268.666666666667,290.52380952381,"Stromal"
"74",108.3,294.25,"Macrophage"
"75",94,294.5,"Stromal"
"76",79.7368421052632,295.210526315789,"T"
"77",197.214285714286,298.5,"Stromal"
"78",239.2,298.68,"T"
"79",306.407407407407,302.740740740741,"Plasma"
"80",286.5,304.428571428571,"T"
"81",273,305.647058823529,"Stromal"
"82",66.6323529411765,307.176470588235,"Stromal"
"83",243.416666666667,307.583333333333,"Stromal"
"84",80.2857142857143,309.428571428571,"T"
"85",186.862745098039,312.127450980392,"Stromal"
"86",310.056603773585,313.528301886792,"Malignant"
"87",280.545454545455,313.090909090909,"T"
"88",290.954545454545,314.318181818182,"T"
"89",163.583333333333,317.333333333333,"T"
"90",75,317.583333333333,"Stromal"
"91",573.129032258065,82.0322580645161,"Stromal"
"92",540.357142857143,87,"Myoepi"
"93",550.586206896552,96.2068965517241,"Malignant"
"94",584.722222222222,96.1666666666667,"Stromal"
"95",570.933333333333,95.9333333333333,"Macrophage"
"96",557.5,110,"Macrophage"
"97",638,116.304347826087,"Macrophage"
"98",479.057142857143,118.142857142857,"Stromal"
"99",609.409836065574,119.934426229508,"Macrophage"
"100",617.84,119.92,"T"
"101",513,119.315789473684,"Macrophage"
"102",590.837209302326,120.953488372093,"T"
"103",488.666666666667,121.74358974359,"Malignant"
"104",599.958333333333,123.416666666667,"T"
"105",479.166666666667,124.708333333333,"Macrophage"
"106",544.966666666667,125.7,"T"
"107",594.44,126.92,"T"
"108",464.16,127.24,"Macrophage"
"109",324,128.666666666667,"Stromal"
"110",587.653846153846,128.576923076923,"T"
"111",616.222222222222,129.37037037037,"T"
"112",570.677419354839,131.903225806452,"Macrophage"
"113",609.451612903226,133.451612903226,"Macrophage"
"114",555,133,"T"
"115",496.886363636364,136.545454545455,"Macrophage"
"116",521.875,135.0625,"T"
"117",466.512195121951,136.634146341463,"Macrophage"
"118",597.14,137.8,"Macrophage"
"119",438.411764705882,138.352941176471,"Stromal"
"120",530.6,137.4,"T"
"121",419.21875,139.03125,"Stromal"
"122",505.263157894737,139.315789473684,"T"
"123",475.275862068966,140.206896551724,"B"
"124",426.347826086957,141.739130434783,"Stromal"
"125",509.481481481482,144.407407407407,"Plasma"
"126",433.9375,147.9375,"Macrophage"
"127",571.333333333333,149.4,"Macrophage"
"128",542.411764705882,151,"Stromal"
"129",565.904761904762,151.095238095238,"Macrophage"
"130",513.828571428571,152,"Macrophage"
"131",343.8,155.314285714286,"Plasma"
"132",461.3,153.8,"Macrophage"
"133",488.333333333333,154.066666666667,"Stromal"
"134",493.5,156,"Macrophage"
"135",372.656716417911,159.34328358209,"Stromal"
"136",561.333333333333,160,"Macrophage"
"137",432.615384615385,162.615384615385,"Macrophage"
"138",444.705882352941,163.058823529412,"Macrophage"
"139",402.411764705882,165.264705882353,"T"
"140",414.777777777778,166.666666666667,"T"
"141",380.468085106383,168.148936170213,"Macrophage"
"142",582.105263157895,168.578947368421,"T"
"143",430.434782608696,170.5,"Macrophage"
"144",540.044444444444,170.444444444444,"Macrophage"
"145",617.133333333333,172.8,"T"
"146",372.435897435898,175.230769230769,"Stromal"
"147",588.551724137931,174.862068965517,"Macrophage"
"148",393.736842105263,175.421052631579,"Malignant"
"149",448.0625,177.71875,"Macrophage"
"150",570.8,180.8,"T"
"151",590.354838709677,183.096774193548,"Macrophage"
"152",366.233333333333,185.2,"Macrophage"
"153",353.783783783784,187.783783783784,"Stromal"
"154",613.4,185.933333333333,"T"
"155",631.75,186.4,"Macrophage"
"156",329.108695652174,189,"T"
"157",401.444444444444,191.827160493827,"Malignant"
"158",577.8,190.1,"T"
"159",470.076923076923,192.615384615385,"Stromal"
"160",626.75,194.28125,"T"
"161",581.181818181818,195.333333333333,"Macrophage"
"162",423,195.096774193548,"Malignant"
"163",547.193548387097,196.806451612903,"DC_Mast"
"164",392.044117647059,199.411764705882,"Malignant"
"165",411.267857142857,201.285714285714,"Malignant"
"166",516.602564102564,204.179487179487,"Malignant"
"167",376.15,204,"Malignant"
"168",627.266666666667,204.066666666667,"T"
"169",531.518518518518,206.666666666667,"Malignant"
"170",499.79797979798,209.20202020202,"Malignant"
"171",633.653846153846,210.269230769231,"Stromal"
"172",561,208.5,"T"
"173",438.48717948718,209.487179487179,"Malignant"
"174",541.4,210.85,"Stromal"
"175",426.390243902439,215.19512195122,"Malignant"
"176",593.645161290323,213.967741935484,"B"
"177",525,215.513513513514,"Malignant"
"178",558.103448275862,216.413793103448,"Macrophage"
"179",406.106060606061,222.515151515152,"Malignant"
"180",376.049180327869,221.688524590164,"Malignant"
"181",440.242424242424,222.30303030303,"Malignant"
"182",483.321428571429,223.357142857143,"Malignant"
"183",633.575757575758,223.757575757576,"T"
"184",328,224.235294117647,"Macrophage"
"185",460.363636363636,225.181818181818,"Malignant"
"186",580.857142857143,226.5,"Stromal"
"187",430.661290322581,231.41935483871,"Malignant"
"188",637.567567567568,230.513513513514,"T"
"189",377.703703703704,231.407407407407,"Malignant"
"190",414.021739130435,235.739130434783,"Malignant"
"191",422.725,233.65,"Malignant"
"192",537.090909090909,232.272727272727,"Macrophage"
"193",395.94,236.4,"Stromal"
"194",632.769230769231,234.846153846154,"T"
"195",330.848484848485,236.393939393939,"Macrophage"
"196",554.40625,237.5,"Macrophage"
"197",627.44,237.92,"T"
"198",531.352272727273,244.590909090909,"Stromal"
"199",542.157894736842,241.157894736842,"Macrophage"
"200",470.892857142857,243.821428571429,"Malignant"
"201",432.96,244.98,"Malignant"
"202",583.526315789474,244.263157894737,"T"
"203",413.681818181818,249.363636363636,"Malignant"
"204",585.185185185185,253.074074074074,"Macrophage"
"205",423.5875,256.9625,"Malignant"
"206",370.333333333333,252.75,"Macrophage"
"207",483.196078431372,258.803921568627,"Malignant"
"208",522.966101694915,261.101694915254,"Stromal"
"209",366.741935483871,261.451612903226,"Macrophage"
"210",424.271186440678,266.64406779661,"Malignant"
"211",435.40625,268.03125,"Stromal"
"212",397.525,268.15,"Malignant"
"213",323.8,269.7,"Stromal"
"214",364.6,271,"Macrophage"
"215",515.085714285714,272.314285714286,"Malignant"
"216",562.674698795181,277.469879518072,"Malignant"
"217",574.428571428571,275.952380952381,"Malignant"
"218",542.093023255814,276.325581395349,"Macrophage"
"219",403.603174603175,279.269841269841,"Malignant"
"220",608.257142857143,277.285714285714,"Stromal"
"221",485.894736842105,277.210526315789,"Malignant"
"222",435.52,277.56,"Stromal"
"223",574.184615384615,286.676923076923,"Macrophage"
"224",344.296296296296,285.777777777778,"Macrophage"
"225",497.421052631579,285.315789473684,"Malignant"
"226",332.722222222222,286.194444444444,"Stromal"
"227",612.272727272727,286.090909090909,"Stromal"
"228",642.010101010101,286.222222222222,"Stromal"
"229",534.7,287.85,"T"
"230",380.875,292.392857142857,"Stromal"
"231",447,290.9375,"Stromal"
"232",551.933333333333,292.6,"Macrophage"
"233",402.414634146341,294.512195121951,"Malignant"
"234",473,293.142857142857,"Malignant"
"235",350.393442622951,297.401639344262,"Stromal"
"236",433.340425531915,295.957446808511,"Malignant"
"237",548.615384615385,296.461538461538,"Macrophage"
"238",515.875,299.96875,"T"
"239",336.333333333333,301.238095238095,"Stromal"
"240",361.219512195122,307,"Malignant"
"241",546.5,305,"T"
"242",425.41935483871,307.225806451613,"Malignant"
"243",590.416666666667,310.566666666667,"Stromal"
"244",567.5,314.243243243243,"Malignant"
"245",554.913580246914,318.876543209877,"Malignant"
"246",546.5625,316.625,"Stromal"
"247",591.96875,318.8125,"T"
"248",336.076923076923,319.653846153846,"Malignant"
"249",842.272727272727,58.3636363636364,"Macrophage"
"250",871.947368421053,63.6315789473684,"Macrophage"
"251",831.3125,69.0625,"Macrophage"
"252",794.52380952381,72.3809523809524,"T"
