"","x_cord","y_cord","gene"
"Cell_507",633.8873,36.950703,2.07359371101168
"Cell_704",625.17566,44.756756,2.82917147182371
"Cell_703",592.1392,44.620255,0
"Cell_769",618.42645,52.77941,3.90285287464343
"Cell_840",278.26956,53.217392,1.85900202748157
"Cell_905",629.431,55.396553,3.8697125172027
"Cell_859",253.22047,54.795277,2.92151287739365
"Cell_997",211.84445,61.144444,2.98955813677697
"Cell_1051",262.93332,61.6,0
"Cell_1071",245.4375,64.479164,1.26318649064904
"Cell_1127",224.01973,68.73684,1.01276638008917
"Cell_1148",613.5217,71.61491,2.83348449208474
"Cell_1128",272.59314,70.13725,2.77871166974211
"Cell_1181",339.15167,73.98578,3.09834840080229
"Cell_1131",604.7071,71.01674,3.76741458985265
"Cell_1238",622.3777,73.047874,4.11861249300119
"Cell_1284",304.09836,76.87978,3.42709667971524
"Cell_1285",318.7143,73.15873,3.90590928436521
"Cell_1380",325.12173,79.752174,3.84521362332327
"Cell_1399",225.45454,81.19481,0
"Cell_1400",252.53165,82.44304,2.10630158040422
"Cell_1403",607.74286,80.25714,3.86082362078747
"Cell_1442",294.58865,85.75177,3.68343256378781
"Cell_1444",587.7857,85.35714,3.09483058036005
"Cell_1401",347.89795,82.438774,3.11213279531925
"Cell_1510",302.6,85.1,3.32689814588487
"Cell_1492",628.70966,83.731186,4.49770186189278
"Cell_1465",360.28018,83.06035,3.22267403652052
"Cell_1554",220.25862,87.32758,1.70769656995698
"Cell_1555",244.5,90.455,2.51979585706159
"Cell_1539",283.40805,84.04023,2.52346752571842
"Cell_1556",273.80264,87.9079,3.65197147864996
"Cell_1557",330.4907,91.31677,3.45104736794012
"Cell_1445",640.2761,83.64179,3.86312212218717
"Cell_1619",577.37195,92.70122,2.42041822173818
"Cell_1639",313.30258,92.040344,3.15119434188317
"Cell_1704",210.7451,93.82353,0
"Cell_1792",368.02255,99.34586,2.45188798904642
"Cell_1578",9.378641,95.73786,2.6402227498088
"Cell_1706",569.91174,96.411766,1.81839795926117
"Cell_1810",298.48666,98.90667,3.35740004168317
"Cell_1767",606.64105,99.80342,4.57733801665716
"Cell_1765",231.94737,96.09649,1.61097253904896
"Cell_1811",591.3228,99.826775,2.89420338180021
"Cell_1857",580.2857,104.92063,2.35852159419028
"Cell_1766",387.14185,96.87234,2.34230042720263
"Cell_1874",310.374,104.73984,2.69574256820614
"Cell_1793",397.18918,95.64865,2.72268723344822
"Cell_1912",287.43066,104.985405,2.79051386838111
"Cell_1956",322.28735,105.37931,3.44366459697319
"Cell_1975",572.6539,107.32051,1.77223243207648
"Cell_1990",593.469,109.81379,3.44768593312984
"Cell_2011",300.58557,109.88288,2.82230605207442
"Cell_1875",339.44904,102.3967,2.58891892941241
"Cell_1974",357.63028,112.22183,3.31274853224626
"Cell_2099",275.42374,114.61017,3.76651681694241
"Cell_2147",267.55768,115.36539,3.41171002824205
"Cell_2100",582,112,3.41457998508354
"Cell_2129",609.41174,112.382355,4.66826869326658
"Cell_2146",240.28633,119.311966,2.46665101597989
"Cell_2170",220.7789,121.0603,2.0897980447572
"Cell_2171",324.7533,117.14978,3.7079194581117
"Cell_2173",599.3224,116.64474,3.20690847001126
"Cell_2201",635.5352,117.633804,3.29183764271115
"Cell_2224",293.40466,120.785995,3.05269135987159
"Cell_2200",538.62,116.1,0
"Cell_2242",560.381,120.9881,0
"Cell_2199",349.42322,120.34831,2.76240322150559
"Cell_2280",587.1967,122.483604,2.38057952529561
