"","x_cord","y_cord","gene"
"cell7",633.8873,36.950703,0.17291605
"cell10",625.17566,44.756756,0.9754006
"cell11",592.1392,44.620255,0.44032928
"cell12",618.42645,52.77941,1.9948229
"cell15",278.26956,53.217392,0.61953557
"cell16",629.431,55.396553,2.177411
"cell17",253.22047,54.795277,0.87104714
"cell20",211.84445,61.144444,0.16489694
"cell23",262.93332,61.6,1.1810005
"cell25",245.4375,64.479164,0.4924553
"cell26",224.01973,68.73684,0.3811462
"cell27",613.5217,71.61491,2.300889
"cell28",272.59314,70.13725,2.3891144
"cell31",339.15167,73.98578,1.7680756
"cell36",604.7071,71.01674,2.0983787
"cell37",622.3777,73.047874,1.8643064
"cell39",304.09836,76.87978,1.1273675
"cell40",318.7143,73.15873,0.34493342
"cell44",325.12173,79.752174,1.4108547
"cell46",225.45454,81.19481,0.20031357
"cell47",252.53165,82.44304,0.9377977
"cell48",607.74286,80.25714,1.6465467
"cell49",294.58865,85.75177,2.6091955
"cell52",587.7857,85.35714,2.4397588
"cell54",347.89795,82.438774,2.2527444
"cell57",302.6,85.1,2.4073672
"cell62",628.70966,83.731186,1.3354381
"cell66",360.28018,83.06035,2.0375862
"cell67",220.25862,87.32758,0.19088401
"cell68",244.5,90.455,2.1243703
"cell69",283.40805,84.04023,2.2960842
"cell70",273.80264,87.9079,2.0049508
"cell74",330.4907,91.31677,2.2796352
"cell77",640.2761,83.64179,2.4860232
"cell81",577.37195,92.70122,1.93098
"cell82",313.30258,92.040344,2.5935912
"cell84",210.7451,93.82353,0.20002154
"cell88",368.02255,99.34586,2.5916002
"cell90",9.378641,95.73786,0.47972655
"cell92",569.91174,96.411766,1.3781034
"cell94",298.48666,98.90667,2.665327
"cell96",606.64105,99.80342,1.3074248
"cell97",231.94737,96.09649,0.36430654
"cell101",591.3228,99.826775,2.2514627
"cell102",580.2857,104.92063,1.7231787
"cell103",387.14185,96.87234,2.2650287
"cell104",310.374,104.73984,2.608987
"cell105",397.18918,95.64865,0.8444239
"cell108",287.43066,104.985405,2.703521
"cell113",322.28735,105.37931,2.6352696
"cell114",572.6539,107.32051,1.1791104
"cell115",593.469,109.81379,1.6100944
"cell116",300.58557,109.88288,2.154567
"cell117",339.44904,102.3967,2.076347
"cell118",357.63028,112.22183,1.9069283
"cell120",275.42374,114.61017,2.1115508
"cell123",267.55768,115.36539,2.274032
"cell124",582,112,2.0015328
"cell127",609.41174,112.382355,1.1450784
"cell129",240.28633,119.311966,2.1888843
"cell132",220.7789,121.0603,0.5265631
"cell133",324.7533,117.14978,2.5494988
"cell134",599.3224,116.64474,1.9126883
"cell135",635.5352,117.633804,1.3232992
"cell136",293.40466,120.785995,2.8330905
"cell137",538.62,116.1,0.21772309
"cell141",560.381,120.9881,0.6819928
"cell143",349.42322,120.34831,0.29732144
"cell145",587.1967,122.483604,1.8419688
"cell147",283.56897,123.5,1.975325
"cell148",23.086021,118.666664,0.4815409
"cell149",248.8866,125.85567,2.3059924
"cell153",618.2971,121.96571,1.686567
"cell154",30.415663,126.43374,0.6562897
"cell158",630.4912,124.7193,1.2271494
"cell161",318.59036,125.789154,2.383143
"cell163",606.4046,123.099236,1.3683233
"cell164",238.98112,128.62263,1.8106451
"cell167",220.84445,128.68889,2.385501
"cell170",61.560608,128.59091,0.49201486
"cell173",309.53845,131.29915,2.391876
"cell175",594.1585,130.2317,2.0781515
"cell177",256.4661,132.01695,2.547866
"cell179",367.65753,128.82191,0.49991494
"cell180",228.92554,135.31383,1.7443751
"cell183",583.86365,132.36363,2.246331
"cell185",298.81082,134.94595,2.3729799
"cell186",639.0111,131.8,2.1093576
"cell190",290.79166,134.125,2.426481
"cell191",361.34482,134.05173,1.2086552
"cell192",207.83018,134.28302,0.91027015
"cell195",328.24124,134.79385,2.5882769
"cell198",305.20456,135.77272,1.8985627
"cell200",268.17075,139.2439,2.5338662
"cell202",563.2353,138.27942,0.36493084
"cell204",240.41379,138.3793,1.8126227
"cell205",610.29456,135.23256,1.3970664
"cell207",580.12634,142.86316,0.39069661
"cell209",364.78262,143.86166,1.3034655
"cell210",390.0304,140.65654,1.0865664
"cell214",321.92798,148.97034,2.633418
"cell215",591.6943,143.4715,1.1028013
"cell216",411.71112,136.7,0.5074807
"cell217",305.65735,145.86014,2.4557836
"cell218",385.60526,141.42105,0.24205254
"cell220",347.9618,142.82802,1.9435841
"cell221",217.09023,146.28572,1.2569104
"cell222",259.8901,144.68132,2.2111108
"cell224",600.0635,146.12698,1.6327518
"cell227",379.1746,146.74603,0.24320512
"cell228",288.52222,151.06667,2.410755
"cell230",20.253334,147.45334,2.0926676
"cell234",334.25687,147.30275,0.50556415
"cell239",249.55312,146.70695,1.7471809
"cell242",621.7944,153.54205,1.1411868
"cell243",365.45615,152.80702,0.41210005
"cell245",32.42647,149.60294,1.8090876
"cell246",314.22342,155.54256,2.4776523
"cell250",201.47945,152.24658,1.9629793
"cell251",297.11926,155.29358,2.0966816
"cell253",267.67114,157.65771,0.74995196
"cell256",239.61458,156.70833,1.9235808
"cell257",209.39209,158.85252,2.5302277
"cell263",561.7816,158.22989,0.35317132
"cell265",361.57812,156.9375,0.3290673
"cell266",616.30884,160.55882,1.5771273
"cell268",20.827587,156.82759,0.915369
"cell270",29.152174,159.36957,1.0462054
"cell274",601.7308,159.11058,1.3462528
"cell275",194.7922,162.2987,1.6521263
"cell278",443.19446,160.29167,2.0071542
"cell279",24.283333,164.9,1.4518732
"cell282",280.60345,162.22414,1.9822994
"cell283",355.451,162.31372,1.0936288
"cell287",57.203884,167.26213,1.7807778
"cell288",625.75,162.875,1.0821971
"cell289",306.6154,165.38461,2.3623922
"cell290",409.65494,163.4377,0.563881
"cell291",254.91925,162.7764,1.5485756
"cell292",321.2449,164.43878,2.2644944
"cell295",51.836735,165.48979,0.4556315
"cell297",296.47562,167.10976,2.1561127
"cell300",261.19745,168.92357,2.4476092
"cell302",81.14445,168.13333,0.63979375
"cell305",585.0351,168.1579,0.46583652
"cell307",620.43567,167.81187,1.3786707
"cell312",350.33334,170.53206,1.5718979
"cell313",275.0707,170.70708,2.2577548
"cell314",189,167.45946,1.4332495
"cell316",225.65517,174.36781,0.9961573
"cell317",284.41666,170.23334,1.9566386
"cell319",45.82353,173.08403,0.72215855
"cell321",608.525,169.525,1.48905
"cell324",423.7931,174.54597,1.3794346
"cell326",240.20312,174.5625,1.4496865
"cell328",407.7073,172.14635,0.3127011
"cell329",328.26562,172.94531,1.6152214
"cell330",169.20276,173.58525,0.22120138
"cell331",149.10959,172.43835,0.39273795
"cell332",233.04878,175.60976,0.45406324
"cell334",266.60638,175.54256,2.305559
"cell335",38.622448,175.87755,0.6066446
"cell336",83.44326,178.13121,1.5809678
"cell340",187.32445,175.56,0.76714104
"cell341",622.65625,175.09375,1.4923974
"cell342",27.15528,174.54659,1.4879831
"cell345",57.493828,176.97531,1.1367471
"cell346",487.25235,174.4299,2.1074243
"cell347",599.9205,174.82576,0.6960234
"cell348",437.0291,181.71198,2.278117
"cell350",380.8421,177.35088,0.43140087
"cell352",612.2366,176.06451,1.2498194
"cell353",315.67517,177.05095,2.3590143
"cell354",207.87097,179.3871,2.6696243
"cell359",196.5082,180.2295,2.7818284
"cell363",239.71698,181.09435,1.4560245
"cell365",359.5,177.30435,0.52403075
"cell366",416.6534,182.45454,0.82067454
"cell367",252.13637,182.37662,2.4788446
"cell369",587.67413,180.22472,0.50175214
"cell370",340.6414,180.33794,2.8335838
"cell371",390.44565,180.84782,0.32999992
"cell373",175.26712,187,1.936129
"cell375",270.41772,182.55696,2.2670076
