"","corr","gene","n","type","model","sample"
"1",0.14832620769035,"ADIPOQ","top_20","svg","model74","breast_sample1"
"2",0.0368705159343787,"OPRPN","top_20","svg","model74","breast_sample1"
"3",0.744425710305702,"SCD","top_20","svg","model74","breast_sample1"
"4",0.770772046031316,"FASN","top_20","svg","model74","breast_sample1"
"5",0.697475597532733,"CEACAM6","top_20","svg","model74","breast_sample1"
"6",0.444155796988593,"AGR3","top_20","svg","model74","breast_sample1"
"7",0.804914228092043,"FOXA1","top_20","svg","model74","breast_sample1"
"8",0.356413571055628,"KRT23","top_20","svg","model74","breast_sample1"
"9",0.837284111421173,"EPCAM","top_20","svg","model74","breast_sample1"
"10",0.463564195316084,"KRT6B","top_20","svg","model74","breast_sample1"
"11",0.66935459831281,"ABCC11","top_20","svg","model74","breast_sample1"
"12",0.720404490527863,"ERBB2","top_20","svg","model74","breast_sample1"
"13",0.799644435114697,"TACSTD2","top_20","svg","model74","breast_sample1"
"14",0.762938552726105,"GATA3","top_20","svg","model74","breast_sample1"
"15",0.551770767350376,"KRT14","top_20","svg","model74","breast_sample1"
"16",0.511996674548471,"KRT5","top_20","svg","model74","breast_sample1"
"17",0.844840782552009,"KRT7","top_20","svg","model74","breast_sample1"
"18",0.786196362412044,"ANKRD30A","top_20","svg","model74","breast_sample1"
"19",0.808180983162862,"MLPH","top_20","svg","model74","breast_sample1"
"20",0.591315355164007,"SERHL2","top_20","svg","model74","breast_sample1"
"21",0.0658339540077395,"TIFA","bottom_20","svg","model74","breast_sample1"
"22",NA,"CCL20","bottom_20","svg","model74","breast_sample1"
"23",0.0173960403566011,"FOXP3","bottom_20","svg","model74","breast_sample1"
"24",0.0276915882326589,"CD274","bottom_20","svg","model74","breast_sample1"
"25",0.061167061584749,"PLD4","bottom_20","svg","model74","breast_sample1"
"26",-0.000757026450418941,"MUC6","bottom_20","svg","model74","breast_sample1"
"27",0.0466569309593025,"SOX18","bottom_20","svg","model74","breast_sample1"
"28",NA,"SNAI1","bottom_20","svg","model74","breast_sample1"
"29",0.28400925338861,"HAVCR2","bottom_20","svg","model74","breast_sample1"
"30",0.00519719562341287,"CLEC9A","bottom_20","svg","model74","breast_sample1"
"31",-0.00788962513645232,"TCF15","bottom_20","svg","model74","breast_sample1"
"32",NA,"SLC4A1","bottom_20","svg","model74","breast_sample1"
"33",-0.000737552004660692,"APOBEC3A","bottom_20","svg","model74","breast_sample1"
"34",-0.00183241167801187,"NDUFA4L2","bottom_20","svg","model74","breast_sample1"
"35",-0.000154253032344419,"AHSP","bottom_20","svg","model74","breast_sample1"
"36",NA,"CRHBP","bottom_20","svg","model74","breast_sample1"
"37",-0.00125881084562606,"CSF3","bottom_20","svg","model74","breast_sample1"
"38",0.000170090854402523,"CYP1A1","bottom_20","svg","model74","breast_sample1"
"39",0.0275993088427477,"PDCD1","bottom_20","svg","model74","breast_sample1"
"40",NA,"UCP1","bottom_20","svg","model74","breast_sample1"
"41",0.14832620769035,"ADIPOQ","top_50","svg","model74","breast_sample1"
"42",0.0368705159343787,"OPRPN","top_50","svg","model74","breast_sample1"
"43",0.744425710305702,"SCD","top_50","svg","model74","breast_sample1"
"44",0.770772046031316,"FASN","top_50","svg","model74","breast_sample1"
"45",0.697475597532733,"CEACAM6","top_50","svg","model74","breast_sample1"
"46",0.444155796988593,"AGR3","top_50","svg","model74","breast_sample1"
"47",0.804914228092043,"FOXA1","top_50","svg","model74","breast_sample1"
"48",0.356413571055628,"KRT23","top_50","svg","model74","breast_sample1"
"49",0.837284111421173,"EPCAM","top_50","svg","model74","breast_sample1"
"50",0.463564195316084,"KRT6B","top_50","svg","model74","breast_sample1"
"51",0.66935459831281,"ABCC11","top_50","svg","model74","breast_sample1"
"52",0.720404490527863,"ERBB2","top_50","svg","model74","breast_sample1"
"53",0.799644435114697,"TACSTD2","top_50","svg","model74","breast_sample1"
"54",0.762938552726105,"GATA3","top_50","svg","model74","breast_sample1"
"55",0.551770767350376,"KRT14","top_50","svg","model74","breast_sample1"
"56",0.511996674548471,"KRT5","top_50","svg","model74","breast_sample1"
"57",0.844840782552009,"KRT7","top_50","svg","model74","breast_sample1"
"58",0.786196362412044,"ANKRD30A","top_50","svg","model74","breast_sample1"
"59",0.808180983162862,"MLPH","top_50","svg","model74","breast_sample1"
"60",0.591315355164007,"SERHL2","top_50","svg","model74","breast_sample1"
"61",0.354456114938149,"ADH1B","top_50","svg","model74","breast_sample1"
"62",0.536498062435868,"SERPINA3","top_50","svg","model74","breast_sample1"
"63",0.796016703711345,"KRT8","top_50","svg","model74","breast_sample1"
"64",0.593294399249379,"CXCL12","top_50","svg","model74","breast_sample1"
"65",0.784373469612766,"PTPRC","top_50","svg","model74","breast_sample1"
"66",0.629848526177252,"CCDC80","top_50","svg","model74","breast_sample1"
"67",0.58516318666207,"ELF3","top_50","svg","model74","breast_sample1"
"68",0.472433163906792,"KRT15","top_50","svg","model74","breast_sample1"
"69",0.635349479155314,"MYO5B","top_50","svg","model74","breast_sample1"
"70",0.419057806703303,"SFRP1","top_50","svg","model74","breast_sample1"
"71",0.730212878633973,"CDH1","top_50","svg","model74","breast_sample1"
"72",0.702339426259563,"CXCR4","top_50","svg","model74","breast_sample1"
"73",0.649394426976148,"S100A14","top_50","svg","model74","breast_sample1"
"74",0.724435838135947,"CD9","top_50","svg","model74","breast_sample1"
"75",0.500554094985792,"TFAP2A","top_50","svg","model74","breast_sample1"
"76",0.686953686347353,"CCND1","top_50","svg","model74","breast_sample1"
"77",0.492602237740988,"CLDN4","top_50","svg","model74","breast_sample1"
"78",0.714850334763509,"IL7R","top_50","svg","model74","breast_sample1"
"79",0.593991649522979,"AR","top_50","svg","model74","breast_sample1"
"80",0.363021239098199,"KRT16","top_50","svg","model74","breast_sample1"
"81",0.422449617286964,"PTGDS","top_50","svg","model74","breast_sample1"
"82",0.62748526067126,"POSTN","top_50","svg","model74","breast_sample1"
"83",0.607192527004424,"LYPD3","top_50","svg","model74","breast_sample1"
"84",0.63666307688336,"LUM","top_50","svg","model74","breast_sample1"
"85",0.351226326621414,"ESR1","top_50","svg","model74","breast_sample1"
"86",0.284921569317635,"MS4A1","top_50","svg","model74","breast_sample1"
"87",0.677157256191223,"DSP","top_50","svg","model74","breast_sample1"
"88",0.479567563242793,"SFRP4","top_50","svg","model74","breast_sample1"
"89",0.450946667364284,"MZB1","top_50","svg","model74","breast_sample1"
"90",0.442553676772697,"KLF5","top_50","svg","model74","breast_sample1"
"91",0.0255698836431952,"C2orf42","bottom_50","svg","model74","breast_sample1"
"92",0.133763916139486,"LILRA4","bottom_50","svg","model74","breast_sample1"
"93",0.175591419732534,"APOBEC3B","bottom_50","svg","model74","breast_sample1"
"94",0.0525750648774789,"GNLY","bottom_50","svg","model74","breast_sample1"
"95",0.0555104180942673,"CX3CR1","bottom_50","svg","model74","breast_sample1"
"96",0.0227942983875904,"LY86","bottom_50","svg","model74","breast_sample1"
"97",0.214428503910102,"TYROBP","bottom_50","svg","model74","breast_sample1"
"98",0.0402108420670333,"LAG3","bottom_50","svg","model74","breast_sample1"
"99",0.0704987078232451,"TUBA4A","bottom_50","svg","model74","breast_sample1"
"100",0.00872574122464956,"GZMK","bottom_50","svg","model74","breast_sample1"
"101",0.0820765334254235,"CLECL1","bottom_50","svg","model74","breast_sample1"
"102",0.128936059335685,"TRAPPC3","bottom_50","svg","model74","breast_sample1"
"103",0.285521724292873,"KLRC1","bottom_50","svg","model74","breast_sample1"
"104",-0.00387839087810001,"LIF","bottom_50","svg","model74","breast_sample1"
"105",0.105265169629163,"CD83","bottom_50","svg","model74","breast_sample1"
"106",0.0239428694569375,"CD80","bottom_50","svg","model74","breast_sample1"
"107",0.246174663914752,"PRF1","bottom_50","svg","model74","breast_sample1"
"108",0.378787498717013,"HOXD9","bottom_50","svg","model74","breast_sample1"
"109",NA,"CLIC6","bottom_50","svg","model74","breast_sample1"
"110",0.166863816102613,"DUSP2","bottom_50","svg","model74","breast_sample1"
"111",0.257074861346106,"LARS","bottom_50","svg","model74","breast_sample1"
"112",-0.000542994506814832,"PDCD1LG2","bottom_50","svg","model74","breast_sample1"
"113",-0.000354919556785256,"MYBPC1","bottom_50","svg","model74","breast_sample1"
"114",0.00645594945281202,"REXO4","bottom_50","svg","model74","breast_sample1"
"115",NA,"CXCL5","bottom_50","svg","model74","breast_sample1"
"116",0.0886160220044744,"WARS","bottom_50","svg","model74","breast_sample1"
"117",NA,"NCAM1","bottom_50","svg","model74","breast_sample1"
"118",NA,"DNAAF1","bottom_50","svg","model74","breast_sample1"
"119",-0.000548367354545934,"CTH","bottom_50","svg","model74","breast_sample1"
"120",-0.000337126384619479,"SSTR2","bottom_50","svg","model74","breast_sample1"
"121",0.0658339540077395,"TIFA","bottom_50","svg","model74","breast_sample1"
"122",NA,"CCL20","bottom_50","svg","model74","breast_sample1"
"123",0.0173960403566011,"FOXP3","bottom_50","svg","model74","breast_sample1"
