"","gt","pred"
"Cell_507",2.07359371101168,0
"Cell_704",2.82917147182371,0.82027096
"Cell_703",0,0.5184352
"Cell_769",2.99621496793527,2.0693288
"Cell_840",4.06741486859473,0.58113515
"Cell_905",2.29012018893011,1.5808961
"Cell_859",3.82301600335041,1.1383833
"Cell_997",0,0.10300686
"Cell_1051",0,1.3521287
"Cell_1071",4.54868619134562,0.37653193
"Cell_1127",2.82917147182371,0.28717333
"Cell_1148",3.55137930155098,2.0494144
"Cell_1128",3.6695694027799,2.6821706
"Cell_1181",3.38618628278428,1.9476246
"Cell_1131",3.42034065176213,1.7840658
"Cell_1238",3.66602964286173,1.8517874
"Cell_1284",3.73961637465543,1.1448845
"Cell_1285",2.80645374287943,0.31778556
"Cell_1380",3.84521362332327,1.3598458
"Cell_1399",2.78420327142082,0.22260706
"Cell_1400",2.92822268221181,1.1294868
"Cell_1403",2.13163873296182,1.5816196
"Cell_1442",2.92258371640148,2.4123187
"Cell_1444",3.26621168927837,2.0461051
"Cell_1401",3.17455487107281,1.9107487
"Cell_1510",2.00414289726222,2.1176403
"Cell_1492",3.14590870614836,1.1468741
"Cell_1465",3.91318380390741,1.6509265
"Cell_1554",1.70769656995698,0.20009243
"Cell_1555",2.82535199277519,2.2998974
"Cell_1539",3.72392087815512,2.375108
"Cell_1556",3.9888093894892,2.0998065
"Cell_1557",3.27712576747831,2.058645
"Cell_1445",3.09233560465462,2.2549164
"Cell_1619",1.06233966246895,1.9071381
"Cell_1639",3.33582852951329,2.2481713
"Cell_1704",0,0.19749418
"Cell_1792",3.417900058897,2.2442985
"Cell_1578",5.01817456920038,0.40395305
"Cell_1706",0,1.2626094
"Cell_1810",2.18817208695918,2.2873027
"Cell_1767",3.77689340596438,1.3803185
"Cell_1765",1.01955135863194,0.2846092
"Cell_1811",3.0886033513531,2.1929142
"Cell_1857",3.36303120212154,1.8050492
"Cell_1766",1.23697338286909,1.8010378
"Cell_1874",3.30788987532945,2.2671673
"Cell_1793",2.37872219795999,0.4729437
"Cell_1912",3.24113451976373,2.8464866
"Cell_1956",3.26983843280838,2.5171676
"Cell_1975",1.77223243207648,1.3508114
"Cell_1990",3.85944653478946,1.6968508
"Cell_2011",3.84402655881408,2.133461
"Cell_1875",3.3844339299136,2.1136978
"Cell_1974",3.24636938346337,1.977245
"Cell_2099",2.9219589343625,2.0693102
"Cell_2147",0,2.2322094
"Cell_2100",3.04395047136159,1.853142
"Cell_2129",4.0238450376217,1.3449509
"Cell_2146",3.00771940541725,2.3261354
"Cell_2170",2.34230042720263,0.5388009
"Cell_2171",3.92279563258991,2.3522549
"Cell_2173",3.20690847001126,1.9120381
"Cell_2201",3.6695694027799,1.5836008
"Cell_2224",3.40300578123636,2.9437053
"Cell_2200",0,0.12176545
"Cell_2242",2.96331998770637,0.47301942
"Cell_2199",3.60374848323148,0.17340855
"Cell_2280",3.23494847407734,1.8250268
