"","gt","pred"
"Cell_507",0,0
"Cell_704",1.6019593593363,0.69535786
"Cell_703",0,0.36135778
"Cell_769",2.99621496793527,1.8018048
"Cell_840",2.64504052026795,0.5185772
"Cell_905",0,1.3448977
"Cell_859",2.73051301089082,0.70287436
"Cell_997",1.72861815838679,0.10016122
"Cell_1051",2.72009138593514,0.9662561
"Cell_1071",0,0.28549358
"Cell_1127",3.02226757139022,0.1918523
"Cell_1148",1.34026836473504,1.7057322
"Cell_1128",2.50840687163754,2.1625006
"Cell_1181",1.75012109124934,1.3657672
"Cell_1131",1.55639979337819,1.4109733
"Cell_1238",2.50524078840195,1.4406621
"Cell_1284",2.77688734670996,0.7353441
"Cell_1285",3.6994691941658,0.20251632
"Cell_1380",3.17366275714021,1.0183697
"Cell_1399",1.56698786392275,0.14638476
"Cell_1400",2.92822268221181,0.81018656
"Cell_1403",2.95685570976677,1.0083402
"Cell_1442",2.64745776204996,2.0171278
"Cell_1444",2.90031120215831,1.6965927
"Cell_1401",2.7516670859028,1.5921521
"Cell_1510",0,1.7696848
"Cell_1492",1.56698786392275,0.85952944
"Cell_1465",3.05193948995961,1.3489236
"Cell_1554",0,0.13306423
"Cell_1555",3.07736762182557,1.7524045
"Cell_1539",1.23697338286909,1.8639891
"Cell_1556",2.57501958655825,1.6708574
"Cell_1557",2.24064924142096,1.7156426
"Cell_1445",2.46395055366117,1.8833237
"Cell_1619",1.66749748045898,1.4908701
"Cell_1639",2.39099252039844,1.9458048
"Cell_1704",2.28001714339399,0.11655431
"Cell_1792",1.99308651495821,1.8894516
"Cell_1578",0,0.26935968
"Cell_1706",0,0.79178286
"Cell_1810",2.88812927016781,1.9851426
"Cell_1767",2.60478285768619,0.7823166
"Cell_1765",1.61097253904896,0.19543795
"Cell_1811",1.05129475730512,1.4982556
"Cell_1857",1.61552117785191,1.0475358
"Cell_1766",0,1.5044761
"Cell_1874",2.14544750392983,1.9383477
"Cell_1793",1.26318649064904,0.3735766
"Cell_1912",2.60246267246714,2.4259644
"Cell_1956",1.1603100915859,2.1483264
"Cell_1975",0,0.62951356
"Cell_1990",1.88867406308531,0.94331455
"Cell_2011",2.55049104509421,1.727033
"Cell_1875",2.72391906149869,1.5808274
"Cell_1974",3.10368025193826,1.5101968
"Cell_2099",2.27429182840706,1.6523689
"Cell_2147",2.28001714339399,1.8315729
"Cell_2100",2.54390222321658,1.2498007
"Cell_2129",0,0.5675132
"Cell_2146",1.81365957052424,1.896496
"Cell_2170",2.34230042720263,0.3547906
"Cell_2171",3.06099503270164,2.0244017
"Cell_2173",2.57051599904618,1.1959391
"Cell_2201",0,0.7017148
"Cell_2224",2.47534177125037,2.538081
"Cell_2200",0,0.075890735
"Cell_2242",0,0.37466332
"Cell_2199",2.35961270656978,0.12502737
"Cell_2280",1.03693560603773,1.2467155
"Cell_2326",2.22156636192732,1.6332763
