"","gt","pred"
"Cell_507",2.07359371101168,0
"Cell_704",3.1925432699733,0.81062573
"Cell_703",2.16656101921724,0.4327405
"Cell_769",2.16656101921724,2.1731231
"Cell_840",3.00123365650451,0.29598448
"Cell_905",2.29012018893011,1.3306898
"Cell_859",3.61751383215564,1.0206851
"Cell_997",0,0.1293126
"Cell_1051",2.24064924142096,1.2512063
"Cell_1071",3.43319597672834,0.30050275
"Cell_1127",3.34482685976452,0.2561219
"Cell_1148",3.45389902625133,2.0086715
"Cell_1128",2.35153641501325,2.6639879
"Cell_1181",3.09834840080229,1.7391157
"Cell_1131",2.8696476291894,1.6659365
"Cell_1238",3.47695908147472,1.7770884
"Cell_1284",3.13831654670298,0.9751744
"Cell_1285",3.90590928436521,0.32552987
"Cell_1380",3.33530134118924,1.2775292
"Cell_1399",1.56698786392275,0.229775
"Cell_1400",3.21173666996641,1.1031289
"Cell_1403",2.95685570976677,1.303347
"Cell_1442",3.35259451794702,2.4290695
"Cell_1444",3.09483058036005,1.9713875
"Cell_1401",3.17455487107281,1.8533525
"Cell_1510",2.8120886918043,2.1005154
"Cell_1492",4.06202129472567,1.0626119
"Cell_1465",3.51335736356428,1.5477475
"Cell_1554",1.70769656995698,0.20276992
"Cell_1555",3.56350944667036,2.1954973
"Cell_1539",2.96072977420096,2.2542188
"Cell_1556",3.44858139597631,1.9660143
"Cell_1557",2.9692293112282,2.0526044
"Cell_1445",3.09233560465462,2.2789311
"Cell_1619",3.27895469965735,1.8344704
"Cell_1639",2.88122827903476,2.280981
"Cell_1704",0,0.20775084
"Cell_1792",2.94616463785327,2.2455406
"Cell_1578",1.85484926367148,0.26510072
"Cell_1706",1.81839795926117,1.0603842
"Cell_1810",3.45422536151298,2.3308256
"Cell_1767",2.60478285768619,1.100706
"Cell_1765",2.35308433910217,0.19702747
"Cell_1811",3.90121017659774,1.6989049
"Cell_1857",3.36303120212154,1.165401
"Cell_1766",0,1.7260236
"Cell_1874",3.40436164410622,2.2905107
"Cell_1793",1.26318649064904,0.32661527
"Cell_1912",3.24113451976373,2.804824
"Cell_1956",1.79498108425527,2.3442113
"Cell_1975",0,0.98514473
"Cell_1990",2.86925498265935,1.0615749
"Cell_2011",3.05093777280595,2.0218048
"Cell_1875",3.46374718522531,1.9473757
"Cell_1974",3.49531912204979,1.7921017
"Cell_2099",3.51302905868165,1.945804
"Cell_2147",2.76240322150559,2.1279337
"Cell_2100",0,1.4317515
"Cell_2129",2.82917147182371,0.69899434
"Cell_2146",3.17776660470256,2.2549794
"Cell_2170",2.34230042720263,0.5147025
"Cell_2171",3.45534244238596,2.115095
"Cell_2173",3.07216202349379,1.3340352
"Cell_2201",3.29183764271115,0.95385325
"Cell_2224",3.40300578123636,2.8963153
"Cell_2200",0,0.11837613
"Cell_2242",0,0.37188658
"Cell_2199",3.07693291027767,0.07810948
"Cell_2280",4.15622146924624,1.5996205
"Cell_2326",3.05796847072319,1.8377184
"Cell_2223",0,0.4158097
"Cell_2279",3.44366459697319,2.201552
"Cell_2301",2.81633422884047,1.1580505
"Cell_2299",0,0.5961102
"Cell_2379",3.45847580444295,0.80010647
"Cell_2410",2.51979585706159,2.3121796
"Cell_2436",2.91086114780138,0.8887457
