"","gt","pred"
"Cell_507",2.07359371101168,0.17291605
"Cell_704",2.82917147182371,0.9754006
"Cell_703",0,0.44032928
"Cell_769",3.90285287464343,1.9948229
"Cell_840",1.85900202748157,0.61953557
"Cell_905",3.8697125172027,2.177411
"Cell_859",2.92151287739365,0.87104714
"Cell_997",2.98955813677697,0.16489694
"Cell_1051",0,1.1810005
"Cell_1071",1.26318649064904,0.4924553
"Cell_1127",1.01276638008917,0.3811462
"Cell_1148",2.83348449208474,2.300889
"Cell_1128",2.77871166974211,2.3891144
"Cell_1181",3.09834840080229,1.7680756
"Cell_1131",3.76741458985265,2.0983787
"Cell_1238",4.11861249300119,1.8643064
"Cell_1284",3.42709667971524,1.1273675
"Cell_1285",3.90590928436521,0.34493342
"Cell_1380",3.84521362332327,1.4108547
"Cell_1399",0,0.20031357
"Cell_1400",2.10630158040422,0.9377977
"Cell_1403",3.86082362078747,1.6465467
"Cell_1442",3.68343256378781,2.6091955
"Cell_1444",3.09483058036005,2.4397588
"Cell_1401",3.11213279531925,2.2527444
"Cell_1510",3.32689814588487,2.4073672
"Cell_1492",4.49770186189278,1.3354381
"Cell_1465",3.22267403652052,2.0375862
"Cell_1554",1.70769656995698,0.19088401
"Cell_1555",2.51979585706159,2.1243703
"Cell_1539",2.52346752571842,2.2960842
"Cell_1556",3.65197147864996,2.0049508
"Cell_1557",3.45104736794012,2.2796352
"Cell_1445",3.86312212218717,2.4860232
"Cell_1619",2.42041822173818,1.93098
"Cell_1639",3.15119434188317,2.5935912
"Cell_1704",0,0.20002154
"Cell_1792",2.45188798904642,2.5916002
"Cell_1578",2.6402227498088,0.47972655
"Cell_1706",1.81839795926117,1.3781034
"Cell_1810",3.35740004168317,2.665327
"Cell_1767",4.57733801665716,1.3074248
"Cell_1765",1.61097253904896,0.36430654
"Cell_1811",2.89420338180021,2.2514627
"Cell_1857",2.35852159419028,1.7231787
"Cell_1766",2.34230042720263,2.2650287
"Cell_1874",2.69574256820614,2.608987
"Cell_1793",2.72268723344822,0.8444239
"Cell_1912",2.79051386838111,2.703521
"Cell_1956",3.44366459697319,2.6352696
"Cell_1975",1.77223243207648,1.1791104
"Cell_1990",3.44768593312984,1.6100944
"Cell_2011",2.82230605207442,2.154567
"Cell_1875",2.58891892941241,2.076347
"Cell_1974",3.31274853224626,1.9069283
"Cell_2099",3.76651681694241,2.1115508
"Cell_2147",3.41171002824205,2.274032
"Cell_2100",3.41457998508354,2.0015328
"Cell_2129",4.66826869326658,1.1450784
"Cell_2146",2.46665101597989,2.1888843
"Cell_2170",2.0897980447572,0.5265631
"Cell_2171",3.7079194581117,2.5494988
"Cell_2173",3.20690847001126,1.9126883
"Cell_2201",3.29183764271115,1.3232992
"Cell_2224",3.05269135987159,2.8330905
"Cell_2200",0,0.21772309
"Cell_2242",0,0.6819928
"Cell_2199",2.76240322150559,0.29732144
