"Var1","Freq","prop","sample"
"B",338,0.00338165701193585,"TCGA-3C-AALK"
"DC_Mast",843,0.00843413272503527,"TCGA-3C-AALK"
"Macrophage",9466,0.0947064061390081,"TCGA-3C-AALK"
"Malignant",28835,0.288491360766776,"TCGA-3C-AALK"
"Myoepi",7121,0.0712449100059029,"TCGA-3C-AALK"
"Plasma",112,0.00112054906904383,"TCGA-3C-AALK"
"Stromal",47339,0.47362207481666,"TCGA-3C-AALK"
"T",5889,0.0589188702464207,"TCGA-3C-AALK"
"unassigned",8,8.00392192174165e-05,"TCGA-3C-AALK"
"B",121,0.00121052052382524,"TCGA-A1-A0SM"
"DC_Mast",611,0.006112628430225,"TCGA-A1-A0SM"
"Macrophage",4495,0.0449693368148304,"TCGA-A1-A0SM"
"Malignant",44262,0.442810408475645,"TCGA-A1-A0SM"
"Myoepi",14553,0.145592604820073,"TCGA-A1-A0SM"
"Plasma",517,0.00517222405634423,"TCGA-A1-A0SM"
"Stromal",30764,0.307772342107106,"TCGA-A1-A0SM"
"T",4607,0.0460898186220075,"TCGA-A1-A0SM"
"unassigned",27,0.000270116149944476,"TCGA-A1-A0SM"
"B",493,0.00493202212907292,"TCGA-A1-A0SN"
"DC_Mast",1014,0.0101441591052331,"TCGA-A1-A0SN"
"Macrophage",9614,0.0961794335677628,"TCGA-A1-A0SN"
"Malignant",46222,0.462409587931052,"TCGA-A1-A0SN"
"Myoepi",6633,0.0663572064546464,"TCGA-A1-A0SN"
"Plasma",59,0.00059024199921968,"TCGA-A1-A0SN"
"Stromal",23400,0.234095979351534,"TCGA-A1-A0SN"
"T",12364,0.123690713192409,"TCGA-A1-A0SN"
"unassigned",160,0.00160065626907032,"TCGA-A1-A0SN"
"B",1063,0.0106342537014806,"TCGA-A2-A04X"
"DC_Mast",1250,0.0125050020008003,"TCGA-A2-A04X"
"Macrophage",3971,0.0397258903561425,"TCGA-A2-A04X"
"Malignant",46847,0.468657462985194,"TCGA-A2-A04X"
"Myoepi",15112,0.151180472188876,"TCGA-A2-A04X"
"Plasma",98,0.000980392156862745,"TCGA-A2-A04X"
"Stromal",19445,0.19452781112445,"TCGA-A2-A04X"
"T",12066,0.120708283313325,"TCGA-A2-A04X"
"unassigned",108,0.00108043217286915,"TCGA-A2-A04X"
"B",308,0.00308129414354029,"TCGA-A2-A0CX"
