"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","GeneCluster"
"ABCC11","B",0.0352924601442789,11.7915470301845,0.0222346106625231,0.881958732459657,0.938239671421015,0.939494702097483,"cluster_2","ABCC11_B"
"ACTA2","B",-0.252390907663093,13.5275782269162,12.0009251186397,0.00128611615518459,0.00476028806010791,0.00622208928982857,"cluster_2","ACTA2_B"
"ACTG2","B",-0.121965137617529,12.5613345988388,9.79922415915104,0.00300078233116777,0.00952573926056745,0.012468019865174,"cluster_2","ACTG2_B"
"ADAM9","B",-0.179529646488521,12.5397564531278,24.9899422877272,8.21039125363123e-06,9.33932005100552e-05,9.22183410103104e-05,"cluster_2","ADAM9_B"
"ADGRE5","B",0.0535620093489707,12.8343477061527,3.67969862392768,0.0617619419293948,0.125828433930782,0.150628102698857,"cluster_2","ADGRE5_B"
"ADH1B","B",0.341590109173372,12.4719188074878,9.4213836825753,0.00360505149816184,0.0106975984673716,0.0144727918329771,"cluster_2","ADH1B_B"
"ADIPOQ","B",2.1047288925696,10.7661483973849,19.9527432441222,6.42049853524022e-05,0.000427511243931849,0.000513018544251291,"cluster_2","ADIPOQ_B"
"AGR3","B",0.528723404723269,10.6521258940311,3.34525176455039,0.0826656541757455,0.158597922209906,0.187511744865679,"cluster_2","AGR3_B"
"AIF1","B",-0.138024527115495,12.90356614859,13.6902226947452,0.000607331907752378,0.0026317716002603,0.00334302474556142,"cluster_2","AIF1_B"
"AKR1C1","B",0.0210762569916422,11.441842344345,0.0384053571391577,0.845218153983095,0.912033818329585,0.918028673361671,"cluster_2","AKR1C1_B"
"AKR1C3","B",0.265033164300521,10.6105772053009,2.24458275669822,0.175021830416085,0.289581573961159,0.330685792479514,"cluster_2","AKR1C3_B"
"ALDH1A3","B",-0.415249728784364,10.9112083845502,7.15185302245743,0.00965109774523279,0.0258308792592995,0.0334346421187995,"cluster_2","ALDH1A3_B"
"ANGPT2","B",-0.0684879369546179,10.9694557676148,0.23499259413033,0.629441770299934,0.77754571625286,0.775699106151252,"cluster_2","ANGPT2_B"
"ANKRD28","B",0.0510589837123492,12.1551751818244,1.47419556829817,0.230078888176029,0.358954153697752,0.402322107607836,"cluster_2","ANKRD28_B"
"ANKRD29","B",-0.0169533250036572,11.3593008042768,0.0614876826031057,0.804898160091818,0.890665660538534,0.896865831105458,"cluster_2","ANKRD29_B"
"ANKRD30A","B",0.184751482682018,12.1081941698099,1.11926561157698,0.29486704291892,0.435128122793865,0.474810592723273,"cluster_2","ANKRD30A_B"
"APOBEC3A","B",-0.0859675970078939,10.7589470694827,0.19134973833005,0.66389483269637,0.799437903242052,0.801007063121729,"cluster_2","APOBEC3A_B"
"APOBEC3B","B",0.0126339020280079,11.9581877924079,0.153006807327995,0.697130644577286,0.813319085340167,0.821290585992034,"cluster_2","APOBEC3B_B"
"APOC1","B",0.0699784593177104,11.2045614241559,0.885203567019631,0.349971288152098,0.492485369409911,0.532808162724491,"cluster_2","APOC1_B"
"AQP1","B",-0.323374625020238,12.9075700492624,17.5067208602424,0.000134709140492771,0.000778251540253108,0.000937288036518522,"cluster_2","AQP1_B"
"AQP3","B",-0.280159780572175,11.2150478056923,3.93845078053671,0.0512349419747505,0.108427435341914,0.131375725953889,"cluster_2","AQP3_B"
"AR","B",0.192135489206598,11.1877885186284,1.17340760651301,0.282316715140485,0.423475072710728,0.462499010187157,"cluster_2","AR_B"
"BACE2","B",-0.251758915163026,12.1878261358501,35.2321025712001,2.13672906337012e-07,1.16665406860009e-05,4.52365631621179e-06,"cluster_2","BACE2_B"
"BANK1","B",0.220117528775322,14.0469842350729,17.2325269058566,0.000175521296138675,0.000939555173448202,0.00116247660570989,"cluster_2","BANK1_B"
"BASP1","B",-0.0609947932444853,12.9660018317397,1.47433824351169,0.231413666852763,0.358954153697752,0.403494433397823,"cluster_2","BASP1_B"
"C1QA","B",0.00673702963508406,12.3132740167464,0.00733689508015592,0.932081389648742,0.94572588523646,0.964799666594205,"cluster_2","C1QA_B"
"C1QC","B",0.0234778011159776,12.4764256198647,0.126592984009777,0.723573517544564,0.829981387771706,0.841451456787739,"cluster_2","C1QC_B"
"C2orf42","B",0.221611459170579,10.9372855862437,9.56530555128738,0.00288484604493863,0.00930160830668393,0.0121012826358284,"cluster_2","C2orf42_B"
"C6orf132","B",0.127966482516562,10.7199199130265,0.315827946158379,0.577527731971403,0.729930883463857,0.735494186166152,"cluster_2","C6orf132_B"
"C15orf48","B",0.365536189472163,10.7157027718763,2.85606937898431,0.0997562701082139,0.181556411596949,0.217132057168757,"cluster_2","C15orf48_B"
"CAV1","B",-0.264102425821294,12.1037923366203,8.48550517066382,0.00513906848867215,0.0149251669936968,0.019920927459219,"cluster_2","CAV1_B"
"CAVIN2","B",0.123334687040605,10.6556371117219,0.162819983699466,0.690828632176782,0.812914726656299,0.816363586854272,"cluster_2","CAVIN2_B"
"CCDC6","B",0.0179401175136383,12.7726205034523,0.973491173876462,0.329258199041471,0.469988830838681,0.510690393879601,"cluster_2","CCDC6_B"
"CCDC80","B",-0.145926950166364,14.114936931761,6.78818786667433,0.0129473699930072,0.0333455849819901,0.0432218806909417,"cluster_2","CCDC80_B"
"CCL5","B",0.234145599311961,13.2724738230992,17.0078081518701,0.000184216728982987,0.000951626797234814,0.00120397054799699,"cluster_2","CCL5_B"
"CCL8","B",0.295997516911074,11.0838133514028,3.70774937880471,0.058085751195142,0.120131894517225,0.145073755406525,"cluster_2","CCL8_B"
"CCND1","B",0.0339602638604814,12.5760420004312,1.13857464921141,0.291546628114026,0.432566464538745,0.47138446334102,"cluster_2","CCND1_B"
"CCPG1","B",-0.0958443945600046,12.6660557821331,14.4297294625547,0.000430435354320808,0.00197023677082705,0.00249109432862767,"cluster_2","CCPG1_B"
"CCR7","B",-0.21272562943618,12.2052341867962,9.3423198155744,0.00348704963523579,0.0104611489057074,0.0140445885308602,"cluster_2","CCR7_B"
"CD3E","B",0.0962905071904748,13.5780085828758,9.9369477656239,0.00310319346781835,0.00966101406482191,0.0127897008648686,"cluster_2","CD3E_B"
"CD3G","B",0.0450340922427394,12.339424505684,1.91385442902701,0.172755193006717,0.287574193236791,0.327736873909032,"cluster_2","CD3G_B"
"CD4","B",0.0322157001905153,14.2290929706429,0.739802800831165,0.395019966485988,0.553027953080383,0.575906095930425,"cluster_2","CD4_B"
"CD8A","B",0.132891304649456,12.8148377127062,13.666174121267,0.000618141343546861,0.00263675916856708,0.00338746926541056,"cluster_2","CD8A_B"
"CD9","B",-0.0933661931991383,12.2785465928187,1.53314988528293,0.221262208621695,0.35324317516797,0.39400897969514,"cluster_2","CD9_B"
"CD14","B",0.178950522268147,12.6947730969016,6.72877749463453,0.0128663153432935,0.0333455849819901,0.0430673825747809,"cluster_2","CD14_B"
"CD19","B",0.25002983173285,12.5859900167626,29.0384294157643,2.56174677569267e-06,4.66237913176065e-05,3.4674572477545e-05,"cluster_2","CD19_B"
"CD27","B",0.00887308799649308,11.9687546336033,0.0960350669817735,0.757770156467676,0.854839887254858,0.866653373929001,"cluster_2","CD27_B"
"CD68","B",-0.111815303151036,13.1592329895677,12.5791275301068,0.000991001321528814,0.00386490515396238,0.00505084418400591,"cluster_2","CD68_B"
"CD69","B",0.440135102520856,12.2378251248997,26.626237204572,4.44978150031887e-06,6.07395174793526e-05,5.4029944981813e-05,"cluster_2","CD69_B"
"CD79A","B",0.42009649944552,12.9633718669871,14.6686908286811,0.000434548594470686,0.00197023677082705,0.00250320201977649,"cluster_2","CD79A_B"
"CD79B","B",0.280723671192226,12.2126018555276,20.5646704325003,3.5851974291062e-05,0.000271046780945845,0.000308351876107502,"cluster_2","CD79B_B"
"CD80","B",0.0206313037498641,11.4394168408606,0.0565556528136921,0.812742575041486,0.890665660538534,0.902359192459777,"cluster_2","CD80_B"
"CD83","B",0.138503074384737,13.0866910813369,2.07246953714899,0.157617893621704,0.269255238768023,0.30573181088564,"cluster_2","CD83_B"
"CD86","B",0.083034595555702,11.6813009318067,1.29753125467981,0.258974196305221,0.394971818945951,0.43667738886864,"cluster_2","CD86_B"
"CD93","B",-0.233352399684345,12.2887709066151,7.37223018077337,0.00895777800517483,0.0242126078753736,0.0316074303686867,"cluster_2","CD93_B"
"CD163","B",0.0806353755537527,12.764489803776,1.02525530130043,0.316892253385227,0.462628797722819,0.497743888164368,"cluster_2","CD163_B"
"CD247","B",-0.0935849574098329,11.8767606926602,3.31610767717915,0.0736464654152376,0.145691920712753,0.172247445802901,"cluster_2","CD247_B"
"CD274","B",-0.190457354888924,10.8849764323215,3.01020857013702,0.087866007285531,0.165084386052232,0.196607136446486,"cluster_2","CD274_B"
"CDC42EP1","B",-0.0170288834561609,10.5930150217845,0.0303918376850229,0.8708597233548,0.932332174415139,0.934627181434073,"cluster_2","CDC42EP1_B"
"CDH1","B",-0.101117729792247,11.9294728073773,0.660845200905498,0.419567340931976,0.572709420372148,0.59796795367578,"cluster_2","CDH1_B"
"CEACAM6","B",-0.188505155627285,10.7027581007557,0.331616438111321,0.568674157170519,0.724715685182522,0.728627163572022,"cluster_2","CEACAM6_B"
"CENPF","B",0.0197887525594115,10.5941543192013,0.0318867881400304,0.867315733071699,0.932193681608559,0.932035171721735,"cluster_2","CENPF_B"
"CLEC9A","B",0.00161949361585227,10.5889851938251,0.00775725106084551,0.935333293091004,0.94572588523646,0.966953492064448,"cluster_2","CLEC9A_B"
"CLEC14A","B",-0.197867468464843,11.3555545171841,2.62124834835886,0.110092292489813,0.199041032117344,0.235898450257151,"cluster_2","CLEC14A_B"
"CLECL1","B",0.0929998184606305,11.6514565231595,4.37158195115537,0.0405378586061655,0.0892486725764773,0.109381564016854,"cluster_2","CLECL1_B"
"CLIC6","B",-0.00745656688133187,10.5891480494308,0.116647173445952,0.75493893174902,0.854839887254858,0.86496516994089,"cluster_2","CLIC6_B"
"CPA3","B",-0.0174020147349384,13.0116310149089,0.0218304103182959,0.883251265769967,0.938239671421015,0.939782382006962,"cluster_2","CPA3_B"
"CRISPLD2","B",-0.482641587240589,11.9874687030054,28.6229493673007,1.50825785097891e-06,3.43128661097703e-05,2.23709862088309e-05,"cluster_2","CRISPLD2_B"
