"","cluster","variable","value"
"1","cluster_2","Macrophage--KRT7",0.0791673924888234
"2","cluster_1","Macrophage--KRT7",0.228446602958615
"3","cluster_1","Macrophage--KRT7",0.171111160151282
"4","cluster_1","Macrophage--KRT7",0.185230516236919
"5","cluster_1","Macrophage--KRT7",0.19002505339808
"6","cluster_2","Macrophage--KRT7",0.139880151458603
"7","cluster_2","Macrophage--KRT7",0.0790894156672667
"8","cluster_2","Macrophage--KRT7",0.076165313283477
"9","cluster_2","Macrophage--KRT7",0.098701455945
"10","cluster_2","Macrophage--KRT7",0.0849414429014541
"11","cluster_2","Macrophage--KRT7",0.115837085182616
"12","cluster_2","Macrophage--KRT7",0.143258495796287
"13","cluster_2","Macrophage--KRT7",0.143331765900622
"14","cluster_2","Macrophage--KRT7",0.05230509333238
"15","cluster_2","Macrophage--KRT7",0.135383696777553
"16","cluster_2","Macrophage--KRT7",0.0546591421301938
"17","cluster_2","Macrophage--KRT7",0.11633839698913
"18","cluster_2","Macrophage--KRT7",0.0562864190047832
"19","cluster_2","Macrophage--KRT7",0.236761283547028
"20","cluster_1","Macrophage--KRT7",0.231176760960741
"21","cluster_2","Macrophage--KRT7",0.151066375434868
"22","cluster_2","Macrophage--KRT7",0.141639670520177
"23","cluster_1","Macrophage--KRT7",0.248603943885515
"24","cluster_1","Macrophage--KRT7",0.262019074248538
"25","cluster_2","Macrophage--KRT7",0.200769014315345
"26","cluster_1","Macrophage--KRT7",0.203903450246069
"27","cluster_2","Macrophage--KRT7",0.129392938338591
"28","cluster_1","Macrophage--KRT7",0.216018013681481
"29","cluster_1","Macrophage--KRT7",0.196781556554288
"30","cluster_1","Macrophage--KRT7",0.177990856374551
"31","cluster_2","Macrophage--KRT7",0.160033421356107
"32","cluster_1","Macrophage--KRT7",0.23950460673939
"33","cluster_1","Macrophage--KRT7",0.301978510316982
"34","cluster_1","Macrophage--KRT7",0.22820066187217
"35","cluster_2","Macrophage--KRT7",0.144125916905515
"36","cluster_1","Macrophage--KRT7",0.244724443754532
"37","cluster_1","Macrophage--KRT7",0.182657590014565
"38","cluster_2","Macrophage--KRT7",0.138615110202407
"39","cluster_2","Macrophage--KRT7",0.163917949412537
"40","cluster_2","Macrophage--KRT7",0.158891076819898
"41","cluster_2","Macrophage--KRT7",0.129308929516139
"42","cluster_2","Macrophage--KRT7",0.154620904540731
"43","cluster_1","Macrophage--KRT7",0.304630987673209
"44","cluster_1","Macrophage--KRT7",0.220897578723667
"45","cluster_1","Macrophage--KRT7",0.343387763067018
"46","cluster_1","Macrophage--KRT7",0.296093342406043
"47","cluster_2","Macrophage--KRT7",0.152363874108849
"48","cluster_1","Macrophage--KRT7",0.266944047484091
"49","cluster_1","Macrophage--KRT7",0.182067880739506
"50","cluster_2","Macrophage--KRT7",0.0909147546011905
"51","cluster_2","Macrophage--KRT7",0.173494060201048
"52","cluster_1","Macrophage--KRT7",0.147147552880976
"53","cluster_1","Macrophage--KRT7",0.265953929838889
"54","cluster_1","Macrophage--KRT7",0.235389049499375
"55","cluster_2","Macrophage--AQP3",0.016200826140675
"56","cluster_1","Macrophage--AQP3",0.0435159497868935
"57","cluster_1","Macrophage--AQP3",0.0336139673847337
"58","cluster_1","Macrophage--AQP3",0.0373153475258561
"59","cluster_1","Macrophage--AQP3",0.0380330627574733
"60","cluster_2","Macrophage--AQP3",0.029277562403513
"61","cluster_2","Macrophage--AQP3",0.0193488437954637
"62","cluster_2","Macrophage--AQP3",0.0155364292163075
"63","cluster_2","Macrophage--AQP3",0.0213206068740705
"64","cluster_2","Macrophage--AQP3",0.0177384598018132
"65","cluster_2","Macrophage--AQP3",0.0213509497004409
"66","cluster_2","Macrophage--AQP3",0.0258700633474206
"67","cluster_2","Macrophage--AQP3",0.0262294378350014
"68","cluster_2","Macrophage--AQP3",0.010132595146164
"69","cluster_2","Macrophage--AQP3",0.028508355506021
"70","cluster_2","Macrophage--AQP3",0.0123824938154457
"71","cluster_2","Macrophage--AQP3",0.0209426020107751
"72","cluster_2","Macrophage--AQP3",0.0128738054754878
"73","cluster_2","Macrophage--AQP3",0.0393928091481034
"74","cluster_1","Macrophage--AQP3",0.0428424008081703
"75","cluster_2","Macrophage--AQP3",0.0293162624261902
"76","cluster_2","Macrophage--AQP3",0.0275844565475102
"77","cluster_1","Macrophage--AQP3",0.0380623219739607
"78","cluster_1","Macrophage--AQP3",0.0485162581551462
"79","cluster_2","Macrophage--AQP3",0.0387040427164237
"80","cluster_1","Macrophage--AQP3",0.0341549469986416
"81","cluster_2","Macrophage--AQP3",0.0370761208707217
"82","cluster_1","Macrophage--AQP3",0.0389714264208025
"83","cluster_1","Macrophage--AQP3",0.038217739998736
"84","cluster_1","Macrophage--AQP3",0.0387329701083895
"85","cluster_2","Macrophage--AQP3",0.0331396502446004
"86","cluster_1","Macrophage--AQP3",0.0474577150129508
"87","cluster_1","Macrophage--AQP3",0.0521745691506052
"88","cluster_1","Macrophage--AQP3",0.0409473210569811
"89","cluster_2","Macrophage--AQP3",0.0304122000561327
"90","cluster_1","Macrophage--AQP3",0.0438311481493494
"91","cluster_1","Macrophage--AQP3",0.0323825218197783
"92","cluster_2","Macrophage--AQP3",0.0305496397400142
"93","cluster_2","Macrophage--AQP3",0.0319436868826139
"94","cluster_2","Macrophage--AQP3",0.0313716045357292
"95","cluster_2","Macrophage--AQP3",0.0262733976134974
"96","cluster_2","Macrophage--AQP3",0.0283591331900042
"97","cluster_1","Macrophage--AQP3",0.0500766143906655
"98","cluster_1","Macrophage--AQP3",0.0428745036380111
"99","cluster_1","Macrophage--AQP3",0.0525731363546747
"100","cluster_1","Macrophage--AQP3",0.0434204618071212
"101","cluster_2","Macrophage--AQP3",0.0286715318122608
"102","cluster_1","Macrophage--AQP3",0.0470128274423485
"103","cluster_1","Macrophage--AQP3",0.0309828626952839
"104","cluster_2","Macrophage--AQP3",0.0164953603102381
"105","cluster_2","Macrophage--AQP3",0.0337795883466876
"106","cluster_1","Macrophage--AQP3",0.0300664018045011
"107","cluster_1","Macrophage--AQP3",0.0472015795440067
"108","cluster_1","Macrophage--AQP3",0.0424285265916276
"109","cluster_2","Macrophage--CDH1",0.036778301703051
"110","cluster_1","Macrophage--CDH1",0.111719333499958
"111","cluster_1","Macrophage--CDH1",0.0768470710557061
"112","cluster_1","Macrophage--CDH1",0.0930620554077105
"113","cluster_1","Macrophage--CDH1",0.0763600831439133
"114","cluster_2","Macrophage--CDH1",0.0717646156106487
"115","cluster_2","Macrophage--CDH1",0.0440701773541415
"116","cluster_2","Macrophage--CDH1",0.0376676030756178
"117","cluster_2","Macrophage--CDH1",0.0475387903346154
"118","cluster_2","Macrophage--CDH1",0.0439699542892506
"119","cluster_2","Macrophage--CDH1",0.0562276659468897
"120","cluster_2","Macrophage--CDH1",0.0759653726838163
"121","cluster_2","Macrophage--CDH1",0.0760883571064039
"122","cluster_2","Macrophage--CDH1",0.0223662387687267
"123","cluster_2","Macrophage--CDH1",0.065301627482952
"124","cluster_2","Macrophage--CDH1",0.0263389827851453
"125","cluster_2","Macrophage--CDH1",0.0594092430978145
"126","cluster_2","Macrophage--CDH1",0.0273377072677507
"127","cluster_2","Macrophage--CDH1",0.131993166607442
"128","cluster_1","Macrophage--CDH1",0.112807081064891
"129","cluster_2","Macrophage--CDH1",0.0716975250871741
"130","cluster_2","Macrophage--CDH1",0.0611653422914069
"131","cluster_1","Macrophage--CDH1",0.118507718553474
"132","cluster_1","Macrophage--CDH1",0.121193202593567
"133","cluster_2","Macrophage--CDH1",0.0971198005959572
"134","cluster_1","Macrophage--CDH1",0.102585704286161
"135","cluster_2","Macrophage--CDH1",0.0662289930132234
"136","cluster_1","Macrophage--CDH1",0.10496491828784
"137","cluster_1","Macrophage--CDH1",0.0928572336756991
"138","cluster_1","Macrophage--CDH1",0.0909950036629963
"139","cluster_2","Macrophage--CDH1",0.0768380564366073
"140","cluster_1","Macrophage--CDH1",0.111375337089657
"141","cluster_1","Macrophage--CDH1",0.146938629768587
"142","cluster_1","Macrophage--CDH1",0.10091133950456
"143","cluster_2","Macrophage--CDH1",0.0630986246983585
"144","cluster_1","Macrophage--CDH1",0.116187940794444
"145","cluster_1","Macrophage--CDH1",0.0818570402618423
"146","cluster_2","Macrophage--CDH1",0.0686275258140456
"147","cluster_2","Macrophage--CDH1",0.0762647886938209
"148","cluster_2","Macrophage--CDH1",0.0708697462587069
"149","cluster_2","Macrophage--CDH1",0.0606894798857137
"150","cluster_2","Macrophage--CDH1",0.0635503883828801
"151","cluster_1","Macrophage--CDH1",0.156232319911139
"152","cluster_1","Macrophage--CDH1",0.101530633838078
"153","cluster_1","Macrophage--CDH1",0.173762638856188
"154","cluster_1","Macrophage--CDH1",0.143755566707385
"155","cluster_2","Macrophage--CDH1",0.0675392814787398
"156","cluster_1","Macrophage--CDH1",0.12814895410661
"157","cluster_1","Macrophage--CDH1",0.0804496157082963
"158","cluster_2","Macrophage--CDH1",0.0354349729828571
"159","cluster_2","Macrophage--CDH1",0.0775091471215304
"160","cluster_1","Macrophage--CDH1",0.0661826733987284
"161","cluster_1","Macrophage--CDH1",0.134482016319663
"162","cluster_1","Macrophage--CDH1",0.112531003257982
"163","cluster_2","Macrophage--SERHL2",0.0542690538003729
"164","cluster_1","Macrophage--SERHL2",0.205658223214725
"165","cluster_1","Macrophage--SERHL2",0.129305458305838
"166","cluster_1","Macrophage--SERHL2",0.143959369980123
"167","cluster_1","Macrophage--SERHL2",0.149811921923613
"168","cluster_2","Macrophage--SERHL2",0.137625626808184
"169","cluster_2","Macrophage--SERHL2",0.0841849124692444
"170","cluster_2","Macrophage--SERHL2",0.0676832441137931
"171","cluster_2","Macrophage--SERHL2",0.109573166247756
"172","cluster_2","Macrophage--SERHL2",0.0928878777314877
"173","cluster_2","Macrophage--SERHL2",0.131108001344543
"174","cluster_2","Macrophage--SERHL2",0.147141381504643
"175","cluster_2","Macrophage--SERHL2",0.156671631950761
"176","cluster_2","Macrophage--SERHL2",0.04625531906844
"177","cluster_2","Macrophage--SERHL2",0.113083470419069
"178","cluster_2","Macrophage--SERHL2",0.0526549888153779
"179","cluster_2","Macrophage--SERHL2",0.104658795146099
"180","cluster_2","Macrophage--SERHL2",0.0464694214606594
"181","cluster_2","Macrophage--SERHL2",0.139661011796641
"182","cluster_1","Macrophage--SERHL2",0.209111151569434
"183","cluster_2","Macrophage--SERHL2",0.0959920914385764
"184","cluster_2","Macrophage--SERHL2",0.0943505383579864
"185","cluster_1","Macrophage--SERHL2",0.2465679539079
"186","cluster_1","Macrophage--SERHL2",0.186343996988567
"187","cluster_2","Macrophage--SERHL2",0.145733345834319
"188","cluster_1","Macrophage--SERHL2",0.134177088094839
"189","cluster_2","Macrophage--SERHL2",0.0827199969972761
"190","cluster_1","Macrophage--SERHL2",0.184939276410494
"191","cluster_1","Macrophage--SERHL2",0.191201216714585
"192","cluster_1","Macrophage--SERHL2",0.147548514363202
"193","cluster_2","Macrophage--SERHL2",0.133645882918311
"194","cluster_1","Macrophage--SERHL2",0.219003241685417
"195","cluster_1","Macrophage--SERHL2",0.3177712887993
"196","cluster_1","Macrophage--SERHL2",0.19353517143195
"197","cluster_2","Macrophage--SERHL2",0.109825882784006
"198","cluster_1","Macrophage--SERHL2",0.232979131661862
"199","cluster_1","Macrophage--SERHL2",0.126722739951934
"200","cluster_2","Macrophage--SERHL2",0.103933721053632
"201","cluster_2","Macrophage--SERHL2",0.123135189297367
"202","cluster_2","Macrophage--SERHL2",0.121631787425287
"203","cluster_2","Macrophage--SERHL2",0.100128411761094
"204","cluster_2","Macrophage--SERHL2",0.149189718503647
"205","cluster_1","Macrophage--SERHL2",0.299510991378765
"206","cluster_1","Macrophage--SERHL2",0.193567676001778
"207","cluster_1","Macrophage--SERHL2",0.354792164227678
"208","cluster_1","Macrophage--SERHL2",0.288911104106828
"209","cluster_2","Macrophage--SERHL2",0.115163622606823
"210","cluster_1","Macrophage--SERHL2",0.199697707823939
"211","cluster_1","Macrophage--SERHL2",0.117948337781852
"212","cluster_2","Macrophage--SERHL2",0.0480770741428571
"213","cluster_2","Macrophage--SERHL2",0.11313516209065
"214","cluster_1","Macrophage--SERHL2",0.11351036067809
"215","cluster_1","Macrophage--SERHL2",0.210911401721044
"216","cluster_1","Macrophage--SERHL2",0.196555816140026
"217","cluster_2","Macrophage--TACSTD2",0.0708825936624125
"218","cluster_1","Macrophage--TACSTD2",0.171221234599995
"219","cluster_1","Macrophage--TACSTD2",0.163214397568797
"220","cluster_1","Macrophage--TACSTD2",0.159767648533596
"221","cluster_1","Macrophage--TACSTD2",0.175059933205333
"222","cluster_2","Macrophage--TACSTD2",0.128365816816966
"223","cluster_2","Macrophage--TACSTD2",0.0648725378667704
"224","cluster_2","Macrophage--TACSTD2",0.0677888808694828
"225","cluster_2","Macrophage--TACSTD2",0.0908833770060897
"226","cluster_2","Macrophage--TACSTD2",0.078478440145481
"227","cluster_2","Macrophage--TACSTD2",0.0879590126837549
"228","cluster_2","Macrophage--TACSTD2",0.0979606911998186
"229","cluster_2","Macrophage--TACSTD2",0.114840901029903
"230","cluster_2","Macrophage--TACSTD2",0.0562053338998067
"231","cluster_2","Macrophage--TACSTD2",0.118612462927297
"232","cluster_2","Macrophage--TACSTD2",0.0502234394633721
"233","cluster_2","Macrophage--TACSTD2",0.107330176265912
"234","cluster_2","Macrophage--TACSTD2",0.0565410425766125
"235","cluster_2","Macrophage--TACSTD2",0.248921873247804
"236","cluster_1","Macrophage--TACSTD2",0.197530478828318
"237","cluster_2","Macrophage--TACSTD2",0.151961891093928
"238","cluster_2","Macrophage--TACSTD2",0.144335960195918
"239","cluster_1","Macrophage--TACSTD2",0.162927280371789
"240","cluster_1","Macrophage--TACSTD2",0.241387139840351
"241","cluster_2","Macrophage--TACSTD2",0.18339674729174
"242","cluster_1","Macrophage--TACSTD2",0.194607831586091
"243","cluster_2","Macrophage--TACSTD2",0.11643019795693
"244","cluster_1","Macrophage--TACSTD2",0.168246474537654
"245","cluster_1","Macrophage--TACSTD2",0.128218355247215
"246","cluster_1","Macrophage--TACSTD2",0.144454348575843
"247","cluster_2","Macrophage--TACSTD2",0.133182481897936
"248","cluster_1","Macrophage--TACSTD2",0.218847197233089
"249","cluster_1","Macrophage--TACSTD2",0.231631620909571
"250","cluster_1","Macrophage--TACSTD2",0.203046483079403
"251","cluster_2","Macrophage--TACSTD2",0.133095037382204
"252","cluster_1","Macrophage--TACSTD2",0.197857557729776
"253","cluster_1","Macrophage--TACSTD2",0.178743203396552
"254","cluster_2","Macrophage--TACSTD2",0.119262911820684
"255","cluster_2","Macrophage--TACSTD2",0.154583716158179
"256","cluster_2","Macrophage--TACSTD2",0.13806680804198
"257","cluster_2","Macrophage--TACSTD2",0.112645281832577
"258","cluster_2","Macrophage--TACSTD2",0.126861472571601
"259","cluster_1","Macrophage--TACSTD2",0.210883536137327
"260","cluster_1","Macrophage--TACSTD2",0.163982392861611
"261","cluster_1","Macrophage--TACSTD2",0.203180492064895
"262","cluster_1","Macrophage--TACSTD2",0.186497403041375
"263","cluster_2","Macrophage--TACSTD2",0.129321804298391
"264","cluster_1","Macrophage--TACSTD2",0.219723020774432
"265","cluster_1","Macrophage--TACSTD2",0.157055823307407
"266","cluster_2","Macrophage--TACSTD2",0.0909378304328572
"267","cluster_2","Macrophage--TACSTD2",0.157611452057023
"268","cluster_1","Macrophage--TACSTD2",0.13374033484038
"269","cluster_1","Macrophage--TACSTD2",0.223887856522963
"270","cluster_1","Macrophage--TACSTD2",0.208029541232813
