"","cluster","variable","value"
"1","cluster_2","TNFRSF17",0.0781821790546733
"2","cluster_1","TNFRSF17",0.127624298536668
"3","cluster_1","TNFRSF17",0.0518636884346185
"4","cluster_1","TNFRSF17",0.0240728637351287
"5","cluster_1","TNFRSF17",0.0573182109482402
"6","cluster_2","TNFRSF17",0.239085218298775
"7","cluster_2","TNFRSF17",0.333421162423895
"8","cluster_2","TNFRSF17",0.360189190850598
"9","cluster_2","TNFRSF17",0.166884273316472
"10","cluster_2","TNFRSF17",0.196449196383263
"11","cluster_2","TNFRSF17",0.177115691675974
"12","cluster_2","TNFRSF17",0.218906248392396
"13","cluster_2","TNFRSF17",0.555739683157695
"14","cluster_2","TNFRSF17",0.164667297484939
"15","cluster_2","TNFRSF17",0.271709922431748
"16","cluster_2","TNFRSF17",0.396403922525946
"17","cluster_2","TNFRSF17",0.274283630465815
"18","cluster_2","TNFRSF17",0.189825310329769
"19","cluster_2","TNFRSF17",0.196528890142238
"20","cluster_1","TNFRSF17",0.197432711100129
"21","cluster_2","TNFRSF17",0.162661030482013
"22","cluster_2","TNFRSF17",0.15669428876239
"23","cluster_1","TNFRSF17",0.081500816836883
"24","cluster_1","TNFRSF17",0.036442272454481
"25","cluster_2","TNFRSF17",0.0847160028353428
"26","cluster_1","TNFRSF17",0.0993570989794347
"27","cluster_2","TNFRSF17",0.417921824388605
"28","cluster_1","TNFRSF17",0.0225545175250957
"29","cluster_1","TNFRSF17",0.100263448276504
"30","cluster_1","TNFRSF17",0.0895868485290004
"31","cluster_2","TNFRSF17",0.230632378068857
"32","cluster_1","TNFRSF17",0.0619401296346217
"33","cluster_1","TNFRSF17",0.111445074204824
"34","cluster_1","TNFRSF17",0.0853020354303444
"35","cluster_2","TNFRSF17",0.217800429714667
"36","cluster_1","TNFRSF17",0.133445714990578
"37","cluster_1","TNFRSF17",0.0630166744693171
"38","cluster_2","TNFRSF17",0.121680143199757
"39","cluster_2","TNFRSF17",0.0906555966891053
"40","cluster_2","TNFRSF17",0.0660048128360122
"41","cluster_2","TNFRSF17",0.114807661788492
"42","cluster_2","TNFRSF17",0.111937229050793
"43","cluster_1","TNFRSF17",0.140941906404997
"44","cluster_1","TNFRSF17",0.0643715976242035
"45","cluster_1","TNFRSF17",0.0247012086687523
"46","cluster_1","TNFRSF17",0.125108099365257
"47","cluster_2","TNFRSF17",0.100197922347659
"48","cluster_1","TNFRSF17",0.0733501944582309
"49","cluster_1","TNFRSF17",0.053766849407374
"50","cluster_2","TNFRSF17",0.20322797049287
"51","cluster_2","TNFRSF17",0.0432448257303233
"52","cluster_1","TNFRSF17",0.0495495459857875
"53","cluster_1","TNFRSF17",0.0390331669913026
"54","cluster_1","TNFRSF17",0.0701508687130298
"55","cluster_2","CD19",0.292926730368968
"56","cluster_1","CD19",0.173511915319857
"57","cluster_1","CD19",0.173154289147137
"58","cluster_1","CD19",0.0835380171481543
"59","cluster_1","CD19",0.141144302034523
"60","cluster_2","CD19",0.316672761926492
"61","cluster_2","CD19",0.478128194960301
"62","cluster_2","CD19",0.289978123256836
"63","cluster_2","CD19",0.317079385971177
"64","cluster_2","CD19",0.314729857788614
"65","cluster_2","CD19",0.271158210243286
"66","cluster_2","CD19",0.349526904632484
"67","cluster_2","CD19",0.311676493096592
"68","cluster_2","CD19",0.291438757426603
"69","cluster_2","CD19",0.301717666847662
"70","cluster_2","CD19",0.392193161291338
"71","cluster_2","CD19",0.224127967634292
"72","cluster_2","CD19",0.393717456236885
"73","cluster_2","CD19",0.370712171781745
"74","cluster_1","CD19",0.215068635470142
"75","cluster_2","CD19",0.213018781940426
"76","cluster_2","CD19",0.131998167813103
"77","cluster_1","CD19",0.143565205528274
"78","cluster_1","CD19",0.0548235480556277
"79","cluster_2","CD19",0.184624380675859
"80","cluster_1","CD19",0.155115138393482
"81","cluster_2","CD19",0.312135957892863
"82","cluster_1","CD19",0.185263306968555
"83","cluster_1","CD19",0.0999134462781004
"84","cluster_1","CD19",0.159301527351656
"85","cluster_2","CD19",0.223203056927962
"86","cluster_1","CD19",0.241623592283175
"87","cluster_1","CD19",0.126510217597858
"88","cluster_1","CD19",0.107838577548884
"89","cluster_2","CD19",0.139315596762732
"90","cluster_1","CD19",0.148310278464422
"91","cluster_1","CD19",0.0574409888048454
"92","cluster_2","CD19",0.173881738138716
"93","cluster_2","CD19",0.110849172931248
"94","cluster_2","CD19",0.0976183063984073
"95","cluster_2","CD19",0.191693037320381
"96","cluster_2","CD19",0.151780394917835
"97","cluster_1","CD19",0.202656936817552
"98","cluster_1","CD19",0.17435434397317
"99","cluster_1","CD19",0.137666754243577
"100","cluster_1","CD19",0.0933513031771343
"101","cluster_2","CD19",0.168404161046127
"102","cluster_1","CD19",0.176741884544712
"103","cluster_1","CD19",0.203711195458844
"104","cluster_2","CD19",0.0876006909457362
"105","cluster_2","CD19",0.0751872303333776
"106","cluster_1","CD19",0.0481928565721599
"107","cluster_1","CD19",0.100472256748125
"108","cluster_1","CD19",0.0862398370122343
"109","cluster_2","KRT23",0.394156585959191
"110","cluster_1","KRT23",0.287998373321688
"111","cluster_1","KRT23",0.38007115758678
"112","cluster_1","KRT23",0.229119077806985
"113","cluster_1","KRT23",0.3570800193263
"114","cluster_2","KRT23",0.505314342623515
"115","cluster_2","KRT23",0.586516615022581
"116","cluster_2","KRT23",0.381823199114125
"117","cluster_2","KRT23",0.424593650431623
"118","cluster_2","KRT23",0.4677674479948
"119","cluster_2","KRT23",0.490230521233912
"120","cluster_2","KRT23",0.446425116841757
"121","cluster_2","KRT23",0.485425189074329
"122","cluster_2","KRT23",0.439056958885794
"123","cluster_2","KRT23",0.408672281862195
"124","cluster_2","KRT23",0.537893983464165
"125","cluster_2","KRT23",0.296749214757878
"126","cluster_2","KRT23",0.468462980627888
"127","cluster_2","KRT23",0.576591509890316
"128","cluster_1","KRT23",0.388199070257558
"129","cluster_2","KRT23",0.325390261857896
"130","cluster_2","KRT23",0.249593926681634
"131","cluster_1","KRT23",0.24856228544611
"132","cluster_1","KRT23",0.203476872507396
"133","cluster_2","KRT23",0.297731367750056
"134","cluster_1","KRT23",0.266259952597743
"135","cluster_2","KRT23",0.543065722938093
"136","cluster_1","KRT23",0.321236815575399
"137","cluster_1","KRT23",0.272362624565997
"138","cluster_1","KRT23",0.231322226132078
"139","cluster_2","KRT23",0.441820894827764
"140","cluster_1","KRT23",0.342009851657101
"141","cluster_1","KRT23",0.258359610479156
"142","cluster_1","KRT23",0.141568095163761
"143","cluster_2","KRT23",0.296200381188033
"144","cluster_1","KRT23",0.282631026166234
"145","cluster_1","KRT23",0.185925933304737
"146","cluster_2","KRT23",0.337831471738509
"147","cluster_2","KRT23",0.289186467423296
"148","cluster_2","KRT23",0.222846272755894
"149","cluster_2","KRT23",0.423940323011926
"150","cluster_2","KRT23",0.318576093469558
"151","cluster_1","KRT23",0.426636703540737
"152","cluster_1","KRT23",0.408893213574911
"153","cluster_1","KRT23",0.22005984157919
"154","cluster_1","KRT23",0.210016018331728
"155","cluster_2","KRT23",0.415098097271239
"156","cluster_1","KRT23",0.293260607152581
"157","cluster_1","KRT23",0.308839963505184
"158","cluster_2","KRT23",0.190178485265155
"159","cluster_2","KRT23",0.190386888813163
"160","cluster_1","KRT23",0.137694293399301
"161","cluster_1","KRT23",0.252474953259414
"162","cluster_1","KRT23",0.150569183576537
"163","cluster_2","KRT7",0.402999528412563
"164","cluster_1","KRT7",0.356463605778989
"165","cluster_1","KRT7",0.40942084641138
"166","cluster_1","KRT7",0.282837182212046
"167","cluster_1","KRT7",0.347013472643829
"168","cluster_2","KRT7",0.545461097732202
"169","cluster_2","KRT7",0.65913384011083
"170","cluster_2","KRT7",0.459019350447779
"171","cluster_2","KRT7",0.44693394940282
"172","cluster_2","KRT7",0.51348232247541
"173","cluster_2","KRT7",0.546550925483708
"174","cluster_2","KRT7",0.507326760468947
"175","cluster_2","KRT7",0.51821161711256
"176","cluster_2","KRT7",0.473823286807777
"177","cluster_2","KRT7",0.471311265269573
"178","cluster_2","KRT7",0.580077417176348
"179","cluster_2","KRT7",0.32338012797122
"180","cluster_2","KRT7",0.50327948508721
"181","cluster_2","KRT7",0.612177729062383
"182","cluster_1","KRT7",0.408935117177467
"183","cluster_2","KRT7",0.373791422668014
"184","cluster_2","KRT7",0.315856958836903
"185","cluster_1","KRT7",0.291497621623929
"186","cluster_1","KRT7",0.167335996511023
"187","cluster_2","KRT7",0.336064959931747
"188","cluster_1","KRT7",0.326698085929276
"189","cluster_2","KRT7",0.561164475052072
"190","cluster_1","KRT7",0.364376768792098
"191","cluster_1","KRT7",0.353220362909836
"192","cluster_1","KRT7",0.30543430132318
"193","cluster_2","KRT7",0.458952967832844
"194","cluster_1","KRT7",0.378202658640956
"195","cluster_1","KRT7",0.319927354185601
"196","cluster_1","KRT7",0.12774177615774
"197","cluster_2","KRT7",0.328832745552181
"198","cluster_1","KRT7",0.328512578625643
"199","cluster_1","KRT7",0.230472882975743
"200","cluster_2","KRT7",0.383502014263767
"201","cluster_2","KRT7",0.354125938036252
"202","cluster_2","KRT7",0.25261112081062
"203","cluster_2","KRT7",0.4690448413843
"204","cluster_2","KRT7",0.35409671155966
"205","cluster_1","KRT7",0.47455693031579
"206","cluster_1","KRT7",0.451851455755233
"207","cluster_1","KRT7",0.281393036886657
"208","cluster_1","KRT7",0.250086626025389
"209","cluster_2","KRT7",0.431208142818059
"210","cluster_1","KRT7",0.324500159256989
"211","cluster_1","KRT7",0.331180923437914
"212","cluster_2","KRT7",0.230360640073475
"213","cluster_2","KRT7",0.203951784348034
"214","cluster_1","KRT7",0.160014095161123
"215","cluster_1","KRT7",0.241393797845035
"216","cluster_1","KRT7",0.180306588511333
"217","cluster_2","TRAF4",0.365425483414737
"218","cluster_1","TRAF4",0.291126669604885
"219","cluster_1","TRAF4",0.362215246709648
"220","cluster_1","TRAF4",0.222149081107839
"221","cluster_1","TRAF4",0.338214837924559
"222","cluster_2","TRAF4",0.47449265432754
"223","cluster_2","TRAF4",0.584085408371491
"224","cluster_2","TRAF4",0.377808259049139
"225","cluster_2","TRAF4",0.384947040437815
"226","cluster_2","TRAF4",0.445890922658862
"227","cluster_2","TRAF4",0.481751595752687
"228","cluster_2","TRAF4",0.444263617874557
"229","cluster_2","TRAF4",0.465438429317727
"230","cluster_2","TRAF4",0.396328651768676
"231","cluster_2","TRAF4",0.387786357045742
"232","cluster_2","TRAF4",0.500817279512009
"233","cluster_2","TRAF4",0.274444051184951
"234","cluster_2","TRAF4",0.42566167558834
"235","cluster_2","TRAF4",0.602177720520926
"236","cluster_1","TRAF4",0.377219052049001
"237","cluster_2","TRAF4",0.342545051319296
"238","cluster_2","TRAF4",0.299726234076206
"239","cluster_1","TRAF4",0.2378980569229
"240","cluster_1","TRAF4",0.19600879088446
"241","cluster_2","TRAF4",0.262023569193311
"242","cluster_1","TRAF4",0.240379014625843
"243","cluster_2","TRAF4",0.452602594095889
"244","cluster_1","TRAF4",0.326759427237779
"245","cluster_1","TRAF4",0.17675941607959
"246","cluster_1","TRAF4",0.188972537502087
"247","cluster_2","TRAF4",0.397861063845298
"248","cluster_1","TRAF4",0.372665772374144
"249","cluster_1","TRAF4",0.260826520847676
"250","cluster_1","TRAF4",0.145420089527861
"251","cluster_2","TRAF4",0.252154813757115
"252","cluster_1","TRAF4",0.258875282167816
"253","cluster_1","TRAF4",0.193888647487749
"254","cluster_2","TRAF4",0.28625478454491
"255","cluster_2","TRAF4",0.316848033050694
"256","cluster_2","TRAF4",0.22235969800006
"257","cluster_2","TRAF4",0.399572466976877
"258","cluster_2","TRAF4",0.290508074970485
"259","cluster_1","TRAF4",0.425323896869369
"260","cluster_1","TRAF4",0.376813583086397
"261","cluster_1","TRAF4",0.208808597876436
"262","cluster_1","TRAF4",0.198817171126191
"263","cluster_2","TRAF4",0.373177025116352
