"celltype","celltype_gt","model"
"Macrophage","Stromal","Otsu"
"Malignant","T","Otsu"
"T","T","Otsu"
"DC_Mast","T","Otsu"
"DC_Mast","T","Otsu"
"T","Macrophage","Otsu"
"T","Stromal","Otsu"
"Stromal","Stromal","Otsu"
"T","Stromal","Otsu"
"Macrophage","Stromal","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Malignant","Stromal","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Macrophage","Stromal","Otsu"
"Plasma","Plasma","Otsu"
"Macrophage","Stromal","Otsu"
"Myoepi","Myoepi","Otsu"
"Macrophage","Plasma","Otsu"
"Macrophage","Stromal","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"DC_Mast","T","Otsu"
"T","Stromal","Otsu"
"T","T","Otsu"
"T","Macrophage","Otsu"
"Macrophage","T","Otsu"
"T","Macrophage","Otsu"
"T","T","Otsu"
"DC_Mast","Plasma","Otsu"
"Stromal","Stromal","Otsu"
"Plasma","Macrophage","Otsu"
"Macrophage","Stromal","Otsu"
"T","T","Otsu"
"Stromal","Stromal","Otsu"
"Stromal","Stromal","Otsu"
"Stromal","T","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Macrophage","T","Otsu"
"Malignant","Stromal","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Malignant","Stromal","Otsu"
"Myoepi","Myoepi","Otsu"
"Macrophage","Stromal","Otsu"
"T","T","Otsu"
"Macrophage","Stromal","Otsu"
"T","T","Otsu"
"T","Stromal","Otsu"
"Stromal","Stromal","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Malignant","Stromal","Otsu"
"T","T","Otsu"
"Stromal","Stromal","Otsu"
"Macrophage","Plasma","Otsu"
"Macrophage","Stromal","Otsu"
"T","Stromal","Otsu"
"Stromal","Stromal","Otsu"
"Macrophage","Stromal","Otsu"
"T","T","Otsu"
"Macrophage","Macrophage","Otsu"
"T","T","Otsu"
"Stromal","Macrophage","Otsu"
"T","T","Otsu"
"Plasma","Macrophage","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"T","Stromal","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Macrophage","T","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Macrophage","Macrophage","Otsu"
"T","T","Otsu"
"Plasma","Plasma","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"T","Stromal","Otsu"
"Stromal","Malignant","Otsu"
"T","T","Otsu"
"T","T","Otsu"
"Myoepi","Stromal","Otsu"
"Myoepi","Stromal","Otsu"
"T","T","Otsu"
"DC_Mast","Stromal","Otsu"
