"celltype","celltype_gt","model"
"Myoepi","T","StarDist"
"Malignant","T","StarDist"
"Stromal","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"Malignant","Malignant","StarDist"
"Macrophage","T","StarDist"
"T","T","StarDist"
"T","Macrophage","StarDist"
"B","Stromal","StarDist"
"Myoepi","Stromal","StarDist"
"T","Stromal","StarDist"
"Macrophage","Stromal","StarDist"
"T","T","StarDist"
"T","Stromal","StarDist"
"T","T","StarDist"
"Macrophage","Macrophage","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"Macrophage","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"Plasma","Plasma","StarDist"
"Stromal","Stromal","StarDist"
"Myoepi","Myoepi","StarDist"
"B","Plasma","StarDist"
"Macrophage","Stromal","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Stromal","T","StarDist"
"Stromal","Stromal","StarDist"
"Macrophage","Stromal","StarDist"
"T","T","StarDist"
"T","Macrophage","StarDist"
"Macrophage","T","StarDist"
"T","Macrophage","StarDist"
"T","T","StarDist"
"Macrophage","Plasma","StarDist"
"Macrophage","Stromal","StarDist"
"DC_Mast","Macrophage","StarDist"
"Malignant","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"Plasma","Stromal","StarDist"
"Macrophage","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"Stromal","T","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Stromal","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Macrophage","T","StarDist"
"Malignant","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"Malignant","Myoepi","StarDist"
"Macrophage","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"Macrophage","Stromal","StarDist"
"T","T","StarDist"
"T","Stromal","StarDist"
"Macrophage","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Plasma","Plasma","StarDist"
"Stromal","Stromal","StarDist"
"Stromal","Myoepi","StarDist"
"T","T","StarDist"
"Stromal","Plasma","StarDist"
"Macrophage","Stromal","StarDist"
"T","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"Macrophage","T","StarDist"
"Stromal","Stromal","StarDist"
"Macrophage","T","StarDist"
"Macrophage","Macrophage","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Plasma","Macrophage","StarDist"
"Stromal","Stromal","StarDist"
"Macrophage","T","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Stromal","Stromal","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Macrophage","T","StarDist"
"Macrophage","Macrophage","StarDist"
"Macrophage","T","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Macrophage","Macrophage","StarDist"
"T","T","StarDist"
"Plasma","Plasma","StarDist"
"T","T","StarDist"
"Stromal","Stromal","StarDist"
"T","T","StarDist"
"Macrophage","Stromal","StarDist"
"Macrophage","Malignant","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"Macrophage","Stromal","StarDist"
"Macrophage","Stromal","StarDist"
"T","T","StarDist"
"T","T","StarDist"
"DC_Mast","Stromal","StarDist"
"T","T","StarDist"
"Stromal","Stromal","StarDist"
"Macrophage","Stromal","StarDist"
"Macrophage","T","StarDist"
"Stromal","Macrophage","StarDist"
"Macrophage","T","StarDist"
"Stromal","Myoepi","StarDist"
"Plasma","Plasma","StarDist"
"Macrophage","T","StarDist"
"T","Stromal","StarDist"
"T","Macrophage","StarDist"
"Macrophage","Macrophage","StarDist"
"Plasma","Stromal","StarDist"
