"","celltype_gt","celltype","model"
"1","T","B","clustifyr"
"2","Macrophage","Macrophage","clustifyr"
"3","Myoepi","Malignant","clustifyr"
"4","Malignant","Malignant","clustifyr"
"5","Stromal","Stromal","clustifyr"
"6","Malignant","Malignant","clustifyr"
"7","T","T","clustifyr"
"8","Malignant","Malignant","clustifyr"
"9","Malignant","Malignant","clustifyr"
"10","T","T","clustifyr"
"11","Plasma","Plasma","clustifyr"
"12","Macrophage","B","clustifyr"
"13","Plasma","Plasma","clustifyr"
"14","Stromal","Stromal","clustifyr"
"15","T","T","clustifyr"
"16","Macrophage","Stromal","clustifyr"
"17","Stromal","Stromal","clustifyr"
"18","Stromal","Stromal","clustifyr"
"19","T","T","clustifyr"
"20","Macrophage","Macrophage","clustifyr"
"21","Malignant","Malignant","clustifyr"
"22","T","T","clustifyr"
"23","Plasma","Macrophage","clustifyr"
"24","Stromal","Stromal","clustifyr"
"25","Malignant","Stromal","clustifyr"
"26","Malignant","Malignant","clustifyr"
"27","Macrophage","B","clustifyr"
"28","Plasma","Macrophage","clustifyr"
"29","T","T","clustifyr"
"30","T","T","clustifyr"
"31","Malignant","Stromal","clustifyr"
"32","Malignant","Malignant","clustifyr"
"33","T","T","clustifyr"
"34","Macrophage","Macrophage","clustifyr"
"35","T","B","clustifyr"
"36","Plasma","B","clustifyr"
"37","Malignant","Malignant","clustifyr"
"38","Malignant","Malignant","clustifyr"
"39","T","T","clustifyr"
"40","T","Macrophage","clustifyr"
"41","Malignant","Malignant","clustifyr"
"42","Macrophage","Stromal","clustifyr"
"43","Macrophage","Stromal","clustifyr"
"44","Macrophage","Macrophage","clustifyr"
"45","Macrophage","Stromal","clustifyr"
"46","Stromal","Malignant","clustifyr"
"47","Malignant","Malignant","clustifyr"
"48","Malignant","Malignant","clustifyr"
"49","B","T","clustifyr"
"50","Malignant","Malignant","clustifyr"
"51","Stromal","Stromal","clustifyr"
"52","Stromal","Macrophage","clustifyr"
"53","Malignant","Stromal","clustifyr"
"54","Malignant","Malignant","clustifyr"
"55","Malignant","Malignant","clustifyr"
"56","T","T","clustifyr"
"57","Malignant","Malignant","clustifyr"
"58","T","T","clustifyr"
"59","Myoepi","Malignant","clustifyr"
"60","T","Malignant","clustifyr"
"61","Malignant","Malignant","clustifyr"
"62","Malignant","Malignant","clustifyr"
"63","T","Malignant","clustifyr"
"64","T","T","clustifyr"
"65","Malignant","T","clustifyr"
"66","Malignant","Malignant","clustifyr"
"67","Malignant","Malignant","clustifyr"
"68","Malignant","Malignant","clustifyr"
"69","Stromal","Stromal","clustifyr"
"70","Malignant","Malignant","clustifyr"
"71","Malignant","Malignant","clustifyr"
"72","Malignant","Malignant","clustifyr"
"73","Malignant","Malignant","clustifyr"
"74","Malignant","Malignant","clustifyr"
"75","Macrophage","Stromal","clustifyr"
"76","Malignant","Malignant","clustifyr"
"77","T","T","clustifyr"
"78","Malignant","Malignant","clustifyr"
"79","Malignant","Malignant","clustifyr"
"80","Stromal","Stromal","clustifyr"
"81","T","Malignant","clustifyr"
"82","Malignant","Malignant","clustifyr"
"83","Malignant","Stromal","clustifyr"
"84","T","T","clustifyr"
"85","Stromal","Malignant","clustifyr"
"86","Malignant","Malignant","clustifyr"
"87","Malignant","Malignant","clustifyr"
"88","Malignant","Malignant","clustifyr"
"89","T","T","clustifyr"
"90","Stromal","Macrophage","clustifyr"
"91","T","T","clustifyr"
"92","Malignant","Stromal","clustifyr"
"93","Malignant","Malignant","clustifyr"
"94","Stromal","Stromal","clustifyr"
"95","T","T","clustifyr"
"96","T","T","clustifyr"
"97","Malignant","Malignant","clustifyr"
"98","Malignant","Malignant","clustifyr"
"99","Malignant","T","clustifyr"
"100","Macrophage","Stromal","clustifyr"
"101","Malignant","Malignant","clustifyr"
"102","Malignant","Malignant","clustifyr"
"103","Malignant","Malignant","clustifyr"
"104","Stromal","Malignant","clustifyr"
"105","Malignant","Malignant","clustifyr"
"106","Stromal","Macrophage","clustifyr"
"107","B","T","clustifyr"
"108","Malignant","Malignant","clustifyr"
"109","Malignant","Malignant","clustifyr"
"110","Macrophage","Stromal","clustifyr"
"111","T","T","clustifyr"
"112","Stromal","Macrophage","clustifyr"
"113","T","T","clustifyr"
"114","Macrophage","Stromal","clustifyr"
"115","T","T","clustifyr"
"116","Malignant","Malignant","clustifyr"
"117","Malignant","Malignant","clustifyr"
"118","Malignant","Malignant","clustifyr"
"119","Plasma","Stromal","clustifyr"
"120","Malignant","Stromal","clustifyr"
"121","Malignant","Malignant","clustifyr"
"122","Malignant","Malignant","clustifyr"
"123","T","T","clustifyr"
"124","Malignant","Malignant","clustifyr"
"125","Malignant","Malignant","clustifyr"
"126","Stromal","Stromal","clustifyr"
"127","Malignant","Malignant","clustifyr"
"128","Stromal","Stromal","clustifyr"
"129","Macrophage","Stromal","clustifyr"
"130","Macrophage","Malignant","clustifyr"
"131","Malignant","Malignant","clustifyr"
"132","Malignant","Malignant","clustifyr"
"133","Malignant","Malignant","clustifyr"
"134","Malignant","Malignant","clustifyr"
"135","Malignant","Malignant","clustifyr"
"136","Malignant","Malignant","clustifyr"
"137","Malignant","Malignant","clustifyr"
"138","Macrophage","Macrophage","clustifyr"
"139","T","Macrophage","clustifyr"
"140","Malignant","Malignant","clustifyr"
"141","Stromal","Stromal","clustifyr"
"142","Plasma","Plasma","clustifyr"
"143","Malignant","Malignant","clustifyr"
"144","Malignant","Stromal","clustifyr"
"145","Malignant","Malignant","clustifyr"
"146","Malignant","Malignant","clustifyr"
"147","Malignant","Malignant","clustifyr"
"148","T","T","clustifyr"
"149","Malignant","Malignant","clustifyr"
"150","Malignant","Malignant","clustifyr"
"151","Malignant","Malignant","clustifyr"
"152","Stromal","Malignant","clustifyr"
"153","Malignant","Malignant","clustifyr"
"154","Malignant","Malignant","clustifyr"
"155","Malignant","Malignant","clustifyr"
"156","Stromal","Macrophage","clustifyr"
"157","Malignant","Malignant","clustifyr"
"158","Malignant","Malignant","clustifyr"
"159","Stromal","Stromal","clustifyr"
"160","Malignant","Malignant","clustifyr"
"161","Malignant","Malignant","clustifyr"
"162","Macrophage","Macrophage","clustifyr"
"163","Stromal","Stromal","clustifyr"
"164","Malignant","Malignant","clustifyr"
"165","T","Stromal","clustifyr"
"166","Malignant","Stromal","clustifyr"
"167","Malignant","Malignant","clustifyr"
"168","Malignant","Stromal","clustifyr"
"169","Malignant","Malignant","clustifyr"
"170","Malignant","Malignant","clustifyr"
"171","Malignant","Malignant","clustifyr"
"172","Malignant","Malignant","clustifyr"
"173","Stromal","Macrophage","clustifyr"
"174","Malignant","Malignant","clustifyr"
"175","Macrophage","Malignant","clustifyr"
