"","celltype_gt","celltype","model"
"1","T","T","sctype"
"2","Macrophage","T","sctype"
"3","Myoepi","Malignant","sctype"
"4","Malignant","Malignant","sctype"
"5","Stromal","Macrophage","sctype"
"6","Malignant","Malignant","sctype"
"7","T","T","sctype"
"8","Malignant","Malignant","sctype"
"9","Malignant","Macrophage","sctype"
"10","Stromal","T","sctype"
"11","T","T","sctype"
"12","Plasma","Plasma","sctype"
"13","Macrophage","B","sctype"
"14","Plasma","Plasma","sctype"
"15","Stromal","Myoepi","sctype"
"16","T","T","sctype"
"17","Macrophage","Myoepi","sctype"
"18","Stromal","Stromal","sctype"
"19","Stromal","Stromal","sctype"
"20","T","Plasma","sctype"
"21","Macrophage","Stromal","sctype"
"22","Malignant","Myoepi","sctype"
"23","T","T","sctype"
"24","Plasma","Macrophage","sctype"
"25","Stromal","Stromal","sctype"
"26","Malignant","Macrophage","sctype"
"27","Malignant","Malignant","sctype"
"28","Macrophage","T","sctype"
"29","Plasma","Macrophage","sctype"
"30","T","T","sctype"
"31","T","T","sctype"
"32","Malignant","Myoepi","sctype"
"33","Malignant","Malignant","sctype"
"34","T","T","sctype"
"35","Macrophage","Stromal","sctype"
"36","T","B","sctype"
"37","Plasma","Stromal","sctype"
"38","Malignant","Macrophage","sctype"
"39","Malignant","Malignant","sctype"
"40","T","T","sctype"
"41","T","B","sctype"
"42","Stromal","B","sctype"
"43","Malignant","Malignant","sctype"
"44","Macrophage","Stromal","sctype"
"45","Macrophage","Plasma","sctype"
"46","Macrophage","Macrophage","sctype"
"47","Macrophage","Stromal","sctype"
"48","Stromal","Myoepi","sctype"
"49","Malignant","Malignant","sctype"
"50","Malignant","Malignant","sctype"
"51","B","T","sctype"
"52","Malignant","Malignant","sctype"
"53","Stromal","Stromal","sctype"
"54","Stromal","T","sctype"
"55","T","Macrophage","sctype"
"56","Malignant","Malignant","sctype"
"57","Stromal","Stromal","sctype"
"58","Malignant","Macrophage","sctype"
"59","T","T","sctype"
"60","Malignant","Malignant","sctype"
"61","T","T","sctype"
"62","Myoepi","Myoepi","sctype"
"63","T","Plasma","sctype"
"64","Malignant","Malignant","sctype"
"65","Malignant","Malignant","sctype"
"66","T","T","sctype"
"67","T","T","sctype"
"68","Malignant","T","sctype"
"69","Malignant","Malignant","sctype"
"70","Malignant","Malignant","sctype"
"71","Malignant","Myoepi","sctype"
"72","Stromal","Stromal","sctype"
"73","Malignant","Malignant","sctype"
"74","Malignant","Malignant","sctype"
"75","Malignant","Malignant","sctype"
"76","Malignant","Malignant","sctype"
"77","Malignant","Myoepi","sctype"
"78","Macrophage","Stromal","sctype"
"79","Malignant","Malignant","sctype"
"80","T","T","sctype"
"81","Malignant","Malignant","sctype"
"82","Malignant","Malignant","sctype"
"83","Stromal","Stromal","sctype"
"84","T","T","sctype"
"85","Malignant","Malignant","sctype"
"86","Malignant","Macrophage","sctype"
"87","T","T","sctype"
"88","Stromal","Malignant","sctype"
"89","Malignant","Malignant","sctype"
"90","Malignant","Malignant","sctype"
"91","Malignant","Malignant","sctype"
"92","T","T","sctype"
"93","Stromal","B","sctype"
"94","T","T","sctype"
"95","Malignant","Malignant","sctype"
"96","Malignant","Malignant","sctype"
"97","Stromal","Stromal","sctype"
"98","T","T","sctype"
"99","T","B","sctype"
"100","Malignant","Macrophage","sctype"
"101","Malignant","Malignant","sctype"
"102","Malignant","Plasma","sctype"
"103","Macrophage","Plasma","sctype"
"104","Malignant","Malignant","sctype"
"105","Malignant","Malignant","sctype"
"106","Malignant","Malignant","sctype"
"107","Stromal","T","sctype"
"108","Stromal","Stromal","sctype"
"109","Malignant","Malignant","sctype"
