"","celltype_gt","celltype","model"
"1","T","T","singleR"
"2","T","DC_Mast","singleR"
"3","Myoepi","Malignant","singleR"
"4","Malignant","Malignant","singleR"
"5","Stromal","Malignant","singleR"
"6","Malignant","Malignant","singleR"
"7","T","T","singleR"
"8","Malignant","Malignant","singleR"
"9","Malignant","Malignant","singleR"
"10","T","T","singleR"
"11","T","T","singleR"
"12","Plasma","Plasma","singleR"
"13","Macrophage","DC_Mast","singleR"
"14","Plasma","Plasma","singleR"
"15","Stromal","Myoepi","singleR"
"16","T","T","singleR"
"17","Macrophage","Malignant","singleR"
"18","Stromal","Stromal","singleR"
"19","Stromal","Stromal","singleR"
"20","Stromal","Macrophage","singleR"
"21","Macrophage","Macrophage","singleR"
"22","Malignant","Malignant","singleR"
"23","T","T","singleR"
"24","Plasma","Macrophage","singleR"
"25","Stromal","Macrophage","singleR"
"26","Malignant","Malignant","singleR"
"27","Malignant","Myoepi","singleR"
"28","Macrophage","T","singleR"
"29","DC_Mast","Macrophage","singleR"
"30","T","T","singleR"
"31","T","T","singleR"
"32","Malignant","Myoepi","singleR"
"33","Malignant","Malignant","singleR"
"34","T","T","singleR"
"35","Macrophage","Macrophage","singleR"
"36","DC_Mast","DC_Mast","singleR"
"37","Plasma","Plasma","singleR"
"38","Malignant","Malignant","singleR"
"39","Malignant","Malignant","singleR"
"40","T","T","singleR"
"41","T","T","singleR"
"42","T","T","singleR"
"43","Malignant","Malignant","singleR"
"44","Macrophage","Stromal","singleR"
"45","Macrophage","Macrophage","singleR"
"46","Macrophage","Macrophage","singleR"
"47","Macrophage","Stromal","singleR"
"48","Stromal","Malignant","singleR"
"49","Malignant","Malignant","singleR"
"50","Malignant","Malignant","singleR"
"51","DC_Mast","T","singleR"
"52","Malignant","Myoepi","singleR"
"53","Stromal","Malignant","singleR"
"54","Stromal","Stromal","singleR"
"55","T","Malignant","singleR"
"56","Malignant","Malignant","singleR"
"57","Stromal","DC_Mast","singleR"
"58","Malignant","Malignant","singleR"
"59","T","Stromal","singleR"
"60","Malignant","Malignant","singleR"
"61","T","T","singleR"
"62","Malignant","Myoepi","singleR"
"63","T","Myoepi","singleR"
"64","Malignant","Malignant","singleR"
"65","Malignant","Malignant","singleR"
"66","T","T","singleR"
"67","T","T","singleR"
"68","Malignant","Macrophage","singleR"
"69","Malignant","Malignant","singleR"
"70","Malignant","Malignant","singleR"
"71","Malignant","Malignant","singleR"
"72","Stromal","Stromal","singleR"
"73","Malignant","Malignant","singleR"
"74","Malignant","Malignant","singleR"
"75","Malignant","Myoepi","singleR"
"76","Malignant","Malignant","singleR"
"77","Malignant","Myoepi","singleR"
"78","Macrophage","Stromal","singleR"
"79","Malignant","Malignant","singleR"
"80","T","T","singleR"
"81","Malignant","Malignant","singleR"
"82","Malignant","Malignant","singleR"
"83","Stromal","Stromal","singleR"
"84","Stromal","T","singleR"
"85","Malignant","Malignant","singleR"
"86","Malignant","Malignant","singleR"
"87","T","T","singleR"
"88","Malignant","Malignant","singleR"
"89","Malignant","Malignant","singleR"
"90","Malignant","Malignant","singleR"
"91","Malignant","Malignant","singleR"
"92","T","T","singleR"
"93","Stromal","Macrophage","singleR"
"94","T","T","singleR"
"95","Malignant","Malignant","singleR"
"96","Malignant","Malignant","singleR"
"97","Myoepi","Stromal","singleR"
"98","T","T","singleR"
"99","T","T","singleR"
"100","Malignant","Malignant","singleR"
"101","Malignant","Malignant","singleR"
"102","Malignant","Plasma","singleR"
"103","Macrophage","Macrophage","singleR"
"104","Malignant","Malignant","singleR"
"105","Malignant","Myoepi","singleR"
"106","Malignant","Malignant","singleR"
"107","T","Macrophage","singleR"
"108","Stromal","Malignant","singleR"
"109","Malignant","Malignant","singleR"
"110","Stromal","Macrophage","singleR"
"111","B","T","singleR"
"112","Malignant","Malignant","singleR"
"113","Malignant","Myoepi","singleR"
"114","Macrophage","Stromal","singleR"
"115","Stromal","T","singleR"
"116","Stromal","Macrophage","singleR"
"117","T","T","singleR"
"118","Macrophage","Malignant","singleR"
"119","Macrophage","T","singleR"
"120","Malignant","Malignant","singleR"
"121","Malignant","Malignant","singleR"
"122","Malignant","Malignant","singleR"
"123","Plasma","Plasma","singleR"
"124","Malignant","Malignant","singleR"
"125","Malignant","Malignant","singleR"
"126","Malignant","Malignant","singleR"
"127","T","T","singleR"
"128","Malignant","Malignant","singleR"
"129","Malignant","Malignant","singleR"
"130","Myoepi","Stromal","singleR"
"131","Malignant","Malignant","singleR"
"132","Stromal","Macrophage","singleR"
"133","DC_Mast","Macrophage","singleR"
"134","Macrophage","Malignant","singleR"
"135","Malignant","Malignant","singleR"
"136","Malignant","Malignant","singleR"
"137","Malignant","Malignant","singleR"
"138","Malignant","Malignant","singleR"
"139","Malignant","Malignant","singleR"
"140","Malignant","Malignant","singleR"
"141","Malignant","Malignant","singleR"
"142","Macrophage","Macrophage","singleR"
"143","T","DC_Mast","singleR"
"144","Malignant","Malignant","singleR"
"145","Stromal","Malignant","singleR"
"146","Plasma","Plasma","singleR"
"147","Malignant","Malignant","singleR"
"148","Malignant","Malignant","singleR"
"149","Malignant","Malignant","singleR"
"150","Malignant","Malignant","singleR"
"151","Malignant","Malignant","singleR"
"152","T","Macrophage","singleR"
"153","Malignant","Malignant","singleR"
"154","Malignant","Malignant","singleR"
"155","Malignant","Malignant","singleR"
"156","Malignant","Malignant","singleR"
"157","Malignant","Malignant","singleR"
"158","Malignant","Malignant","singleR"
"159","Malignant","Malignant","singleR"
"160","Stromal","Malignant","singleR"
"161","Malignant","Malignant","singleR"
"162","Malignant","Malignant","singleR"
"163","Malignant","Malignant","singleR"
"164","Malignant","Malignant","singleR"
"165","Malignant","Myoepi","singleR"
"166","Macrophage","Macrophage","singleR"
"167","Malignant","Malignant","singleR"
