"","corr","gene","n","type","model","sample"
"141",0.14832620769035,"ADIPOQ","top_20","svg","scClassify","breast_sample1"
"142",0.0368705159343787,"OPRPN","top_20","svg","scClassify","breast_sample1"
"143",0.744425710305702,"SCD","top_20","svg","scClassify","breast_sample1"
"144",0.770772046031316,"FASN","top_20","svg","scClassify","breast_sample1"
"145",0.697475597532733,"CEACAM6","top_20","svg","scClassify","breast_sample1"
"146",0.444155796988593,"AGR3","top_20","svg","scClassify","breast_sample1"
"147",0.804914228092043,"FOXA1","top_20","svg","scClassify","breast_sample1"
"148",0.356413571055628,"KRT23","top_20","svg","scClassify","breast_sample1"
"149",0.837284111421173,"EPCAM","top_20","svg","scClassify","breast_sample1"
"150",0.463564195316084,"KRT6B","top_20","svg","scClassify","breast_sample1"
"151",0.66935459831281,"ABCC11","top_20","svg","scClassify","breast_sample1"
"152",0.720404490527863,"ERBB2","top_20","svg","scClassify","breast_sample1"
"153",0.799644435114697,"TACSTD2","top_20","svg","scClassify","breast_sample1"
"154",0.762938552726105,"GATA3","top_20","svg","scClassify","breast_sample1"
"155",0.551770767350376,"KRT14","top_20","svg","scClassify","breast_sample1"
"156",0.511996674548471,"KRT5","top_20","svg","scClassify","breast_sample1"
"157",0.844840782552009,"KRT7","top_20","svg","scClassify","breast_sample1"
"158",0.786196362412044,"ANKRD30A","top_20","svg","scClassify","breast_sample1"
"159",0.808180983162862,"MLPH","top_20","svg","scClassify","breast_sample1"
"160",0.591315355164007,"SERHL2","top_20","svg","scClassify","breast_sample1"
"181",0.14832620769035,"ADIPOQ","top_50","svg","scClassify","breast_sample1"
"182",0.0368705159343787,"OPRPN","top_50","svg","scClassify","breast_sample1"
"183",0.744425710305702,"SCD","top_50","svg","scClassify","breast_sample1"
"184",0.770772046031316,"FASN","top_50","svg","scClassify","breast_sample1"
"185",0.697475597532733,"CEACAM6","top_50","svg","scClassify","breast_sample1"
"186",0.444155796988593,"AGR3","top_50","svg","scClassify","breast_sample1"
"187",0.804914228092043,"FOXA1","top_50","svg","scClassify","breast_sample1"
"188",0.356413571055628,"KRT23","top_50","svg","scClassify","breast_sample1"
"189",0.837284111421173,"EPCAM","top_50","svg","scClassify","breast_sample1"
"190",0.463564195316084,"KRT6B","top_50","svg","scClassify","breast_sample1"
"191",0.66935459831281,"ABCC11","top_50","svg","scClassify","breast_sample1"
"192",0.720404490527863,"ERBB2","top_50","svg","scClassify","breast_sample1"
"193",0.799644435114697,"TACSTD2","top_50","svg","scClassify","breast_sample1"
"194",0.762938552726105,"GATA3","top_50","svg","scClassify","breast_sample1"
"195",0.551770767350376,"KRT14","top_50","svg","scClassify","breast_sample1"
"196",0.511996674548471,"KRT5","top_50","svg","scClassify","breast_sample1"
"197",0.844840782552009,"KRT7","top_50","svg","scClassify","breast_sample1"
"198",0.786196362412044,"ANKRD30A","top_50","svg","scClassify","breast_sample1"
"199",0.808180983162862,"MLPH","top_50","svg","scClassify","breast_sample1"
"200",0.591315355164007,"SERHL2","top_50","svg","scClassify","breast_sample1"
"201",0.354456114938149,"ADH1B","top_50","svg","scClassify","breast_sample1"
"202",0.536498062435868,"SERPINA3","top_50","svg","scClassify","breast_sample1"
"203",0.796016703711345,"KRT8","top_50","svg","scClassify","breast_sample1"
"204",0.593294399249379,"CXCL12","top_50","svg","scClassify","breast_sample1"
"205",0.784373469612766,"PTPRC","top_50","svg","scClassify","breast_sample1"
"206",0.629848526177252,"CCDC80","top_50","svg","scClassify","breast_sample1"
"207",0.58516318666207,"ELF3","top_50","svg","scClassify","breast_sample1"
"208",0.472433163906792,"KRT15","top_50","svg","scClassify","breast_sample1"
"209",0.635349479155314,"MYO5B","top_50","svg","scClassify","breast_sample1"
"210",0.419057806703303,"SFRP1","top_50","svg","scClassify","breast_sample1"
"211",0.730212878633973,"CDH1","top_50","svg","scClassify","breast_sample1"
"212",0.702339426259563,"CXCR4","top_50","svg","scClassify","breast_sample1"
"213",0.649394426976148,"S100A14","top_50","svg","scClassify","breast_sample1"
"214",0.724435838135947,"CD9","top_50","svg","scClassify","breast_sample1"
"215",0.500554094985792,"TFAP2A","top_50","svg","scClassify","breast_sample1"
"216",0.686953686347353,"CCND1","top_50","svg","scClassify","breast_sample1"
"217",0.492602237740988,"CLDN4","top_50","svg","scClassify","breast_sample1"
"218",0.714850334763509,"IL7R","top_50","svg","scClassify","breast_sample1"
"219",0.593991649522979,"AR","top_50","svg","scClassify","breast_sample1"
"220",0.363021239098199,"KRT16","top_50","svg","scClassify","breast_sample1"
"221",0.422449617286964,"PTGDS","top_50","svg","scClassify","breast_sample1"
"222",0.62748526067126,"POSTN","top_50","svg","scClassify","breast_sample1"
"223",0.607192527004424,"LYPD3","top_50","svg","scClassify","breast_sample1"
"224",0.63666307688336,"LUM","top_50","svg","scClassify","breast_sample1"
"225",0.351226326621414,"ESR1","top_50","svg","scClassify","breast_sample1"
"226",0.284921569317635,"MS4A1","top_50","svg","scClassify","breast_sample1"
"227",0.677157256191223,"DSP","top_50","svg","scClassify","breast_sample1"
"228",0.479567563242793,"SFRP4","top_50","svg","scClassify","breast_sample1"
"229",0.450946667364284,"MZB1","top_50","svg","scClassify","breast_sample1"
"230",0.442553676772697,"KLF5","top_50","svg","scClassify","breast_sample1"
"421",0.0438637537297618,"ADIPOQ","top_20","svg","sctype","breast_sample1"
"422",0.0644522556009838,"OPRPN","top_20","svg","sctype","breast_sample1"
"423",0.743841722112977,"SCD","top_20","svg","sctype","breast_sample1"
"424",0.766022573929869,"FASN","top_20","svg","sctype","breast_sample1"
"425",0.700164664035608,"CEACAM6","top_20","svg","sctype","breast_sample1"
"426",0.447509669667806,"AGR3","top_20","svg","sctype","breast_sample1"
"427",0.806160125309051,"FOXA1","top_20","svg","sctype","breast_sample1"
"428",0.365293911282904,"KRT23","top_20","svg","sctype","breast_sample1"
"429",0.837983617377797,"EPCAM","top_20","svg","sctype","breast_sample1"
"430",0.474813645168354,"KRT6B","top_20","svg","sctype","breast_sample1"
"431",0.663149072149745,"ABCC11","top_20","svg","sctype","breast_sample1"
"432",0.71608282377812,"ERBB2","top_20","svg","sctype","breast_sample1"
"433",0.806376914284134,"TACSTD2","top_20","svg","sctype","breast_sample1"
"434",0.758405787005065,"GATA3","top_20","svg","sctype","breast_sample1"
"435",0.561864676164954,"KRT14","top_20","svg","sctype","breast_sample1"
"436",0.527987773884356,"KRT5","top_20","svg","sctype","breast_sample1"
"437",0.846185899783606,"KRT7","top_20","svg","sctype","breast_sample1"
"438",0.784965177547758,"ANKRD30A","top_20","svg","sctype","breast_sample1"
"439",0.807261023805688,"MLPH","top_20","svg","sctype","breast_sample1"
"440",0.596300974713134,"SERHL2","top_20","svg","sctype","breast_sample1"
"461",0.0438637537297618,"ADIPOQ","top_50","svg","sctype","breast_sample1"
"462",0.0644522556009838,"OPRPN","top_50","svg","sctype","breast_sample1"
"463",0.743841722112977,"SCD","top_50","svg","sctype","breast_sample1"
"464",0.766022573929869,"FASN","top_50","svg","sctype","breast_sample1"
"465",0.700164664035608,"CEACAM6","top_50","svg","sctype","breast_sample1"
"466",0.447509669667806,"AGR3","top_50","svg","sctype","breast_sample1"
"467",0.806160125309051,"FOXA1","top_50","svg","sctype","breast_sample1"
"468",0.365293911282904,"KRT23","top_50","svg","sctype","breast_sample1"
"469",0.837983617377797,"EPCAM","top_50","svg","sctype","breast_sample1"
"470",0.474813645168354,"KRT6B","top_50","svg","sctype","breast_sample1"
"471",0.663149072149745,"ABCC11","top_50","svg","sctype","breast_sample1"
"472",0.71608282377812,"ERBB2","top_50","svg","sctype","breast_sample1"
"473",0.806376914284134,"TACSTD2","top_50","svg","sctype","breast_sample1"
"474",0.758405787005065,"GATA3","top_50","svg","sctype","breast_sample1"
"475",0.561864676164954,"KRT14","top_50","svg","sctype","breast_sample1"
"476",0.527987773884356,"KRT5","top_50","svg","sctype","breast_sample1"
"477",0.846185899783606,"KRT7","top_50","svg","sctype","breast_sample1"
"478",0.784965177547758,"ANKRD30A","top_50","svg","sctype","breast_sample1"
"479",0.807261023805688,"MLPH","top_50","svg","sctype","breast_sample1"
"480",0.596300974713134,"SERHL2","top_50","svg","sctype","breast_sample1"
"481",0.381384788228931,"ADH1B","top_50","svg","sctype","breast_sample1"
"482",0.538562832599985,"SERPINA3","top_50","svg","sctype","breast_sample1"
"483",0.798574434852476,"KRT8","top_50","svg","sctype","breast_sample1"
"484",0.600521208282652,"CXCL12","top_50","svg","sctype","breast_sample1"
"485",0.78488610440948,"PTPRC","top_50","svg","sctype","breast_sample1"
"486",0.627875515061441,"CCDC80","top_50","svg","sctype","breast_sample1"
"487",0.591314424308834,"ELF3","top_50","svg","sctype","breast_sample1"
"488",0.482201627955706,"KRT15","top_50","svg","sctype","breast_sample1"
"489",0.637684611104936,"MYO5B","top_50","svg","sctype","breast_sample1"
"490",0.431067820228931,"SFRP1","top_50","svg","sctype","breast_sample1"
"491",0.735579389404843,"CDH1","top_50","svg","sctype","breast_sample1"
"492",0.703339552060843,"CXCR4","top_50","svg","sctype","breast_sample1"
"493",0.647230609247285,"S100A14","top_50","svg","sctype","breast_sample1"
"494",0.727853516540496,"CD9","top_50","svg","sctype","breast_sample1"
"495",0.499685902869631,"TFAP2A","top_50","svg","sctype","breast_sample1"
"496",0.691821541756545,"CCND1","top_50","svg","sctype","breast_sample1"
"497",0.506734258712648,"CLDN4","top_50","svg","sctype","breast_sample1"
"498",0.705667217226722,"IL7R","top_50","svg","sctype","breast_sample1"
"499",0.595678123139357,"AR","top_50","svg","sctype","breast_sample1"
"500",0.262757090649638,"KRT16","top_50","svg","sctype","breast_sample1"
"501",0.419094465536502,"PTGDS","top_50","svg","sctype","breast_sample1"
"502",0.631496738917867,"POSTN","top_50","svg","sctype","breast_sample1"
"503",0.609502400785338,"LYPD3","top_50","svg","sctype","breast_sample1"
"504",0.640050826657056,"LUM","top_50","svg","sctype","breast_sample1"
"505",0.356499948296044,"ESR1","top_50","svg","sctype","breast_sample1"
"506",0.266335327373649,"MS4A1","top_50","svg","sctype","breast_sample1"
"507",0.682674784310922,"DSP","top_50","svg","sctype","breast_sample1"
"508",0.481520890591855,"SFRP4","top_50","svg","sctype","breast_sample1"
"509",0.451668031324275,"MZB1","top_50","svg","sctype","breast_sample1"
"510",0.445980031838347,"KLF5","top_50","svg","sctype","breast_sample1"
"701",0.0522621185360771,"ADIPOQ","top_20","svg","singler","breast_sample1"
