"x","y","celltype","model"
897.69354,9.048388,"T","ground truth"
791.4583,9.354167,"Stromal","ground truth"
870.7977,9.595506,"Stromal","ground truth"
6537.8,16.022223,"Stromal","ground truth"
719.3333,11.666667,"Macrophage","ground truth"
888.9039,11.884615,"T","ground truth"
1125.622,13.890244,"Malignant","ground truth"
928.575,13.6375,"Macrophage","ground truth"
7289.727,15.625,"Stromal","ground truth"
654,14.530303,"Stromal","ground truth"
1151.5217,13.869565,"Malignant","ground truth"
7308.048,20.238094,"Stromal","ground truth"
1356.4602,16.858408,"Malignant","ground truth"
773.8947,17.921053,"Myoepi","ground truth"
826.3731,16.925373,"Stromal","ground truth"
1134.9032,17.290323,"Malignant","ground truth"
1257.5,18.423914,"Malignant","ground truth"
7320.596,26.889423,"Stromal","ground truth"
666.38824,17.62353,"Macrophage","ground truth"
733.375,17.875,"Myoepi","ground truth"
701.0089,23.168888,"Malignant","ground truth"
763.1071,17.964285,"Myoepi","ground truth"
806.5965,21.777779,"Myoepi","ground truth"
747.375,23.976562,"Malignant","ground truth"
752.68494,22.39726,"Malignant","ground truth"
6081.46,23.97183,"Macrophage","ground truth"
723.22125,23.070797,"Malignant","ground truth"
839.7826,21.97826,"Stromal","ground truth"
1144.7587,20.689655,"Malignant","ground truth"
823.67926,22.490566,"Malignant","ground truth"
1407.6184,22.921053,"Malignant","ground truth"
795.1,27.025,"Malignant","ground truth"
685.3137,24.235294,"Myoepi","ground truth"
692.6857,23.257143,"T","ground truth"
7236.6523,24.797102,"Macrophage","ground truth"
829.5833,26.333334,"Malignant","ground truth"
859,25.296875,"Stromal","ground truth"
6504.3936,26.5,"Macrophage","ground truth"
734.3077,26.205128,"Malignant","ground truth"
911.03613,27.843374,"Stromal","ground truth"
1421.5,28.10465,"Malignant","ground truth"
759.8,28.381819,"Malignant","ground truth"
1403.5714,28.553572,"Malignant","ground truth"
1443.6526,30.094736,"Malignant","ground truth"
653.34735,29.683207,"Myoepi","ground truth"
709.82855,29.671429,"Malignant","ground truth"
847.40173,32.495728,"Malignant","ground truth"
1069.4615,32.483517,"Malignant","ground truth"
1379.4198,30.617285,"Malignant","ground truth"
6783.9004,29.633541,"T","ground truth"
678.3594,30.4375,"Malignant","ground truth"
1110.04,33.54,"Malignant","ground truth"
742.25757,32.742424,"Malignant","ground truth"
1139.2858,32.9,"Stromal","ground truth"
7223.8115,30.753624,"Stromal","ground truth"
725.71796,31.384615,"Malignant","ground truth"
633.8873,36.950703,"Myoepi","ground truth"
694.5619,33.485714,"Malignant","ground truth"
780.9482,30.196892,"Malignant","ground truth"
1123.1724,35.666668,"Malignant","ground truth"
1277.8613,35.87129,"Malignant","ground truth"
769.1539,35.274727,"Malignant","ground truth"
815.4876,35.413223,"Malignant","ground truth"
666.71716,35.666668,"Malignant","ground truth"
1251.6666,36.305557,"Malignant","ground truth"
1056.3462,35.346153,"T","ground truth"
706.86206,38.431034,"Malignant","ground truth"
863.42,36.4,"Myoepi","ground truth"
1025.2106,37.144737,"Stromal","ground truth"
1399.1818,41.977272,"Malignant","ground truth"
726.0673,36.942307,"Malignant","ground truth"
1307.1948,38.935066,"Malignant","ground truth"
1413.9718,39.028168,"Malignant","ground truth"
1227.914,39.08602,"Malignant","ground truth"
6209.5444,42.151897,"Stromal","ground truth"
651.35077,40.186565,"Malignant","ground truth"
1071.6836,40.151897,"Malignant","ground truth"
735.87177,41.179485,"Malignant","ground truth"
838.9865,41.72973,"Malignant","ground truth"
846.3788,41,"Malignant","ground truth"
