"corr","gene","n","type","model","sample"
0,"ADIPOQ","top_20","svg","final model","breast_sample1"
0,"OPRPN","top_20","svg","final model","breast_sample1"
0.638555979072879,"SCD","top_20","svg","final model","breast_sample1"
0.596376107980967,"FASN","top_20","svg","final model","breast_sample1"
0.358995395228402,"CEACAM6","top_20","svg","final model","breast_sample1"
0.230270917252922,"AGR3","top_20","svg","final model","breast_sample1"
0.660799436063984,"FOXA1","top_20","svg","final model","breast_sample1"
0.112542816591021,"KRT23","top_20","svg","final model","breast_sample1"
0.695640738307577,"EPCAM","top_20","svg","final model","breast_sample1"
0,"KRT6B","top_20","svg","final model","breast_sample1"
0.451882173275386,"ABCC11","top_20","svg","final model","breast_sample1"
0.629014706721487,"ERBB2","top_20","svg","final model","breast_sample1"
0.6862269345105,"TACSTD2","top_20","svg","final model","breast_sample1"
0.616808822249763,"GATA3","top_20","svg","final model","breast_sample1"
0.0955930129000235,"KRT14","top_20","svg","final model","breast_sample1"
0.0695007723500059,"KRT5","top_20","svg","final model","breast_sample1"
0.733852124504033,"KRT7","top_20","svg","final model","breast_sample1"
0.68122061530857,"ANKRD30A","top_20","svg","final model","breast_sample1"
0.693918202085838,"MLPH","top_20","svg","final model","breast_sample1"
0.473907227719386,"SERHL2","top_20","svg","final model","breast_sample1"
0,"ADIPOQ","top_50","svg","final model","breast_sample1"
0,"OPRPN","top_50","svg","final model","breast_sample1"
0.638555979072879,"SCD","top_50","svg","final model","breast_sample1"
0.596376107980967,"FASN","top_50","svg","final model","breast_sample1"
0.358995395228402,"CEACAM6","top_50","svg","final model","breast_sample1"
0.230270917252922,"AGR3","top_50","svg","final model","breast_sample1"
0.660799436063984,"FOXA1","top_50","svg","final model","breast_sample1"
0.112542816591021,"KRT23","top_50","svg","final model","breast_sample1"
0.695640738307577,"EPCAM","top_50","svg","final model","breast_sample1"
0,"KRT6B","top_50","svg","final model","breast_sample1"
0.451882173275386,"ABCC11","top_50","svg","final model","breast_sample1"
0.629014706721487,"ERBB2","top_50","svg","final model","breast_sample1"
0.6862269345105,"TACSTD2","top_50","svg","final model","breast_sample1"
0.616808822249763,"GATA3","top_50","svg","final model","breast_sample1"
0.0955930129000235,"KRT14","top_50","svg","final model","breast_sample1"
0.0695007723500059,"KRT5","top_50","svg","final model","breast_sample1"
0.733852124504033,"KRT7","top_50","svg","final model","breast_sample1"
0.68122061530857,"ANKRD30A","top_50","svg","final model","breast_sample1"
0.693918202085838,"MLPH","top_50","svg","final model","breast_sample1"
0.473907227719386,"SERHL2","top_50","svg","final model","breast_sample1"
0.270033840945067,"ADH1B","top_50","svg","final model","breast_sample1"
0.285018152990821,"SERPINA3","top_50","svg","final model","breast_sample1"
0.681787239086117,"KRT8","top_50","svg","final model","breast_sample1"
0.448608930449829,"CXCL12","top_50","svg","final model","breast_sample1"
0.723446354536268,"PTPRC","top_50","svg","final model","breast_sample1"
0.50839645453321,"CCDC80","top_50","svg","final model","breast_sample1"
0.529201767543799,"MYO5B","top_50","svg","final model","breast_sample1"
0.131985076745786,"SFRP1","top_50","svg","final model","breast_sample1"
0.534206836026174,"CDH1","top_50","svg","final model","breast_sample1"
0.644886658041666,"CXCR4","top_50","svg","final model","breast_sample1"
0.530855484499354,"S100A14","top_50","svg","final model","breast_sample1"
0.620840658987453,"CD9","top_50","svg","final model","breast_sample1"
0.43586915347394,"TFAP2A","top_50","svg","final model","breast_sample1"
0.600668556207244,"CCND1","top_50","svg","final model","breast_sample1"
0.64680591287925,"IL7R","top_50","svg","final model","breast_sample1"
0.482450883929744,"AR","top_50","svg","final model","breast_sample1"
0.319066724464184,"PTGDS","top_50","svg","final model","breast_sample1"
0.353811324956972,"POSTN","top_50","svg","final model","breast_sample1"
0.538948468190468,"LYPD3","top_50","svg","final model","breast_sample1"
0.471806790805195,"LUM","top_50","svg","final model","breast_sample1"
0.242400186667115,"ESR1","top_50","svg","final model","breast_sample1"
0.128300876675151,"MS4A1","top_50","svg","final model","breast_sample1"
0.532580085293322,"DSP","top_50","svg","final model","breast_sample1"
0.400077007263663,"SFRP4","top_50","svg","final model","breast_sample1"
0.0101905253892105,"MZB1","top_50","svg","final model","breast_sample1"
0.344595171847387,"KLF5","top_50","svg","final model","breast_sample1"
0.0310975676634894,"MYH11","top_50","svg","final model","breast_sample1"
0.443325430604011,"FBLN1","top_50","svg","final model","breast_sample1"
0.619782821059034,"TRAC","top_50","svg","final model","breast_sample1"
0.0699046941749166,"PTN","top_50","svg","final model","breast_sample1"
0,"ADIPOQ","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"OPRPN","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.610615165858945,"SCD","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.595856539078201,"FASN","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.298199639777955,"CEACAM6","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.125347999976871,"AGR3","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.599178613896378,"FOXA1","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.0804077653501671,"KRT23","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.590422734774009,"EPCAM","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"KRT6B","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"ABCC11","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.540006495636363,"ERBB2","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.561488434553993,"TACSTD2","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.55923801758525,"GATA3","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
-0.00151101056147906,"KRT14","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"KRT5","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.601687286351366,"KRT7","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.578199416721658,"ANKRD30A","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.614288111138164,"MLPH","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.312068780892298,"SERHL2","top_20","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"ADIPOQ","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0,"OPRPN","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.610615165858945,"SCD","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.595856539078201,"FASN","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.298199639777955,"CEACAM6","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
0.125347999976871,"AGR3","top_50","svg","base model (w/o ref, w/o cell type, w/o neighbourhood)","breast_sample1"
