"","gt","pred","this_gene"
"cell6",0,0.3494012,"ABCC11"
"cell7",0,0.35455278,"ABCC11"
"cell9",0,0,"ABCC11"
"cell11",0,0.1838511,"ABCC11"
"cell12",0,0.0018834145,"ABCC11"
"cell13",0,0,"ABCC11"
"cell14",0,0,"ABCC11"
"cell15",0,0.508485,"ABCC11"
"cell19",0,0.119767666,"ABCC11"
"cell22",0,0,"ABCC11"
"cell23",0,0,"ABCC11"
"cell24",0,0.751556,"ABCC11"
"cell28",0,0,"ABCC11"
"cell32",0,0,"ABCC11"
"cell34",4.03151452001254,0,"ABCC11"
"cell35",0,0.022027496,"ABCC11"
"cell42",0,0.08114012,"ABCC11"
"cell43",0,0.34641215,"ABCC11"
"cell45",0,0.08318135,"ABCC11"
"cell50",0,0,"ABCC11"
"cell52",3.85141759049261,0,"ABCC11"
"cell62",0,0.5726203,"ABCC11"
"cell64",0,0.10393246,"ABCC11"
"cell65",0,0,"ABCC11"
"cell68",0,0,"ABCC11"
"cell70",0,0,"ABCC11"
"cell77",0,1.0342407,"ABCC11"
"cell78",0,0.04430108,"ABCC11"
"cell79",0,0,"ABCC11"
"cell82",0,0,"ABCC11"
"cell90",0,0,"ABCC11"
"cell98",0,0,"ABCC11"
"cell104",0,0.08776921,"ABCC11"
"cell105",6.76119839497536,0,"ABCC11"
"cell110",0,0.039777033,"ABCC11"
"cell111",0,0,"ABCC11"
"cell112",0,0.26032957,"ABCC11"
"cell115",0,0,"ABCC11"
"cell117",0,0.002638851,"ABCC11"
"cell122",0,0,"ABCC11"
"cell123",0,0,"ABCC11"
"cell124",0,0.12631093,"ABCC11"
"cell125",0,0,"ABCC11"
"cell126",0,0,"ABCC11"
"cell127",3.69393253768486,0.11977102,"ABCC11"
"cell128",0,0,"ABCC11"
"cell129",0,1.0104125,"ABCC11"
"cell133",0,0,"ABCC11"
"cell134",0,0,"ABCC11"
"cell136",0,0.009661013,"ABCC11"
"cell137",0,0.009810089,"ABCC11"
"cell139",0,1.2520056,"ABCC11"
"cell140",0,1.5803722,"ABCC11"
"cell146",0,0.12236214,"ABCC11"
"cell155",0,2.1623867,"ABCC11"
"cell156",2.15926945240359,2.8413117,"ABCC11"
"cell157",0,1.2138456,"ABCC11"
"cell159",0,0.13905701,"ABCC11"
"cell160",0,0.6510657,"ABCC11"
"cell161",0,0.045027103,"ABCC11"
"cell165",0,0.115847364,"ABCC11"
"cell169",0,2.0179205,"ABCC11"
"cell170",0,0.055047292,"ABCC11"
"cell171",0,0.47325656,"ABCC11"
"cell172",0,0.34682927,"ABCC11"
"cell174",0,0.55153114,"ABCC11"
"cell177",0,1.760953,"ABCC11"
"cell179",0,0.2594625,"ABCC11"
"cell180",4.63708811062337,2.646752,"ABCC11"
"cell181",0,0.41283187,"ABCC11"
"cell187",4.58676647051091,2.0761144,"ABCC11"
"cell189",0,0.1517701,"ABCC11"
"cell191",0,0,"ABCC11"
"cell198",0,0,"ABCC11"
"cell199",0,0,"ABCC11"
"cell201",0,0,"ABCC11"
"cell205",2.50405069127029,0.8408189,"ABCC11"
"cell206",0,0,"ABCC11"
"cell210",0,0.026450193,"ABCC11"
"cell214",0,0,"ABCC11"
"cell215",0,0,"ABCC11"
"cell217",0,0,"ABCC11"
"cell221",0,0,"ABCC11"
"cell224",0,0,"ABCC11"
"cell225",3.11714250035906,0.17592281,"ABCC11"
"cell230",0,1.6817902,"ABCC11"
"cell231",0,0,"ABCC11"
"cell232",0,0,"ABCC11"
"cell234",0,0.09877218,"ABCC11"
"cell235",0,0,"ABCC11"
"cell237",0,0,"ABCC11"
"cell241",0,0.112559676,"ABCC11"
"cell243",0,0.34323594,"ABCC11"
"cell244",0,0,"ABCC11"
"cell245",0,0,"ABCC11"
"cell251",0,0,"ABCC11"
"cell253",0,0.13568349,"ABCC11"
"cell254",0,0.1737964,"ABCC11"
"cell255",0,0,"ABCC11"
"cell258",0,0,"ABCC11"
"cell259",0,0,"ABCC11"
"cell260",0,0,"ABCC11"
"cell261",0,0.3965316,"ABCC11"
"cell263",0,0,"ABCC11"
"cell266",0,0.17230393,"ABCC11"
"cell267",0,0,"ABCC11"
"cell268",0,0,"ABCC11"
"cell269",0,0,"ABCC11"
"cell270",0,0,"ABCC11"
"cell271",0,0,"ABCC11"
"cell273",0,0,"ABCC11"
"cell274",0,0,"ABCC11"
"cell276",0,0,"ABCC11"
"cell277",0,0,"ABCC11"
"cell283",0,0.021283733,"ABCC11"
"cell284",0,0,"ABCC11"
"cell285",0,0.0037777962,"ABCC11"
"cell287",0,0,"ABCC11"
"cell290",0,0,"ABCC11"
"cell293",0,0,"ABCC11"
"cell295",0,0,"ABCC11"
"cell296",0,0,"ABCC11"
"cell298",0,0,"ABCC11"
"cell299",0,0,"ABCC11"
"cell304",0,0,"ABCC11"
"cell306",0,0.029018933,"ABCC11"
"cell308",0,0.016515626,"ABCC11"
"cell309",0,0.13881354,"ABCC11"
"cell310",0,0,"ABCC11"
"cell313",0,0.07843029,"ABCC11"
"cell316",0,0.11265757,"ABCC11"
"cell317",0,0,"ABCC11"
"cell318",0,0.06800776,"ABCC11"
"cell320",0,0,"ABCC11"
"cell321",0,1.1233104,"ABCC11"
"cell324",0,0.029478172,"ABCC11"
"cell326",0,0.08146539,"ABCC11"
"cell329",0,0,"ABCC11"
"cell331",0,0,"ABCC11"
"cell334",0,0,"ABCC11"
"cell337",0,0,"ABCC11"
"cell338",0,0,"ABCC11"
"cell339",0,0,"ABCC11"
"cell340",0,0.07721495,"ABCC11"
"cell344",0,0,"ABCC11"
"cell345",0,0.67519397,"ABCC11"
"cell347",0,0,"ABCC11"
"cell348",4.98671605456318,0.99821657,"ABCC11"
"cell349",0,0,"ABCC11"
"cell351",0,0.01116522,"ABCC11"
"cell355",0,0,"ABCC11"
"cell357",0,0.78138834,"ABCC11"
"cell358",0,0.33035585,"ABCC11"
"cell360",0,0,"ABCC11"
"cell361",0,0.0035887607,"ABCC11"
"cell364",0,0.035687502,"ABCC11"
"cell370",4.49151280567245,2.0255713,"ABCC11"
"cell371",0,0,"ABCC11"
"cell378",2.4374189435185,0.091461174,"ABCC11"
"cell379",0,0,"ABCC11"
"cell380",0,0,"ABCC11"
"cell381",4.24124869441861,0.87855357,"ABCC11"
"cell384",0,0.16206543,"ABCC11"
"cell386",0,1.4286375,"ABCC11"
"cell390",0,1.3233956,"ABCC11"
