"","gt","pred","this_gene"
"Cell_507",0,0.080387615,"CD3E"
"Cell_704",0,0.036126632,"CD3E"
"Cell_703",2.16656101921724,0.7992236,"CD3E"
"Cell_769",0,0.09552975,"CD3E"
"Cell_840",0,0.23010686,"CD3E"
"Cell_905",0,0,"CD3E"
"Cell_859",0,0.4292953,"CD3E"
"Cell_997",2.49267480107158,0.19561063,"CD3E"
"Cell_1051",0,0.48475724,"CD3E"
"Cell_1071",0,0.51447296,"CD3E"
"Cell_1127",2.01910745499664,0.3879847,"CD3E"
"Cell_1148",0,0.04116557,"CD3E"
"Cell_1128",0,0.067198575,"CD3E"
"Cell_1181",0,0.3812934,"CD3E"
"Cell_1131",0,0.03368289,"CD3E"
"Cell_1238",0,0.21685028,"CD3E"
"Cell_1284",0,0.5929903,"CD3E"
"Cell_1285",0,0.5308344,"CD3E"
"Cell_1380",0,0.4167416,"CD3E"
"Cell_1399",3.67549168716717,1.2136567,"CD3E"
"Cell_1400",1.40758674530763,0.87649804,"CD3E"
"Cell_1403",0,0.031684775,"CD3E"
"Cell_1442",0,0.06273723,"CD3E"
"Cell_1444",0,0.0032838166,"CD3E"
"Cell_1401",0,0.04005621,"CD3E"
"Cell_1510",0,0.021660252,"CD3E"
"Cell_1492",0,0.1045316,"CD3E"
"Cell_1465",0.604970081440679,0.05405383,"CD3E"
"Cell_1554",3.33135490331641,1.2369126,"CD3E"
"Cell_1555",0,0.15197563,"CD3E"
"Cell_1539",0,0.11281969,"CD3E"
"Cell_1556",0,0.07092651,"CD3E"
"Cell_1557",0,0.07135218,"CD3E"
"Cell_1445",0,0.03463644,"CD3E"
"Cell_1619",0,0.36575094,"CD3E"
"Cell_1639",0,0.012814552,"CD3E"
"Cell_1704",4.34228352152087,1.1125273,"CD3E"
"Cell_1792",0,0.03420685,"CD3E"
"Cell_1578",0,0.50117236,"CD3E"
"Cell_1706",0,0.19659068,"CD3E"
"Cell_1810",0,0.0016572282,"CD3E"
"Cell_1767",0,0.25210896,"CD3E"
"Cell_1765",1.01955135863194,0.9450535,"CD3E"
"Cell_1811",0,0.00238441,"CD3E"
"Cell_1857",0,0,"CD3E"
"Cell_1766",0,0.008984518,"CD3E"
"Cell_1874",0,0.0025296377,"CD3E"
"Cell_1793",1.92619152302676,0.18376008,"CD3E"
"Cell_1912",0,0.023404429,"CD3E"
"Cell_1956",0,0.0016022802,"CD3E"
"Cell_1975",0,0.021592012,"CD3E"
"Cell_1990",0,0,"CD3E"
"Cell_2011",0,0.0127512785,"CD3E"
"Cell_1875",0,0.121853806,"CD3E"
"Cell_1974",0,0.07644442,"CD3E"
"Cell_2099",0,0.04842554,"CD3E"
"Cell_2147",0,0.020274399,"CD3E"
"Cell_2100",0,0,"CD3E"
"Cell_2129",0,0.01228697,"CD3E"
"Cell_2146",0,0.1641314,"CD3E"
"Cell_2170",0,0.45370442,"CD3E"
"Cell_2171",0,0,"CD3E"
"Cell_2173",0,0,"CD3E"
"Cell_2201",0,0,"CD3E"
"Cell_2224",0,0.0030812025,"CD3E"
"Cell_2200",4.0864732808653,0.9339266,"CD3E"
"Cell_2242",0,0.33268982,"CD3E"
"Cell_2199",0.498998896130944,0.8181924,"CD3E"
"Cell_2280",0,0.023495404,"CD3E"
"Cell_2326",0,0.04062969,"CD3E"
"Cell_2223",0,1.0483538,"CD3E"
"Cell_2279",0,0.025897283,"CD3E"
"Cell_2301",0,0.051517475,"CD3E"
"Cell_2299",0,0.27592248,"CD3E"
"Cell_2379",0,0.015930787,"CD3E"
"Cell_2410",0,0.08370533,"CD3E"
"Cell_2436",0,0,"CD3E"
"Cell_2461",0,0.1317979,"CD3E"
"Cell_2472",1.88008686778666,0.079748444,"CD3E"
"Cell_2434",0,0.79938036,"CD3E"
"Cell_2474",0,0,"CD3E"
