"","gt","pred","this_gene"
"Cell_507",0,0.1055936,"IL7R"
"Cell_704",0,0.0039960146,"IL7R"
"Cell_703",2.16656101921724,0.9255869,"IL7R"
"Cell_769",0,0,"IL7R"
"Cell_840",0,0.3858654,"IL7R"
"Cell_905",0,0,"IL7R"
"Cell_859",0,0.49547806,"IL7R"
"Cell_997",1.72861815838679,0.2800149,"IL7R"
"Cell_1051",0,0.46959087,"IL7R"
"Cell_1071",0,0.57794625,"IL7R"
"Cell_1127",3.02226757139022,0.40742093,"IL7R"
"Cell_1148",0,0,"IL7R"
"Cell_1128",0,0.098750226,"IL7R"
"Cell_1181",0,0.35452446,"IL7R"
"Cell_1131",0,0,"IL7R"
"Cell_1238",0,0.10074383,"IL7R"
"Cell_1284",0,0.3968903,"IL7R"
"Cell_1285",0,0.57981694,"IL7R"
"Cell_1380",0,0.31514016,"IL7R"
"Cell_1399",2.30033149995816,1.3109576,"IL7R"
"Cell_1400",0,0.80083734,"IL7R"
"Cell_1403",0,0,"IL7R"
"Cell_1442",0,0,"IL7R"
"Cell_1444",0,0,"IL7R"
"Cell_1401",0,0,"IL7R"
"Cell_1510",0,0,"IL7R"
"Cell_1492",0,0.07796512,"IL7R"
"Cell_1465",0,0,"IL7R"
"Cell_1554",3.33135490331641,1.3527205,"IL7R"
"Cell_1555",0.745392173332613,0.1258201,"IL7R"
"Cell_1539",0,0.02461698,"IL7R"
"Cell_1556",0,0.017224206,"IL7R"
"Cell_1557",0,0,"IL7R"
"Cell_1445",0,0,"IL7R"
"Cell_1619",0,0.21849094,"IL7R"
"Cell_1639",0,0,"IL7R"
"Cell_1704",4.34228352152087,1.1879414,"IL7R"
"Cell_1792",0,0,"IL7R"
"Cell_1578",0,0.58810455,"IL7R"
"Cell_1706",0,0.0369502,"IL7R"
"Cell_1810",0,0,"IL7R"
"Cell_1767",0,0.112187944,"IL7R"
"Cell_1765",2.02922856756816,0.99606895,"IL7R"
"Cell_1811",0,0,"IL7R"
"Cell_1857",0,0,"IL7R"
"Cell_1766",0,0,"IL7R"
"Cell_1874",0,0,"IL7R"
"Cell_1793",3.23289373125236,0.16158096,"IL7R"
"Cell_1912",0,0,"IL7R"
"Cell_1956",0,0,"IL7R"
"Cell_1975",0,0,"IL7R"
"Cell_1990",0,0,"IL7R"
"Cell_2011",0,0,"IL7R"
"Cell_1875",0,0.05293263,"IL7R"
"Cell_1974",0,0.020465469,"IL7R"
"Cell_2099",0,0,"IL7R"
"Cell_2147",0,0,"IL7R"
"Cell_2100",0,0,"IL7R"
"Cell_2129",0,0,"IL7R"
"Cell_2146",0,0.08472643,"IL7R"
"Cell_2170",0,0.43674332,"IL7R"
"Cell_2171",0,0,"IL7R"
"Cell_2173",0,0,"IL7R"
"Cell_2201",0,0,"IL7R"
"Cell_2224",0,0,"IL7R"
"Cell_2200",4.0864732808653,0.9994125,"IL7R"
"Cell_2242",0,0.37504536,"IL7R"
"Cell_2199",0,0.8709,"IL7R"
"Cell_2280",0,0,"IL7R"
"Cell_2326",0,0,"IL7R"
"Cell_2223",0,1.130613,"IL7R"
"Cell_2279",0,0,"IL7R"
"Cell_2301",0,0,"IL7R"
"Cell_2299",0,0.29180157,"IL7R"
"Cell_2379",0,0,"IL7R"
"Cell_2410",0,0.011611032,"IL7R"
"Cell_2436",0,0,"IL7R"
"Cell_2461",0,0.07962092,"IL7R"
"Cell_2472",0,0.04263156,"IL7R"
"Cell_2434",0,0.8539071,"IL7R"
"Cell_2474",0,0,"IL7R"
"Cell_2490",0,0,"IL7R"
"Cell_2473",0.918416283032932,0,"IL7R"
"Cell_2519",0,0.47126976,"IL7R"
"Cell_2535",0,0.22465019,"IL7R"
"Cell_2537",0,0,"IL7R"
"Cell_2627",0,0,"IL7R"
"Cell_2539",0,0,"IL7R"
"Cell_2583",0,0,"IL7R"
"Cell_2598",0,0.16500556,"IL7R"
"Cell_2597",0,0.30173394,"IL7R"
"Cell_2628",0,0,"IL7R"
"Cell_2648",0,0,"IL7R"
"Cell_2681",0,0,"IL7R"
"Cell_2650",0,0.22661622,"IL7R"
"Cell_2704",0,0.26816368,"IL7R"
"Cell_2538",0,0,"IL7R"
"Cell_2706",0,0.14848295,"IL7R"
"Cell_2754",0,0.037034348,"IL7R"
"Cell_2649",0,0.3903524,"IL7R"
"Cell_2796",0,0,"IL7R"
"Cell_2772",0,0.00035866053,"IL7R"
"Cell_2705",1.41438044505033,0.5467013,"IL7R"
"Cell_2826",0,0,"IL7R"
"Cell_2797",2.50524078840195,0.3488489,"IL7R"
"Cell_2827",0,0,"IL7R"
"Cell_2875",0,0.24438798,"IL7R"
"Cell_2855",0,0,"IL7R"
"Cell_2856",0,0,"IL7R"
"Cell_2876",0,0.60034597,"IL7R"
"Cell_2935",0,0,"IL7R"
"Cell_2891",0,0,"IL7R"
"Cell_2892",0,0.99228096,"IL7R"
"Cell_2985",0,0.046810996,"IL7R"
"Cell_3006",0,0,"IL7R"
"Cell_3033",0,0.16834287,"IL7R"
"Cell_2873",0,0.0044998527,"IL7R"
"Cell_3082",0,0,"IL7R"
"Cell_3052",0,0,"IL7R"
"Cell_3081",0,0.025048269,"IL7R"
"Cell_3102",0,0.8312909,"IL7R"
"Cell_3131",0,0.13084777,"IL7R"
"Cell_3130",0,0.05797211,"IL7R"
"Cell_3158",0,0.15796426,"IL7R"
"Cell_3179",0,0.44930193,"IL7R"
"Cell_3182",0,0,"IL7R"
"Cell_3177",0,0.5786585,"IL7R"
"Cell_3202",0,0.15112363,"IL7R"
"Cell_3256",0,0,"IL7R"
"Cell_3255",0,0.13779087,"IL7R"
"Cell_3203",0,0,"IL7R"
"Cell_3302",0,0.093718246,"IL7R"
"Cell_3280",0,0.05320703,"IL7R"
"Cell_3281",0,0.03419785,"IL7R"
"Cell_3303",0,0.16473566,"IL7R"
"Cell_3327",0,0,"IL7R"
"Cell_3325",0,0,"IL7R"
"Cell_3282",0,0.39891076,"IL7R"
"Cell_3229",0,0.19433068,"IL7R"
"Cell_3326",0,0,"IL7R"
"Cell_3351",0,0.92774165,"IL7R"
"Cell_3353",0,0,"IL7R"
"Cell_3369",0,0,"IL7R"
"Cell_3352",0,0.6633319,"IL7R"
"Cell_3395",0,0.2615449,"IL7R"
"Cell_3396",0,0,"IL7R"
"Cell_3419",0,0.037289336,"IL7R"
"Cell_3447",0,0,"IL7R"
"Cell_3393",0,0.23438802,"IL7R"
"Cell_3446",0,0.5345101,"IL7R"
"Cell_3465",0,0,"IL7R"
"Cell_3445",0,0.66457605,"IL7R"
"Cell_3467",0,0,"IL7R"
"Cell_3466",0,0.12594546,"IL7R"
"Cell_3543",0,0.4228448,"IL7R"
"Cell_3517",0,1.078318,"IL7R"
"Cell_3544",0,0.1192588,"IL7R"
"Cell_3542",0.876481572146049,0.7218955,"IL7R"
"Cell_3488",1.6019593593363,0.4293346,"IL7R"
"Cell_3597",0,0.73292094,"IL7R"
"Cell_3570",0,0,"IL7R"
"Cell_3569",0,0.54928917,"IL7R"
"Cell_3595",0,0.11655823,"IL7R"
"Cell_3596",0,0.49264026,"IL7R"
"Cell_3599",0,0,"IL7R"
"Cell_3593",0,0.18820813,"IL7R"
"Cell_3594",0,0.47812214,"IL7R"
"Cell_3572",0,0,"IL7R"
"Cell_3620",0,0.029978916,"IL7R"
"Cell_3571",0,0.10860588,"IL7R"
"Cell_3619",0,0.14072844,"IL7R"
"Cell_3646",0,0,"IL7R"
"Cell_3644",0,0,"IL7R"
"Cell_3643",0,0.077827655,"IL7R"
"Cell_3701",0,0,"IL7R"
"Cell_3758",0,0.14113891,"IL7R"
"Cell_3618",0,0.26248783,"IL7R"
"Cell_3672",0,0.71487015,"IL7R"
"Cell_3725",0,0,"IL7R"
"Cell_3703",0,0.07007625,"IL7R"
"Cell_3645",1.53364807766066,0,"IL7R"
"Cell_3760",0,1.1119868,"IL7R"
"Cell_3782",0,0.060502816,"IL7R"
"Cell_3759",0,0,"IL7R"
"Cell_3757",3.12328122244626,1.1379242,"IL7R"
"Cell_3784",0,0,"IL7R"
"Cell_3827",0,0.62892294,"IL7R"
"Cell_3803",2.06560089848364,0.8306033,"IL7R"
