"","gt","pred","this_gene"
"Cell_507",0,0.74892586,"LUM"
"Cell_704",0,0.71768045,"LUM"
"Cell_703",2.16656101921724,2.4060676,"LUM"
"Cell_769",1.11314914234488,0.5852422,"LUM"
"Cell_840",0,3.620232,"LUM"
"Cell_905",0,0,"LUM"
"Cell_859",0,0.9230668,"LUM"
"Cell_997",0,1.7557678,"LUM"
"Cell_1051",1.51755211097277,1.2746065,"LUM"
"Cell_1071",1.26318649064904,2.3896716,"LUM"
"Cell_1127",1.01276638008917,1.7523777,"LUM"
"Cell_1148",0,0.47164708,"LUM"
"Cell_1128",2.35153641501325,0.9661707,"LUM"
"Cell_1181",0.558535669684422,1.4646524,"LUM"
"Cell_1131",0.57075183202674,0.41918612,"LUM"
"Cell_1238",0,0.55356544,"LUM"
"Cell_1284",0.722827424571729,0.69671744,"LUM"
"Cell_1285",0,1.0944221,"LUM"
"Cell_1380",1.04947720336291,0.7146181,"LUM"
"Cell_1399",0,1.1840802,"LUM"
"Cell_1400",0,0.98804104,"LUM"
"Cell_1403",0,0.6320421,"LUM"
"Cell_1442",0,0.57906693,"LUM"
"Cell_1444",0,0.3757026,"LUM"
"Cell_1401",0.467102019131127,0.3303251,"LUM"
"Cell_1510",0,0.30368954,"LUM"
"Cell_1492",0,0.50565785,"LUM"
"Cell_1465",1.02990827308752,0.3749972,"LUM"
"Cell_1554",0,1.1740683,"LUM"
"Cell_1555",0,0.9044213,"LUM"
"Cell_1539",0,0.5266438,"LUM"
"Cell_1556",0,0.5294581,"LUM"
"Cell_1557",0,0.36731735,"LUM"
"Cell_1445",0,0.4937752,"LUM"
"Cell_1619",2.42041822173818,0.4347248,"LUM"
"Cell_1639",0,0.3751352,"LUM"
"Cell_1704",0,1.123535,"LUM"
"Cell_1792",1.31639995978258,0.56028557,"LUM"
"Cell_1578",0,2.4270115,"LUM"
"Cell_1706",4.22405985153995,0.76083577,"LUM"
"Cell_1810",0,0.3467383,"LUM"
"Cell_1767",0,0.78056544,"LUM"
"Cell_1765",0,2.4151027,"LUM"
"Cell_1811",0,0.42386705,"LUM"
"Cell_1857",1.02297947617479,0.25479645,"LUM"
"Cell_1766",4.4165377935089,0.27626148,"LUM"
"Cell_1874",0,0.31407923,"LUM"
"Cell_1793",2.72268723344822,0,"LUM"
"Cell_1912",0,0.4895211,"LUM"
"Cell_1956",0,0.37060967,"LUM"
"Cell_1975",3.70919199025286,0.9350613,"LUM"
"Cell_1990",0.9267452300331,0.2559614,"LUM"
"Cell_2011",0,0.27128324,"LUM"
"Cell_1875",0.373048879879667,0.6738691,"LUM"
"Cell_1974",0,0.69228345,"LUM"
"Cell_2099",0,0.2898261,"LUM"
"Cell_2147",0,0.3030254,"LUM"
"Cell_2100",0,0.27956697,"LUM"
"Cell_2129",0,0.3662722,"LUM"
"Cell_2146",1.32722584923512,0.5530278,"LUM"
"Cell_2170",3.31562899845625,1.4576758,"LUM"
"Cell_2171",0,0.27785888,"LUM"
"Cell_2173",0,0.2639678,"LUM"
"Cell_2201",0,0.5597175,"LUM"
"Cell_2224",0,0.5122491,"LUM"
