"","gt","pred","this_gene"
"cell6",0,0.21928191,"SCD"
"cell7",0,0.26059896,"SCD"
"cell9",0,0.062234975,"SCD"
"cell11",0,0.12041017,"SCD"
"cell12",0,0.027820824,"SCD"
"cell13",0,0.0441075,"SCD"
"cell14",0,0,"SCD"
"cell15",0,0.30701685,"SCD"
"cell19",0,0.0823846,"SCD"
"cell22",0,0.08075112,"SCD"
"cell23",0,0.05711558,"SCD"
"cell24",0,0.40364107,"SCD"
"cell28",0,0.055424787,"SCD"
"cell32",0,0.01695384,"SCD"
"cell34",0,0.05468006,"SCD"
"cell35",0,0.10558044,"SCD"
"cell42",0,0.05369116,"SCD"
"cell43",0,0.18767542,"SCD"
"cell45",0,0.12526688,"SCD"
"cell50",0,0.043458086,"SCD"
"cell52",2.45366537034637,0.04909604,"SCD"
"cell62",0,0.29414436,"SCD"
"cell64",0,0.082653716,"SCD"
"cell65",0,0,"SCD"
"cell68",0,0.055108614,"SCD"
"cell70",0,0.00016887784,"SCD"
"cell77",0,0.46673355,"SCD"
"cell78",0,0.031898383,"SCD"
"cell79",0,0.055766027,"SCD"
"cell82",0,0.03278328,"SCD"
"cell90",0,0.027642807,"SCD"
"cell98",0,0.07395945,"SCD"
"cell104",0,0.13952528,"SCD"
"cell105",0,0,"SCD"
"cell110",0,0.12017598,"SCD"
"cell111",0,0.020249953,"SCD"
"cell112",0,0.17890535,"SCD"
"cell115",0,0.059988517,"SCD"
"cell117",0,0.105600074,"SCD"
"cell122",0,0.015391526,"SCD"
"cell123",0,0.089095734,"SCD"
"cell124",0,0.087615564,"SCD"
"cell125",0,0.07994791,"SCD"
"cell126",0,0.0654565,"SCD"
"cell127",0,0,"SCD"
"cell128",0,0,"SCD"
"cell129",0,0.49469286,"SCD"
"cell133",0,0,"SCD"
"cell134",0,0,"SCD"
"cell136",0,0.08801936,"SCD"
"cell137",0,0.09986242,"SCD"
"cell139",0,0.75215954,"SCD"
"cell140",0,0.98549855,"SCD"
"cell146",0,0.11744245,"SCD"
"cell155",0,0.999216,"SCD"
"cell156",0,1.8292443,"SCD"
"cell157",0,0.73526794,"SCD"
"cell159",0,0.15600462,"SCD"
"cell160",0,0.36263362,"SCD"
"cell161",0,0.081856504,"SCD"
"cell165",0,0.12698226,"SCD"
"cell169",0,1.1529722,"SCD"
"cell170",0,0.07458277,"SCD"
"cell171",0,0.3200613,"SCD"
"cell172",0,0.25172877,"SCD"
"cell174",0,0.3593674,"SCD"
"cell177",0,1.072659,"SCD"
"cell179",0,0.22403832,"SCD"
"cell180",0,1.8655446,"SCD"
"cell181",0,0.27240726,"SCD"
"cell187",0,0.9734231,"SCD"
"cell189",0,0.12777184,"SCD"
"cell191",0,0,"SCD"
"cell198",0,0.00067228975,"SCD"
"cell199",0,0,"SCD"
"cell201",0,0,"SCD"
"cell205",2.50405069127029,0.46140504,"SCD"
"cell206",0,0.03249872,"SCD"
"cell210",0,0,"SCD"
"cell214",0,0.07964926,"SCD"
"cell215",0,0.06573416,"SCD"
"cell217",0,0.0063990443,"SCD"
"cell221",0,0.01694999,"SCD"
"cell224",0,0,"SCD"
"cell225",0,0.14207576,"SCD"
"cell230",0,0.8861203,"SCD"
"cell231",0,0.041923027,"SCD"
