"","gt","pred","this_gene"
"cell6",0,0.07433856,"SERPINA3"
"cell7",0,0.046014156,"SERPINA3"
"cell9",0,0.14660957,"SERPINA3"
"cell11",0,0.12500425,"SERPINA3"
"cell12",0,0.010109854,"SERPINA3"
"cell13",0,0.007564619,"SERPINA3"
"cell14",0,0.3182845,"SERPINA3"
"cell15",0,0.3989863,"SERPINA3"
"cell19",0,0.19914542,"SERPINA3"
"cell22",0,0.23315065,"SERPINA3"
"cell23",0,0.04224446,"SERPINA3"
"cell24",0,0.1923822,"SERPINA3"
"cell28",0,0.0945661,"SERPINA3"
"cell32",0,0.002414465,"SERPINA3"
"cell34",0,0.06504996,"SERPINA3"
"cell35",0,0.0152282985,"SERPINA3"
"cell42",0,0.080554985,"SERPINA3"
"cell43",0,0.06994908,"SERPINA3"
"cell45",0,0.20361482,"SERPINA3"
"cell50",0,0.020183096,"SERPINA3"
"cell52",0,0.13268976,"SERPINA3"
"cell62",0,0.17393678,"SERPINA3"
"cell64",0,0.08380767,"SERPINA3"
"cell65",0,0,"SERPINA3"
"cell68",0,0.07532361,"SERPINA3"
"cell70",0,0,"SERPINA3"
"cell77",0,0.13051678,"SERPINA3"
"cell78",0,0,"SERPINA3"
"cell79",0,0,"SERPINA3"
"cell82",0,0.06251665,"SERPINA3"
"cell90",0,0,"SERPINA3"
"cell98",0,0.0056861313,"SERPINA3"
"cell104",0,0.12593351,"SERPINA3"
"cell105",0,0,"SERPINA3"
"cell110",0,0.1828934,"SERPINA3"
"cell111",0,0.051945746,"SERPINA3"
"cell112",0,0.03104331,"SERPINA3"
"cell115",0,0,"SERPINA3"
"cell117",0,0.088548504,"SERPINA3"
"cell122",0,0,"SERPINA3"
"cell123",0,0.024062458,"SERPINA3"
"cell124",0,0.023592198,"SERPINA3"
"cell125",0,0,"SERPINA3"
"cell126",0,0,"SERPINA3"
"cell127",0,0,"SERPINA3"
"cell128",0,0,"SERPINA3"
"cell129",0,0.0060917973,"SERPINA3"
"cell133",0,0,"SERPINA3"
"cell134",0,0.023905277,"SERPINA3"
"cell136",0,0,"SERPINA3"
"cell137",0,0.00328604,"SERPINA3"
"cell139",0,0.31408125,"SERPINA3"
"cell140",0,0.2913055,"SERPINA3"
"cell146",0,0,"SERPINA3"
"cell155",0,0.65179026,"SERPINA3"
"cell156",0,0.50909966,"SERPINA3"
"cell157",0,0.24170013,"SERPINA3"
"cell159",0,0.030663714,"SERPINA3"
"cell160",0,0.22923946,"SERPINA3"
"cell161",0,0.00030014516,"SERPINA3"
"cell165",0,0.047734525,"SERPINA3"
"cell169",0,0.38437358,"SERPINA3"
"cell170",0,0,"SERPINA3"
"cell171",0,0.12889813,"SERPINA3"
"cell172",0,0.027559608,"SERPINA3"
"cell174",0,0.20815933,"SERPINA3"
"cell177",0,0.3094792,"SERPINA3"
"cell179",0,0.106506884,"SERPINA3"
"cell180",0,0.37272742,"SERPINA3"
"cell181",0,0.055980064,"SERPINA3"
"cell187",0,0.6813778,"SERPINA3"
"cell189",0,0.049082816,"SERPINA3"
"cell191",0,0.06358534,"SERPINA3"
"cell198",0,0,"SERPINA3"
"cell199",0,0.08414908,"SERPINA3"
"cell201",0,0,"SERPINA3"
"cell205",0,0.30925533,"SERPINA3"
"cell206",0,0,"SERPINA3"
"cell210",0,0,"SERPINA3"
"cell214",0,0.047860216,"SERPINA3"
"cell215",0,0.06463808,"SERPINA3"
"cell217",0,0.15284581,"SERPINA3"
"cell221",0,0.1716363,"SERPINA3"
"cell224",0,0.016591555,"SERPINA3"
"cell225",0,0.09121006,"SERPINA3"
"cell230",0,0.37461194,"SERPINA3"
"cell231",0,0.012699628,"SERPINA3"
"cell232",0,0.005621597,"SERPINA3"
"cell234",0,0.014173761,"SERPINA3"
"cell235",0,0.091389336,"SERPINA3"
"cell237",0,0.1715859,"SERPINA3"
"cell241",0,0.53761655,"SERPINA3"
"cell243",0,0.1453441,"SERPINA3"
"cell244",0,0.0026105524,"SERPINA3"
"cell245",0,0.055641543,"SERPINA3"
"cell251",0,0,"SERPINA3"
"cell253",0,0,"SERPINA3"
"cell254",0,0.32016203,"SERPINA3"
"cell255",0,0,"SERPINA3"
"cell258",0,0,"SERPINA3"
"cell259",0,0.06832571,"SERPINA3"
"cell260",0,0,"SERPINA3"
"cell261",0,0.123994105,"SERPINA3"
"cell263",0,0,"SERPINA3"
"cell266",0,0.051251866,"SERPINA3"
"cell267",0,0,"SERPINA3"
"cell268",0,0,"SERPINA3"
"cell269",0,0,"SERPINA3"
"cell270",0,0.22621024,"SERPINA3"
"cell271",0,0,"SERPINA3"
"cell273",0,0,"SERPINA3"
"cell274",0,0.019621199,"SERPINA3"
"cell276",0,0,"SERPINA3"
"cell277",0,0,"SERPINA3"
"cell283",0,0,"SERPINA3"
"cell284",0,0.02492912,"SERPINA3"
"cell285",0,0,"SERPINA3"
"cell287",0,0.049338233,"SERPINA3"
"cell290",0,0.069207765,"SERPINA3"
"cell293",0,0,"SERPINA3"
"cell295",0,0.054701973,"SERPINA3"
"cell296",0,0.12768692,"SERPINA3"
"cell298",0,0,"SERPINA3"
"cell299",0,0.002637172,"SERPINA3"
"cell304",0,0,"SERPINA3"
"cell306",0,0,"SERPINA3"
"cell308",0,0,"SERPINA3"
"cell309",0,0.06221906,"SERPINA3"
"cell310",0,0,"SERPINA3"
"cell313",0,0.012233269,"SERPINA3"
"cell316",0,0,"SERPINA3"
"cell317",0,0,"SERPINA3"
"cell318",0,0.039381694,"SERPINA3"
"cell320",0,0,"SERPINA3"
"cell321",0,0.37253723,"SERPINA3"
"cell324",0,0,"SERPINA3"
"cell326",0,0.07848763,"SERPINA3"
"cell329",0,0.0031222105,"SERPINA3"
"cell331",0,0,"SERPINA3"
"cell334",0,0,"SERPINA3"
"cell337",0,0,"SERPINA3"
"cell338",0,0,"SERPINA3"
"cell339",0,0,"SERPINA3"
"cell340",0,0.025844956,"SERPINA3"
"cell344",0,0,"SERPINA3"
"cell345",0,0.25100356,"SERPINA3"
"cell347",0,0,"SERPINA3"
"cell348",0,0.20847498,"SERPINA3"
"cell349",0,0,"SERPINA3"
"cell351",0,0,"SERPINA3"
"cell355",0,0.009631613,"SERPINA3"
"cell357",0,0.34800348,"SERPINA3"
"cell358",0,0.16783112,"SERPINA3"
"cell360",0,0,"SERPINA3"
"cell361",0,0,"SERPINA3"
"cell364",0,0.06503121,"SERPINA3"
"cell370",0,0.4507222,"SERPINA3"
"cell371",0,0,"SERPINA3"
"cell378",0,0.0573378,"SERPINA3"
"cell379",0,0,"SERPINA3"
"cell380",0,0,"SERPINA3"
"cell381",0,0.29891634,"SERPINA3"
"cell384",0,0.045423195,"SERPINA3"
"cell386",0,0.6112919,"SERPINA3"
"cell390",0,0.4310244,"SERPINA3"
"cell391",0,0,"SERPINA3"
"cell392",0,0.25026923,"SERPINA3"
"cell394",0,0,"SERPINA3"
"cell395",1.65510877204796,0.40055284,"SERPINA3"
"cell397",0,0.39148077,"SERPINA3"
"cell404",0,0.19931476,"SERPINA3"
"cell405",0,0,"SERPINA3"
"cell406",0,0.16091473,"SERPINA3"
"cell408",0,0.2650635,"SERPINA3"
"cell410",0,0.3279154,"SERPINA3"
"cell412",0,0,"SERPINA3"
"cell414",0,0.22907166,"SERPINA3"
"cell416",0,0.02034553,"SERPINA3"
"cell420",0,0.21124275,"SERPINA3"
"cell424",0,0.495298,"SERPINA3"
"cell425",0,0.32362396,"SERPINA3"
"cell427",0,0.37526482,"SERPINA3"
"cell428",0,0,"SERPINA3"
"cell429",0,0,"SERPINA3"
"cell430",0,0.47807398,"SERPINA3"
"cell436",0,0.10308708,"SERPINA3"
"cell440",0,0.43537244,"SERPINA3"
"cell443",0,0,"SERPINA3"
"cell447",0,0.18059993,"SERPINA3"
"cell449",0,0.3140867,"SERPINA3"
"cell450",0,0.21170373,"SERPINA3"
"cell451",1.40786281905157,0.22903113,"SERPINA3"
"cell452",0,0.17318113,"SERPINA3"
"cell453",0,0,"SERPINA3"
"cell454",0,0,"SERPINA3"
"cell457",0,0,"SERPINA3"
"cell458",0,0,"SERPINA3"
"cell459",0,0.26754224,"SERPINA3"
"cell460",0,0.06624323,"SERPINA3"
"cell461",0,0.16607615,"SERPINA3"
"cell463",0,0.29100436,"SERPINA3"
"cell464",0,0,"SERPINA3"
"cell465",0,0.2245508,"SERPINA3"
"cell471",0,0,"SERPINA3"
"cell472",0,0.4619867,"SERPINA3"
"cell473",0,0.01958399,"SERPINA3"
"cell475",0,0.37298235,"SERPINA3"
"cell476",1.69556208644867,0.30883646,"SERPINA3"
"cell480",0,0.029172027,"SERPINA3"
"cell483",0,0.41851884,"SERPINA3"
"cell484",0,0.1594597,"SERPINA3"
"cell485",0,0.3347474,"SERPINA3"
"cell486",0,0.51307887,"SERPINA3"
"cell487",0,0.015598682,"SERPINA3"
