"corr","gene","n","type","model","sample"
0.714850334763509,"IL7R","top_20","hvg","model74","breast_sample1"
0.284921569317635,"MS4A1","top_20","hvg","model74","breast_sample1"
0.415621648464811,"CD8A","top_20","hvg","model74","breast_sample1"
0.707346329921688,"CD3E","top_20","hvg","model74","breast_sample1"
0.62748526067126,"POSTN","top_20","hvg","model74","breast_sample1"
0.318002141624243,"CPA3","top_20","hvg","model74","breast_sample1"
0.63666307688336,"LUM","top_20","hvg","model74","breast_sample1"
0.258778367243883,"BANK1","top_20","hvg","model74","breast_sample1"
0.680189778004901,"TRAC","top_20","hvg","model74","breast_sample1"
0.409013272230743,"LYZ","top_20","hvg","model74","breast_sample1"
0.194395822545465,"CTSG","top_20","hvg","model74","breast_sample1"
0.784373469612766,"PTPRC","top_20","hvg","model74","breast_sample1"
0.461253288946622,"GZMA","top_20","hvg","model74","breast_sample1"
0.0525750648774789,"GNLY","top_20","hvg","model74","breast_sample1"
0.513731787421785,"VWF","top_20","hvg","model74","breast_sample1"
0.593294399249379,"CXCL12","top_20","hvg","model74","breast_sample1"
0.629848526177252,"CCDC80","top_20","hvg","model74","breast_sample1"
0.460792691367655,"KLRB1","top_20","hvg","model74","breast_sample1"
0.844840782552009,"KRT7","top_20","hvg","model74","breast_sample1"
0.50470313640174,"SLAMF7","top_20","hvg","model74","breast_sample1"
0.714850334763509,"IL7R","top_50","hvg","model74","breast_sample1"
0.284921569317635,"MS4A1","top_50","hvg","model74","breast_sample1"
0.415621648464811,"CD8A","top_50","hvg","model74","breast_sample1"
0.707346329921688,"CD3E","top_50","hvg","model74","breast_sample1"
0.62748526067126,"POSTN","top_50","hvg","model74","breast_sample1"
0.318002141624243,"CPA3","top_50","hvg","model74","breast_sample1"
0.63666307688336,"LUM","top_50","hvg","model74","breast_sample1"
0.258778367243883,"BANK1","top_50","hvg","model74","breast_sample1"
0.680189778004901,"TRAC","top_50","hvg","model74","breast_sample1"
0.409013272230743,"LYZ","top_50","hvg","model74","breast_sample1"
0.194395822545465,"CTSG","top_50","hvg","model74","breast_sample1"
0.784373469612766,"PTPRC","top_50","hvg","model74","breast_sample1"
0.461253288946622,"GZMA","top_50","hvg","model74","breast_sample1"
0.0525750648774789,"GNLY","top_50","hvg","model74","breast_sample1"
0.513731787421785,"VWF","top_50","hvg","model74","breast_sample1"
0.593294399249379,"CXCL12","top_50","hvg","model74","breast_sample1"
0.629848526177252,"CCDC80","top_50","hvg","model74","breast_sample1"
0.460792691367655,"KLRB1","top_50","hvg","model74","breast_sample1"
0.844840782552009,"KRT7","top_50","hvg","model74","breast_sample1"
0.50470313640174,"SLAMF7","top_50","hvg","model74","breast_sample1"
0.697475597532733,"CEACAM6","top_50","hvg","model74","breast_sample1"
0.333417690277095,"CTLA4","top_50","hvg","model74","breast_sample1"
0.479567563242793,"SFRP4","top_50","hvg","model74","breast_sample1"
0.485862959022256,"CCL5","top_50","hvg","model74","breast_sample1"
0.512540688557162,"AQP1","top_50","hvg","model74","breast_sample1"
0.398854337567295,"MRC1","top_50","hvg","model74","breast_sample1"
0.176693615556847,"CD1C","top_50","hvg","model74","breast_sample1"
0.354456114938149,"ADH1B","top_50","hvg","model74","breast_sample1"
0.330326334366684,"ITGAX","top_50","hvg","model74","breast_sample1"
0.46201590292886,"SELL","top_50","hvg","model74","breast_sample1"
0.530217397747635,"PECAM1","top_50","hvg","model74","breast_sample1"
0.331571193208238,"BTNL9","top_50","hvg","model74","breast_sample1"
0.423002554866722,"FGL2","top_50","hvg","model74","breast_sample1"
0.536498062435868,"SERPINA3","top_50","hvg","model74","breast_sample1"
0.398211063375919,"CD163","top_50","hvg","model74","breast_sample1"
0.285521724292873,"KLRC1","top_50","hvg","model74","breast_sample1"
0.133763916139486,"LILRA4","top_50","hvg","model74","breast_sample1"
0.702339426259563,"CXCR4","top_50","hvg","model74","breast_sample1"
0.422449617286964,"PTGDS","top_50","hvg","model74","breast_sample1"
0.0281245736726953,"TCL1A","top_50","hvg","model74","breast_sample1"
0.524672446029495,"CD69","top_50","hvg","model74","breast_sample1"
0.196768786666935,"FCER1A","top_50","hvg","model74","breast_sample1"
0.329520506265365,"KLRD1","top_50","hvg","model74","breast_sample1"
0.49933546204595,"CD4","top_50","hvg","model74","breast_sample1"
0.53297395291159,"CLEC14A","top_50","hvg","model74","breast_sample1"
0.14832620769035,"ADIPOQ","top_50","hvg","model74","breast_sample1"
0.646168048590617,"CYTIP","top_50","hvg","model74","breast_sample1"
0.744425710305702,"SCD","top_50","hvg","model74","breast_sample1"
0.162278723609723,"CD19","top_50","hvg","model74","breast_sample1"
0.592152510486937,"MMP2","top_50","hvg","model74","breast_sample1"
0.113467236246428,"MMP1","top_20","hvg","predicted80","breast_sample2"
0.0839449169350095,"OPRPN","top_20","hvg","predicted80","breast_sample2"
0.36024891975093,"S100A8","top_20","hvg","predicted80","breast_sample2"
0.704552252843703,"SCD","top_20","hvg","predicted80","breast_sample2"
0.304642314204989,"KRT23","top_20","hvg","predicted80","breast_sample2"
0.407597689836515,"TOP2A","top_20","hvg","predicted80","breast_sample2"
0.335482473069161,"CEACAM6","top_20","hvg","predicted80","breast_sample2"
0.623129993652039,"MYBPC1","top_20","hvg","predicted80","breast_sample2"
0.137956892573948,"ADIPOQ","top_20","hvg","predicted80","breast_sample2"
0.475028358213599,"SERPINA3","top_20","hvg","predicted80","breast_sample2"
0.461116432473278,"PTN","top_20","hvg","predicted80","breast_sample2"
0.392013337249683,"VWF","top_20","hvg","predicted80","breast_sample2"
0.435492019664639,"ESR1","top_20","hvg","predicted80","breast_sample2"
0.575017402884655,"MUC6","top_20","hvg","predicted80","breast_sample2"
0.0485286835361934,"CPA3","top_20","hvg","predicted80","breast_sample2"
0.794218371734951,"ABCC11","top_20","hvg","predicted80","breast_sample2"
0.747675426670839,"FASN","top_20","hvg","predicted80","breast_sample2"
0.5071791002757,"POSTN","top_20","hvg","predicted80","breast_sample2"
0.368827031923389,"PIGR","top_20","hvg","predicted80","breast_sample2"
0.49705595622825,"KRT14","top_20","hvg","predicted80","breast_sample2"
0.113467236246428,"MMP1","top_50","hvg","predicted80","breast_sample2"
0.0839449169350095,"OPRPN","top_50","hvg","predicted80","breast_sample2"
0.36024891975093,"S100A8","top_50","hvg","predicted80","breast_sample2"
0.704552252843703,"SCD","top_50","hvg","predicted80","breast_sample2"
0.304642314204989,"KRT23","top_50","hvg","predicted80","breast_sample2"
0.407597689836515,"TOP2A","top_50","hvg","predicted80","breast_sample2"
0.335482473069161,"CEACAM6","top_50","hvg","predicted80","breast_sample2"
0.623129993652039,"MYBPC1","top_50","hvg","predicted80","breast_sample2"
0.137956892573948,"ADIPOQ","top_50","hvg","predicted80","breast_sample2"
0.475028358213599,"SERPINA3","top_50","hvg","predicted80","breast_sample2"
0.461116432473278,"PTN","top_50","hvg","predicted80","breast_sample2"
0.392013337249683,"VWF","top_50","hvg","predicted80","breast_sample2"
0.435492019664639,"ESR1","top_50","hvg","predicted80","breast_sample2"
0.575017402884655,"MUC6","top_50","hvg","predicted80","breast_sample2"
0.0485286835361934,"CPA3","top_50","hvg","predicted80","breast_sample2"
0.794218371734951,"ABCC11","top_50","hvg","predicted80","breast_sample2"
0.747675426670839,"FASN","top_50","hvg","predicted80","breast_sample2"
0.5071791002757,"POSTN","top_50","hvg","predicted80","breast_sample2"
0.368827031923389,"PIGR","top_50","hvg","predicted80","breast_sample2"
0.49705595622825,"KRT14","top_50","hvg","predicted80","breast_sample2"
0.318048519854042,"KIT","top_50","hvg","predicted80","breast_sample2"
0.428826401142171,"AQP1","top_50","hvg","predicted80","breast_sample2"
0.491627851717201,"MYH11","top_50","hvg","predicted80","breast_sample2"
0.773230777646976,"EPCAM","top_50","hvg","predicted80","breast_sample2"
0.0133830038785525,"TPSAB1","top_50","hvg","predicted80","breast_sample2"
0.251824062636126,"SFRP4","top_50","hvg","predicted80","breast_sample2"
0.636044118923588,"TRAF4","top_50","hvg","predicted80","breast_sample2"
